prev_form_lower,SUM,never,nothing,none,nor,no,neither,nobody,hardly,rarely,barely,seldom,scarcely
building,1,0,1,0,0,0,0,0,0,0,0,0,0
brotherhood,1,0,0,0,1,0,0,0,0,0,0,0,0
brides,1,0,0,0,1,0,0,0,0,0,0,0,0
botanically,1,0,1,0,0,0,0,0,0,0,0,0,0
bride,1,0,1,0,0,0,0,0,0,0,0,0,0
breasts,1,1,0,0,0,0,0,0,0,0,0,0,0
breakthrough,1,0,0,0,1,0,0,0,0,0,0,0,0
brazil,1,0,0,0,1,0,0,0,0,0,0,0,0
brat,1,0,1,0,0,0,0,0,0,0,0,0,0
braincase,1,0,0,0,0,0,0,0,0,1,0,0,0
brain,1,1,0,0,0,0,0,0,0,0,0,0,0
bragging,1,0,0,0,1,0,0,0,0,0,0,0,0
boxes,1,0,0,1,0,0,0,0,0,0,0,0,0
bharati,1,0,0,0,0,0,1,0,0,0,0,0,0
better,1,0,0,0,0,0,1,0,0,0,0,0,0
benn,1,1,0,0,0,0,0,0,0,0,0,0,0
attraction,1,0,0,0,1,0,0,0,0,0,0,0,0
awake,1,0,0,0,0,0,0,0,0,0,1,0,0
available,1,0,0,1,0,0,0,0,0,0,0,0,0
automatically,1,0,0,0,0,0,1,0,0,0,0,0,0
authorities,1,0,1,0,0,0,0,0,0,0,0,0,0
author,1,0,0,1,0,0,0,0,0,0,0,0,0
australia,1,0,1,0,0,0,0,0,0,0,0,0,0
auditor,1,0,0,0,0,0,0,0,0,1,0,0,0
audio,1,0,0,1,0,0,0,0,0,0,0,0,0
audience,1,0,0,0,1,0,0,0,0,0,0,0,0
attention,1,0,0,0,1,0,0,0,0,0,0,0,0
benefits,1,0,0,0,1,0,0,0,0,0,0,0,0
athletes,1,0,0,0,1,0,0,0,0,0,0,0,0
athlete,1,0,0,0,0,0,0,0,0,1,0,0,0
assurance,1,1,0,0,0,0,0,0,0,0,0,0,0
assortment,1,0,0,0,1,0,0,0,0,0,0,0,0
assessment,1,0,0,0,1,0,0,0,0,0,0,0,0
assassinations,1,0,0,0,1,0,0,0,0,0,0,0,0
ass,1,0,1,0,0,0,0,0,0,0,0,0,0
asham,1,0,0,0,1,0,0,0,0,0,0,0,0
arts,1,1,0,0,0,0,0,0,0,0,0,0,0
axed,1,1,0,0,0,0,0,0,0,0,0,0,0
back,1,0,1,0,0,0,0,0,0,0,0,0,0
backwards,1,0,0,0,1,0,0,0,0,0,0,0,0
bag,1,0,1,0,0,0,0,0,0,0,0,0,0
benefit,1,1,0,0,0,0,0,0,0,0,0,0,0
beneficiary,1,0,0,0,1,0,0,0,0,0,0,0,0
below,1,0,0,0,1,0,0,0,0,0,0,0,0
beliefs,1,0,0,0,1,0,0,0,0,0,0,0,0
belief,1,1,0,0,0,0,0,0,0,0,0,0,0
behind,1,1,0,0,0,0,0,0,0,0,0,0,0
behavior,1,0,0,0,0,0,1,0,0,0,0,0,0
bed,1,0,0,0,1,0,0,0,0,0,0,0,0
beats,1,0,0,0,0,0,0,1,0,0,0,0,0
beat,1,0,1,0,0,0,0,0,0,0,0,0,0
beak,1,0,0,0,1,0,0,0,0,0,0,0,0
bea,1,0,0,0,1,0,0,0,0,0,0,0,0
base,1,1,0,0,0,0,0,0,0,0,0,0,0
bars,1,0,1,0,0,0,0,0,0,0,0,0,0
bans,1,0,0,0,1,0,0,0,0,0,0,0,0
bankruptcy,1,0,0,0,1,0,0,0,0,0,0,0,0
bands,1,0,1,0,0,0,0,0,0,0,0,0,0
band,1,0,0,0,0,0,0,0,0,1,0,0,0
balance,1,0,0,0,1,0,0,0,0,0,0,0,0
dude,1,0,0,0,0,0,1,0,0,0,0,0,0
duration,1,0,0,0,1,0,0,0,0,0,0,0,0
duties,1,0,0,0,1,0,0,0,0,0,0,0,0
judgement,1,0,0,0,1,0,0,0,0,0,0,0,0
kleynhans,1,0,0,0,1,0,0,0,0,0,0,0,0
kirk,1,0,0,0,1,0,0,0,0,0,0,0,0
kerman,1,0,0,0,1,0,0,0,0,0,0,0,0
kentucky,1,0,0,0,1,0,0,0,0,0,0,0,0
kennard,1,0,0,0,1,0,0,0,0,0,0,0,0
kellogg,1,0,0,0,1,0,0,0,0,0,0,0,0
kazakhstan,1,0,0,0,1,0,0,0,0,0,0,0,0
judgments,1,0,0,0,1,0,0,0,0,0,0,0,0
judgment,1,0,1,0,0,0,0,0,0,0,0,0,0
journalists,1,0,0,0,1,0,0,0,0,0,0,0,0
la,1,0,1,0,0,0,0,0,0,0,0,0,0
journalism,1,1,0,0,0,0,0,0,0,0,0,0,0
jordan,1,0,0,0,1,0,0,0,0,0,0,0,0
jones,1,0,0,0,1,0,0,0,0,0,0,0,0
job,1,0,1,0,0,0,0,0,0,0,0,0,0
jig,1,0,0,0,1,0,0,0,0,0,0,0,0
jewellery,1,0,0,0,0,1,0,0,0,0,0,0,0
jesuits,1,0,0,0,1,0,0,0,0,0,0,0,0
jerseys,1,0,1,0,0,0,0,0,0,0,0,0,0
japanese,1,0,0,0,1,0,0,0,0,0,0,0,0
knowledge,1,0,0,0,1,0,0,0,0,0,0,0,0
ladies,1,0,0,0,1,0,0,0,0,0,0,0,0
jams,1,0,0,0,1,0,0,0,0,0,0,0,0
line,1,0,0,0,1,0,0,0,0,0,0,0,0
long-term,1,0,1,0,0,0,0,0,0,0,0,0,0
lolz,1,0,0,1,0,0,0,0,0,0,0,0,0
locality,1,0,0,0,1,0,0,0,0,0,0,0,0
loan,1,0,1,0,0,0,0,0,0,0,0,0,0
living,1,0,0,0,1,0,0,0,0,0,0,0,0
lives,1,0,1,0,0,0,0,0,0,0,0,0,0
lingerie,1,1,0,0,0,0,0,0,0,0,0,0,0
lines,1,0,0,0,0,0,0,0,0,1,0,0,0
lineages,1,0,0,0,1,0,0,0,0,0,0,0,0
lighting,1,0,0,0,1,0,0,0,0,0,0,0,0
lads,1,0,0,1,0,0,0,0,0,0,0,0,0
light,1,1,0,0,0,0,0,0,0,0,0,0,0
libertine,1,1,0,0,0,0,0,0,0,0,0,0,0
lens,1,0,0,0,1,0,0,0,0,0,0,0,0
legislation,1,0,0,0,0,0,0,0,0,1,0,0,0
leather,1,0,0,0,1,0,0,0,0,0,0,0,0
law,1,0,1,0,0,0,0,0,0,0,0,0,0
laugh,1,1,0,0,0,0,0,0,0,0,0,0,0
land,1,0,0,0,1,0,0,0,0,0,0,0,0
lamb,1,1,0,0,0,0,0,0,0,0,0,0,0
japan,1,0,0,0,1,0,0,0,0,0,0,0,0
italy,1,0,1,0,0,0,0,0,0,0,0,0,0
e-mail,1,0,0,0,1,0,0,0,0,0,0,0,0
identity,1,1,0,0,0,0,0,0,0,0,0,0,0
index,1,0,0,0,1,0,0,0,0,0,0,0,0
incredibly,1,0,1,0,0,0,0,0,0,0,0,0,0
impression,1,0,0,0,1,0,0,0,0,0,0,0,0
importance,1,1,0,0,0,0,0,0,0,0,0,0,0
impact,1,0,0,0,1,0,0,0,0,0,0,0,0
immediately,1,0,1,0,0,0,0,0,0,0,0,0,0
imaginable,1,0,1,0,0,0,0,0,0,0,0,0,0
iii,1,0,0,0,1,0,0,0,0,0,0,0,0
if-,1,0,0,0,0,0,0,0,1,0,0,0,0
ideals,1,0,0,0,1,0,0,0,0,0,0,0,0
indians,1,0,0,0,1,0,0,0,0,0,0,0,0
ideally,1,1,0,0,0,0,0,0,0,0,0,0,0
ickes,1,0,0,0,1,0,0,0,0,0,0,0,0
hypocrisy,1,0,0,0,0,0,0,0,0,1,0,0,0
husbandman,1,1,0,0,0,0,0,0,0,0,0,0,0
husband,1,1,0,0,0,0,0,0,0,0,0,0,0
hurricanes,1,0,0,0,1,0,0,0,0,0,0,0,0
hunts,1,0,0,1,0,0,0,0,0,0,0,0,0
huntingdon,1,0,0,0,1,0,0,0,0,0,0,0,0
household,1,0,0,0,1,0,0,0,0,0,0,0,0
india,1,0,0,0,1,0,0,0,0,0,0,0,0
individually,1,0,0,1,0,0,0,0,0,0,0,0,0
involved,1,0,0,0,1,0,0,0,0,0,0,0,0
insurgents,1,0,0,0,1,0,0,0,0,0,0,0,0
intrusion,1,1,0,0,0,0,0,0,0,0,0,0,0
introvert,1,0,0,0,1,0,0,0,0,0,0,0,0
intimidatingly,1,0,0,1,0,0,0,0,0,0,0,0,0
interests,1,0,0,0,1,0,0,0,0,0,0,0,0
interest,1,0,0,0,1,0,0,0,0,0,0,0,0
intent,1,0,0,0,1,0,0,0,0,0,0,0,0
intelligence,1,0,0,0,1,0,0,0,0,0,0,0,0
intellectually,1,0,0,0,1,0,0,0,0,0,0,0,0
intellectual,1,0,1,0,0,0,0,0,0,0,0,0,0
instrumental,1,0,0,0,0,1,0,0,0,0,0,0,0
inevitable,1,0,1,0,0,0,0,0,0,0,0,0,0
instantly,1,0,1,0,0,0,0,0,0,0,0,0,0
installation,1,0,0,0,0,0,0,0,0,1,0,0,0
inspiring,1,0,1,0,0,0,0,0,0,0,0,0,0
insights,1,0,0,0,1,0,0,0,0,0,0,0,0
innately,1,0,1,0,0,0,0,0,0,0,0,0,0
initially,1,0,0,0,0,0,0,1,0,0,0,0,0
info,1,1,0,0,0,0,0,0,0,0,0,0,0
influence,1,1,0,0,0,0,0,0,0,0,0,0,0
infantry,1,0,0,0,1,0,0,0,0,0,0,0,0
losses,1,0,0,0,0,0,0,0,0,1,0,0,0
loyalty,1,0,0,0,1,0,0,0,0,0,0,0,0
ls,1,0,0,0,1,0,0,0,0,0,0,0,0
moons,1,0,0,0,0,0,1,0,0,0,0,0,0
move,1,0,0,0,1,0,0,0,0,0,0,0,0
mourners,1,0,0,0,1,0,0,0,0,0,0,0,0
mountains,1,0,0,0,1,0,0,0,0,0,0,0,0
mountain,1,0,0,0,0,1,0,0,0,0,0,0,0
motifs,1,0,0,0,1,0,0,0,0,0,0,0,0
mothers,1,0,0,1,0,0,0,0,0,0,0,0,0
mostly,1,0,0,0,1,0,0,0,0,0,0,0,0
moss,1,0,0,0,1,0,0,0,0,0,0,0,0
morris,1,1,0,0,0,0,0,0,0,0,0,0,0
mood,1,0,0,0,0,0,0,0,0,1,0,0,0
mri,1,0,0,0,1,0,0,0,0,0,0,0,0
monopolies,1,0,0,0,1,0,0,0,0,0,0,0,0
money,1,0,0,0,1,0,0,0,0,0,0,0,0
mondragon,1,0,0,1,0,0,0,0,0,0,0,0,0
modulation,1,0,0,0,1,0,0,0,0,0,0,0,0
mmhmm,1,0,1,0,0,0,0,0,0,0,0,0,0
mlk,1,0,0,0,1,0,0,0,0,0,0,0,0
mistress,1,1,0,0,0,0,0,0,0,0,0,0,0
mistake,1,0,0,0,0,0,0,0,0,0,0,1,0
missions,1,0,0,0,1,0,0,0,0,0,0,0,0
movement,1,0,0,0,1,0,0,0,0,0,0,0,0
mug,1,0,0,0,1,0,0,0,0,0,0,0,0
lyrics,1,1,0,0,0,0,0,0,0,0,0,0,0
naught,1,0,1,0,0,0,0,0,0,0,0,0,0
news,1,0,0,0,1,0,0,0,0,0,0,0,0
newman,1,0,0,0,1,0,0,0,0,0,0,0,0
nevertheless,1,1,0,0,0,0,0,0,0,0,0,0,0
nesecarily,1,0,0,0,1,0,0,0,0,0,0,0,0
neo-imperialism,1,0,0,0,1,0,0,0,0,0,0,0,0
neighbors,1,0,0,0,1,0,0,0,0,0,0,0,0
neer,1,0,1,0,0,0,0,0,0,0,0,0,0
nearlly,1,0,1,0,0,0,0,0,0,0,0,0,0
naysayers,1,0,0,0,0,0,0,0,0,1,0,0,0
natives,1,0,1,0,0,0,0,0,0,0,0,0,0
mullen,1,0,0,0,1,0,0,0,0,0,0,0,0
nations,1,0,0,1,0,0,0,0,0,0,0,0,0
narrator,1,0,0,0,1,0,0,0,0,0,0,0,0
narratives,1,0,0,0,1,0,0,0,0,0,0,0,0
mystics,1,1,0,0,0,0,0,0,0,0,0,0,0
myanmar,1,0,0,0,1,0,0,0,0,0,0,0,0
mutations,1,0,0,0,1,0,0,0,0,0,0,0,0
museveni,1,0,0,0,1,0,0,0,0,0,0,0,0
mummies,1,0,0,0,1,0,0,0,0,0,0,0,0
multitasking,1,0,0,0,1,0,0,0,0,0,0,0,0
minutes,1,0,1,0,0,0,0,0,0,0,0,0,0
mining,1,0,0,0,1,0,0,0,0,0,0,0,0
mindset,1,1,0,0,0,0,0,0,0,0,0,0,0
manly,1,0,1,0,0,0,0,0,0,0,0,0,0
materially,1,0,1,0,0,0,0,0,0,0,0,0,0
marylanders,1,0,0,0,1,0,0,0,0,0,0,0,0
martyrs,1,0,0,1,0,0,0,0,0,0,0,0,0
mars,1,0,0,0,1,0,0,0,0,0,0,0,0
marriage,1,0,0,0,1,0,0,0,0,0,0,0,0
margins,1,0,0,0,1,0,0,0,0,0,0,0,0
mar,1,0,0,0,1,0,0,0,0,0,0,0,0
manners,1,0,0,0,0,0,1,0,0,0,0,0,0
manner,1,1,0,0,0,0,0,0,0,0,0,0,0
manifestly,1,0,1,0,0,0,0,0,0,0,0,0,0
might,1,1,0,0,0,0,0,0,0,0,0,0,0
maneuver,1,0,0,0,1,0,0,0,0,0,0,0,0
mandate,1,0,0,0,1,0,0,0,0,0,0,0,0
manager,1,0,1,0,0,0,0,0,0,0,0,0,0
management,1,0,0,0,1,0,0,0,0,0,0,0,0
madonna,1,0,0,1,0,0,0,0,0,0,0,0,0
madalena,1,0,0,0,0,0,1,0,0,0,0,0,0
machines,1,0,0,0,1,0,0,0,0,0,0,0,0
machinery,1,0,1,0,0,0,0,0,0,0,0,0,0
m,1,1,0,0,0,0,0,0,0,0,0,0,0
maxim,1,1,0,0,0,0,0,0,0,0,0,0,0
mclaren,1,0,0,0,0,0,1,0,0,0,0,0,0
means,1,0,1,0,0,0,0,0,0,0,0,0,0
measurably,1,0,0,0,1,0,0,0,0,0,0,0,0
michigan,1,0,0,0,1,0,0,0,0,0,0,0,0
mets,1,0,0,0,1,0,0,0,0,0,0,0,0
methods,1,0,0,0,1,0,0,0,0,0,0,0,0
methodology,1,0,0,0,1,0,0,0,0,0,0,0,0
method,1,0,0,0,1,0,0,0,0,0,0,0,0
messengers,1,0,0,0,1,0,0,0,0,0,0,0,0
messala,1,0,0,0,1,0,0,0,0,0,0,0,0
messages,1,0,0,0,1,0,0,0,0,0,0,0,0
merkel,1,0,0,0,1,0,0,0,0,0,0,0,0
menu,1,0,0,0,1,0,0,0,0,0,0,0,0
memory,1,0,0,0,1,0,0,0,0,0,0,0,0
melt,1,1,0,0,0,0,0,0,0,0,0,0,0
medicine,1,0,1,0,0,0,0,0,0,0,0,0,0
medicare,1,0,0,0,1,0,0,0,0,0,0,0,0
medialand,1,0,0,1,0,0,0,0,0,0,0,0,0
media,1,1,0,0,0,0,0,0,0,0,0,0,0
mechanism,1,0,0,0,0,0,0,0,0,1,0,0,0
meat,1,0,0,0,1,0,0,0,0,0,0,0,0
measures,1,0,0,0,1,0,0,0,0,0,0,0,0
house,1,0,0,0,1,0,0,0,0,0,0,0,0
horses,1,0,0,0,1,0,0,0,0,0,0,0,0
horizon,1,0,1,0,0,0,0,0,0,0,0,0,0
existence,1,0,0,0,1,0,0,0,0,0,0,0,0
face,1,1,0,0,0,0,0,0,0,0,0,0,0
fables,1,0,1,0,0,0,0,0,0,0,0,0,0
eyes,1,1,0,0,0,0,0,0,0,0,0,0,0
extreme,1,0,0,0,0,1,0,0,0,0,0,0,0
externally,1,0,0,1,0,0,0,0,0,0,0,0,0
external,1,0,1,0,0,0,0,0,0,0,0,0,0
explorer,1,1,0,0,0,0,0,0,0,0,0,0,0
experience,1,0,0,0,0,0,0,0,0,0,0,1,0
expectations,1,0,0,0,1,0,0,0,0,0,0,0,0
exhibits,1,0,0,0,1,0,0,0,0,0,0,0,0
factors,1,0,0,0,1,0,0,0,0,0,0,0,0
exert,1,0,0,0,1,0,0,0,0,0,0,0,0
execution,1,0,0,0,1,0,0,0,0,0,0,0,0
excuse,1,0,0,0,1,0,0,0,0,0,0,0,0
exciting,1,0,1,0,0,0,0,0,0,0,0,0,0
excessively,1,1,0,0,0,0,0,0,0,0,0,0,0
evidence,1,0,0,0,1,0,0,0,0,0,0,0,0
everything,1,0,1,0,0,0,0,0,0,0,0,0,0
everett,1,0,0,0,1,0,0,0,0,0,0,0,0
ever-and,1,0,0,1,0,0,0,0,0,0,0,0,0
faces,1,0,0,1,0,0,0,0,0,0,0,0,0
factually,1,1,0,0,0,0,0,0,0,0,0,0,0
flood,1,0,0,0,0,0,1,0,0,0,0,0,0
feuds,1,1,0,0,0,0,0,0,0,0,0,0,0
flavor,1,0,0,0,1,0,0,0,0,0,0,0,0
flashy,1,0,1,0,0,0,0,0,0,0,0,0,0
flashes,1,1,0,0,0,0,0,0,0,0,0,0,0
fissures,1,1,0,0,0,0,0,0,0,0,0,0,0
finally,1,1,0,0,0,0,0,0,0,0,0,0,0
figure,1,0,0,0,0,0,0,0,0,1,0,0,0
fighter,1,1,0,0,0,0,0,0,0,0,0,0,0
fight,1,1,0,0,0,0,0,0,0,0,0,0,0
fever,1,0,0,0,0,0,0,0,0,1,0,0,0
fellow,1,1,0,0,0,0,0,0,0,0,0,0,0
faith,1,0,0,0,1,0,0,0,0,0,0,0,0
feelers,1,0,0,0,1,0,0,0,0,0,0,0,0
fed,1,0,0,1,0,0,0,0,0,0,0,0,0
feature,1,0,0,0,1,0,0,0,0,0,0,0,0
fda,1,0,0,0,1,0,0,0,0,0,0,0,0
fathers,1,0,0,0,1,0,0,0,0,0,0,0,0
fat,1,0,1,0,0,0,0,0,0,0,0,0,0
faster,1,0,1,0,0,0,0,0,0,0,0,0,0
fantasies,1,0,0,0,1,0,0,0,0,0,0,0,0
falsehood,1,0,0,0,1,0,0,0,0,0,0,0,0
events,1,0,0,0,1,0,0,0,0,0,0,0,0
evacuation,1,1,0,0,0,0,0,0,0,0,0,0,0
eugenicists,1,0,0,0,1,0,0,0,0,0,0,0,0
eidson,1,0,0,0,1,0,0,0,0,0,0,0,0
emotions,1,0,0,0,1,0,0,0,0,0,0,0,0
emergently,1,0,1,0,0,0,0,0,0,0,0,0,0
embryo,1,0,0,0,0,0,1,0,0,0,0,0,0
elle,1,0,0,0,1,0,0,0,0,0,0,0,0
elite,1,0,0,0,1,0,0,0,0,0,0,0,0
elements,1,0,0,0,1,0,0,0,0,0,0,0,0
electric,1,0,0,0,1,0,0,0,0,0,0,0,0
eldol,1,0,0,0,1,0,0,0,0,0,0,0,0
elderly,1,0,0,0,1,0,0,0,0,0,0,0,0
efforts,1,1,0,0,0,0,0,0,0,0,0,0,0
eu,1,0,0,0,1,0,0,0,0,0,0,0,0
effect,1,0,0,0,1,0,0,0,0,0,0,0,0
editorial,1,0,0,0,1,0,0,0,0,0,0,0,0
ecstatic,1,0,0,0,0,1,0,0,0,0,0,0,0
economies,1,0,0,0,1,0,0,0,0,0,0,0,0
eccentricity,1,1,0,0,0,0,0,0,0,0,0,0,0
easily,1,0,1,0,0,0,0,0,0,0,0,0,0
easier,1,1,0,0,0,0,0,0,0,0,0,0,0
earthquake,1,0,1,0,0,0,0,0,0,0,0,0,0
earthplane,1,0,1,0,0,0,0,0,0,0,0,0,0
employee,1,0,0,0,1,0,0,0,0,0,0,0,0
employees,1,0,0,0,1,0,0,0,0,0,0,0,0
energy,1,0,1,0,0,0,0,0,0,0,0,0,0
engagement,1,0,0,0,1,0,0,0,0,0,0,0,0
ethics,1,0,0,0,1,0,0,0,0,0,0,0,0
eternity,1,0,0,0,1,0,0,0,0,0,0,0,0
etc,1,0,0,0,1,0,0,0,0,0,0,0,0
estimation,1,0,0,0,1,0,0,0,0,0,0,0,0
essential,1,1,0,0,0,0,0,0,0,0,0,0,0
escape,1,0,0,0,1,0,0,0,0,0,0,0,0
error-free,1,0,0,0,0,0,1,0,0,0,0,0,0
errand,1,0,0,0,1,0,0,0,0,0,0,0,0
ere,1,0,0,1,0,0,0,0,0,0,0,0,0
erdogan,1,0,0,0,1,0,0,0,0,0,0,0,0
erbil,1,0,0,0,1,0,0,0,0,0,0,0,0
equipment,1,0,0,0,1,0,0,0,0,0,0,0,0
environmentalists,1,1,0,0,0,0,0,0,0,0,0,0,0
entries,1,0,0,0,1,0,0,0,0,0,0,0,0
entertainment,1,1,0,0,0,0,0,0,0,0,0,0,0
english,1,0,0,0,1,0,0,0,0,0,0,0,0
englanders,1,0,0,0,1,0,0,0,0,0,0,0,0
england,1,0,1,0,0,0,0,0,0,0,0,0,0
engine,1,0,0,0,1,0,0,0,0,0,0,0,0
flavours,1,0,0,0,1,0,0,0,0,0,0,0,0
floor,1,0,1,0,0,0,0,0,0,0,0,0,0
hope,1,1,0,0,0,0,0,0,0,0,0,0,0
grippes,1,0,1,0,0,0,0,0,0,0,0,0,0
halfway,1,0,0,1,0,0,0,0,0,0,0,0,0
guys,1,0,0,0,1,0,0,0,0,0,0,0,0
guilt,1,1,0,0,0,0,0,0,0,0,0,0,0
guide,1,0,0,0,1,0,0,0,0,0,0,0,0
guerrero,1,0,0,0,1,0,0,0,0,0,0,0,0
gte,1,1,0,0,0,0,0,0,0,0,0,0,0
growth,1,0,0,0,1,0,0,0,0,0,0,0,0
ground,1,1,0,0,0,0,0,0,0,0,0,0,0
groove,1,0,1,0,0,0,0,0,0,0,0,0,0
griffin,1,0,0,0,1,0,0,0,0,0,0,0,0
hamas,1,0,0,0,1,0,0,0,0,0,0,0,0
green,1,0,0,0,1,0,0,0,0,0,0,0,0
greek,1,1,0,0,0,0,0,0,0,0,0,0,0
great,1,0,1,0,0,0,0,0,0,0,0,0,0
grasslands,1,0,0,0,1,0,0,0,0,0,0,0,0
graph,1,0,0,0,0,0,0,0,0,1,0,0,0
grade,1,0,0,1,0,0,0,0,0,0,0,0,0
governments,1,0,0,0,1,0,0,0,0,0,0,0,0
gospels,1,0,0,0,1,0,0,0,0,0,0,0,0
gore,1,0,0,0,1,0,0,0,0,0,0,0,0
halyards,1,0,0,0,1,0,0,0,0,0,0,0,0
handles,1,0,0,0,1,0,0,0,0,0,0,0,0
flounder,1,0,0,0,1,0,0,0,0,0,0,0,0
hezbollah,1,0,0,0,1,0,0,0,0,0,0,0,0
honestly,1,1,0,0,0,0,0,0,0,0,0,0,0
hockey,1,1,0,0,0,0,0,0,0,0,0,0,0
histories,1,0,1,0,0,0,0,0,0,0,0,0,0
historically,1,1,0,0,0,0,0,0,0,0,0,0,0
hindu,1,0,0,0,1,0,0,0,0,0,0,0,0
him,1,0,1,0,0,0,0,0,0,0,0,0,0
highly,1,1,0,0,0,0,0,0,0,0,0,0,0
high,1,1,0,0,0,0,0,0,0,0,0,0,0
hideously,1,0,0,0,1,0,0,0,0,0,0,0,0
heroines,1,0,0,0,1,0,0,0,0,0,0,0,0
hands,1,0,0,0,1,0,0,0,0,0,0,0,0
hengist,1,0,0,0,1,0,0,0,0,0,0,0,0
helping,1,0,0,0,0,0,0,0,0,1,0,0,0
heights,1,0,0,1,0,0,0,0,0,0,0,0,0
heavily,1,0,0,0,0,0,1,0,0,0,0,0,0
heaven,1,0,1,0,0,0,0,0,0,0,0,0,0
hearts,1,1,0,0,0,0,0,0,0,0,0,0,0
hear,1,0,0,0,0,0,0,0,0,1,0,0,0
harvest,1,1,0,0,0,0,0,0,0,0,0,0,0
harm,1,0,0,0,1,0,0,0,0,0,0,0,0
golf,1,1,0,0,0,0,0,0,0,0,0,0,0
golds,1,0,0,0,1,0,0,0,0,0,0,0,0
goldbergs,1,0,0,0,1,0,0,0,0,0,0,0,0
frivolous,1,0,1,0,0,0,0,0,0,0,0,0,0
funds,1,0,0,0,1,0,0,0,0,0,0,0,0
funding,1,0,0,0,1,0,0,0,0,0,0,0,0
fundamentally,1,0,1,0,0,0,0,0,0,0,0,0,0
fund,1,0,0,0,1,0,0,0,0,0,0,0,0
functions,1,0,1,0,0,0,0,0,0,0,0,0,0
fun,1,0,1,0,0,0,0,0,0,0,0,0,0
ftc,1,0,0,0,1,0,0,0,0,0,0,0,0
fruits,1,0,0,0,1,0,0,0,0,0,0,0,0
front,1,0,0,0,1,0,0,0,0,0,0,0,0
frequently,1,0,0,0,1,0,0,0,0,0,0,0,0
goal,1,0,1,0,0,0,0,0,0,0,0,0,0
frank,1,0,0,0,1,0,0,0,0,0,0,0,0
foxes,1,0,1,0,0,0,0,0,0,0,0,0,0
fox,1,1,0,0,0,0,0,0,0,0,0,0,0
forms,1,0,0,0,1,0,0,0,0,0,0,0,0
formally,1,0,0,1,0,0,0,0,0,0,0,0,0
form,1,0,0,0,1,0,0,0,0,0,0,0,0
forearms,1,0,0,1,0,0,0,0,0,0,0,0,0
folks,1,0,0,0,1,0,0,0,0,0,0,0,0
flowers,1,0,0,0,1,0,0,0,0,0,0,0,0
furioso,1,0,1,0,0,0,0,0,0,0,0,0,0
fusion,1,0,0,0,0,0,0,0,0,1,0,0,0
galaxy,1,0,1,0,0,0,0,0,0,0,0,0,0
gall,1,0,0,0,1,0,0,0,0,0,0,0,0
glaucoma,1,0,0,0,1,0,0,0,0,0,0,0,0
glaringly,1,0,1,0,0,0,0,0,0,0,0,0,0
girl,1,0,1,0,0,0,0,0,0,0,0,0,0
ginsberg,1,0,0,0,1,0,0,0,0,0,0,0,0
gilbert,1,0,0,0,0,0,1,0,0,0,0,0,0
gestures,1,0,0,0,1,0,0,0,0,0,0,0,0
gentleman,1,1,0,0,0,0,0,0,0,0,0,0,0
genetics,1,0,0,0,1,0,0,0,0,0,0,0,0
genes,1,0,0,0,1,0,0,0,0,0,0,0,0
generously,1,0,0,0,0,1,0,0,0,0,0,0,0
generosity,1,0,0,0,1,0,0,0,0,0,0,0,0
generation,1,1,0,0,0,0,0,0,0,0,0,0,0
gator,1,0,0,0,1,0,0,0,0,0,0,0,0
gatherings,1,0,0,1,0,0,0,0,0,0,0,0,0
gates,1,0,0,0,1,0,0,0,0,0,0,0,0
garfunkel,1,0,0,0,0,0,0,0,0,1,0,0,0
games,1,0,0,0,1,0,0,0,0,0,0,0,0
gameplay,1,0,0,0,1,0,0,0,0,0,0,0,0
gallery,1,0,0,0,1,0,0,0,0,0,0,0,0
lessons,1,0,0,0,1,0,0,0,0,0,0,0,0
