sentences,mask_type,pred_pos,scale_type
 It was kinda [MASK].,predicate,adj,abs
It was not extremely [MASK]. It was sorta dry.,predicate,adj,abs
It was not extremely wet. It was sorta [MASK].,predicate,adj,abs
 It was sorta [MASK].,predicate,adj,abs
It was not extremely [MASK]. It was slightly dry.,predicate,adj,abs
It was not extremely wet. It was slightly [MASK].,predicate,adj,abs
 It was slightly [MASK].,predicate,adj,abs
It was not extremely [MASK]. It was partially dry.,predicate,adj,abs
It was not extremely wet. It was partially [MASK].,predicate,adj,abs
 It was partially [MASK].,predicate,adj,abs
It was not extremely [MASK]. It was extremely dry.,predicate,adj,abs
It was not extremely wet. It was extremely [MASK].,predicate,adj,abs
 It was extremely [MASK].,predicate,adj,abs
It was not extremely [MASK]. It was ridiculously dry.,predicate,adj,abs
It was not extremely wet. It was ridiculously [MASK].,predicate,adj,abs
 It was ridiculously [MASK].,predicate,adj,abs
It was not extremely [MASK]. It was completely dry.,predicate,adj,abs
It was not extremely wet. It was completely [MASK].,predicate,adj,abs
 It was completely [MASK].,predicate,adj,abs
It was not extremely [MASK]. It was totally dry.,predicate,adj,abs
It was not extremely wet. It was totally [MASK].,predicate,adj,abs
 It was totally [MASK].,predicate,adj,abs
It was not extremely [MASK]. It was dry.,predicate,adj,abs
It was not extremely wet. It was [MASK].,predicate,adj,abs
 It was [MASK].,predicate,adj,abs
It was not ridiculously [MASK]. It was kinda dry.,predicate,adj,abs
It was not ridiculously [MASK].,predicate,adj,abs
It was not ridiculously wet. It was kinda [MASK].,predicate,adj,abs
It was not ridiculously [MASK]. It was sorta dry.,predicate,adj,abs
It was not ridiculously wet. It was sorta [MASK].,predicate,adj,abs
It was not ridiculously [MASK]. It was slightly dry.,predicate,adj,abs
It was not ridiculously wet. It was slightly [MASK].,predicate,adj,abs
It was not ridiculously [MASK]. It was partially dry.,predicate,adj,abs
It was not ridiculously wet. It was partially [MASK].,predicate,adj,abs
It was not ridiculously [MASK]. It was extremely dry.,predicate,adj,abs
It was not ridiculously wet. It was extremely [MASK].,predicate,adj,abs
It was not ridiculously [MASK]. It was ridiculously dry.,predicate,adj,abs
It was not ridiculously wet. It was ridiculously [MASK].,predicate,adj,abs
It was not ridiculously [MASK]. It was completely dry.,predicate,adj,abs
It was not ridiculously wet. It was completely [MASK].,predicate,adj,abs
It was not ridiculously [MASK]. It was totally dry.,predicate,adj,abs
It was not ridiculously wet. It was totally [MASK].,predicate,adj,abs
It was not ridiculously [MASK]. It was dry.,predicate,adj,abs
It was not ridiculously wet. It was [MASK].,predicate,adj,abs
It was not completely [MASK]. It was kinda dry.,predicate,adj,abs
It was not completely [MASK].,predicate,adj,abs
It was not completely wet. It was kinda [MASK].,predicate,adj,abs
It was not completely [MASK]. It was sorta dry.,predicate,adj,abs
It was not completely wet. It was sorta [MASK].,predicate,adj,abs
It was not completely [MASK]. It was slightly dry.,predicate,adj,abs
It was not completely wet. It was slightly [MASK].,predicate,adj,abs
It was not completely [MASK]. It was partially dry.,predicate,adj,abs
It was not completely wet. It was partially [MASK].,predicate,adj,abs
It was not completely [MASK]. It was extremely dry.,predicate,adj,abs
It was not completely wet. It was extremely [MASK].,predicate,adj,abs
It was not completely [MASK]. It was ridiculously dry.,predicate,adj,abs
It was not completely wet. It was ridiculously [MASK].,predicate,adj,abs
It was not completely [MASK]. It was completely dry.,predicate,adj,abs
It was not completely wet. It was completely [MASK].,predicate,adj,abs
It was not completely [MASK]. It was totally dry.,predicate,adj,abs
It was not completely wet. It was totally [MASK].,predicate,adj,abs
It was not completely [MASK]. It was dry.,predicate,adj,abs
It was not completely wet. It was [MASK].,predicate,adj,abs
It was not totally [MASK]. It was kinda dry.,predicate,adj,abs
It was not totally [MASK].,predicate,adj,abs
It was not totally wet. It was kinda [MASK].,predicate,adj,abs
It was not totally [MASK]. It was sorta dry.,predicate,adj,abs
It was not totally wet. It was sorta [MASK].,predicate,adj,abs
It was not totally [MASK]. It was slightly dry.,predicate,adj,abs
It was not totally wet. It was slightly [MASK].,predicate,adj,abs
It was not totally [MASK]. It was partially dry.,predicate,adj,abs
It was not totally wet. It was partially [MASK].,predicate,adj,abs
It was not totally [MASK]. It was extremely dry.,predicate,adj,abs
It was not totally wet. It was extremely [MASK].,predicate,adj,abs
It was not totally [MASK]. It was ridiculously dry.,predicate,adj,abs
It was not totally wet. It was ridiculously [MASK].,predicate,adj,abs
It was not totally [MASK]. It was completely dry.,predicate,adj,abs
It was not totally wet. It was completely [MASK].,predicate,adj,abs
It was not totally [MASK]. It was totally dry.,predicate,adj,abs
It was not totally wet. It was totally [MASK].,predicate,adj,abs
It was not totally [MASK]. It was dry.,predicate,adj,abs
It was not totally wet. It was [MASK].,predicate,adj,abs
It was not [MASK]. It was kinda dry.,predicate,adj,abs
It was not [MASK].,predicate,adj,abs
It was not wet. It was kinda [MASK].,predicate,adj,abs
It was not [MASK]. It was sorta dry.,predicate,adj,abs
It was not wet. It was sorta [MASK].,predicate,adj,abs
It was not [MASK]. It was slightly dry.,predicate,adj,abs
It was not wet. It was slightly [MASK].,predicate,adj,abs
It was not [MASK]. It was partially dry.,predicate,adj,abs
It was not wet. It was partially [MASK].,predicate,adj,abs
It was not [MASK]. It was extremely dry.,predicate,adj,abs
It was not wet. It was extremely [MASK].,predicate,adj,abs
It was not [MASK]. It was ridiculously dry.,predicate,adj,abs
It was not wet. It was ridiculously [MASK].,predicate,adj,abs
It was not [MASK]. It was completely dry.,predicate,adj,abs
It was not wet. It was completely [MASK].,predicate,adj,abs
It was not [MASK]. It was totally dry.,predicate,adj,abs
It was not wet. It was totally [MASK].,predicate,adj,abs
It was not [MASK]. It was dry.,predicate,adj,abs
It was not wet. It was [MASK].,predicate,adj,abs
It wasn't extremely [MASK]. It was kinda dry.,predicate,adj,abs
It wasn't extremely [MASK].,predicate,adj,abs
It wasn't extremely wet. It was kinda [MASK].,predicate,adj,abs
It wasn't extremely [MASK]. It was sorta dry.,predicate,adj,abs
It wasn't extremely wet. It was sorta [MASK].,predicate,adj,abs
It wasn't extremely [MASK]. It was slightly dry.,predicate,adj,abs
It wasn't extremely wet. It was slightly [MASK].,predicate,adj,abs
It wasn't extremely [MASK]. It was partially dry.,predicate,adj,abs
It wasn't extremely wet. It was partially [MASK].,predicate,adj,abs
It wasn't extremely [MASK]. It was extremely dry.,predicate,adj,abs
It wasn't extremely wet. It was extremely [MASK].,predicate,adj,abs
It wasn't extremely [MASK]. It was ridiculously dry.,predicate,adj,abs
It wasn't extremely wet. It was ridiculously [MASK].,predicate,adj,abs
It wasn't extremely [MASK]. It was completely dry.,predicate,adj,abs
It wasn't extremely wet. It was completely [MASK].,predicate,adj,abs
It wasn't extremely [MASK]. It was totally dry.,predicate,adj,abs
It wasn't extremely wet. It was totally [MASK].,predicate,adj,abs
It wasn't extremely [MASK]. It was dry.,predicate,adj,abs
It wasn't extremely wet. It was [MASK].,predicate,adj,abs
It wasn't ridiculously [MASK]. It was kinda dry.,predicate,adj,abs
It wasn't ridiculously [MASK].,predicate,adj,abs
It wasn't ridiculously wet. It was kinda [MASK].,predicate,adj,abs
It wasn't ridiculously [MASK]. It was sorta dry.,predicate,adj,abs
It wasn't ridiculously wet. It was sorta [MASK].,predicate,adj,abs
It wasn't ridiculously [MASK]. It was slightly dry.,predicate,adj,abs
It wasn't ridiculously wet. It was slightly [MASK].,predicate,adj,abs
It wasn't ridiculously [MASK]. It was partially dry.,predicate,adj,abs
It wasn't ridiculously wet. It was partially [MASK].,predicate,adj,abs
It wasn't ridiculously [MASK]. It was extremely dry.,predicate,adj,abs
It wasn't ridiculously wet. It was extremely [MASK].,predicate,adj,abs
It wasn't ridiculously [MASK]. It was ridiculously dry.,predicate,adj,abs
It wasn't ridiculously wet. It was ridiculously [MASK].,predicate,adj,abs
It wasn't ridiculously [MASK]. It was completely dry.,predicate,adj,abs
It wasn't ridiculously wet. It was completely [MASK].,predicate,adj,abs
It wasn't ridiculously [MASK]. It was totally dry.,predicate,adj,abs
It wasn't ridiculously wet. It was totally [MASK].,predicate,adj,abs
It wasn't ridiculously [MASK]. It was dry.,predicate,adj,abs
It wasn't ridiculously wet. It was [MASK].,predicate,adj,abs
It wasn't completely [MASK]. It was kinda dry.,predicate,adj,abs
It wasn't completely [MASK].,predicate,adj,abs
It wasn't completely wet. It was kinda [MASK].,predicate,adj,abs
It wasn't completely [MASK]. It was sorta dry.,predicate,adj,abs
It wasn't completely wet. It was sorta [MASK].,predicate,adj,abs
It wasn't completely [MASK]. It was slightly dry.,predicate,adj,abs
It wasn't completely wet. It was slightly [MASK].,predicate,adj,abs
It wasn't completely [MASK]. It was partially dry.,predicate,adj,abs
It wasn't completely wet. It was partially [MASK].,predicate,adj,abs
It wasn't completely [MASK]. It was extremely dry.,predicate,adj,abs
It wasn't completely wet. It was extremely [MASK].,predicate,adj,abs
It wasn't completely [MASK]. It was ridiculously dry.,predicate,adj,abs
It wasn't completely wet. It was ridiculously [MASK].,predicate,adj,abs
It wasn't completely [MASK]. It was completely dry.,predicate,adj,abs
It wasn't completely wet. It was completely [MASK].,predicate,adj,abs
It wasn't completely [MASK]. It was totally dry.,predicate,adj,abs
It wasn't completely wet. It was totally [MASK].,predicate,adj,abs
It wasn't completely [MASK]. It was dry.,predicate,adj,abs
It wasn't completely wet. It was [MASK].,predicate,adj,abs
It wasn't totally [MASK]. It was kinda dry.,predicate,adj,abs
It wasn't totally [MASK].,predicate,adj,abs
It wasn't totally wet. It was kinda [MASK].,predicate,adj,abs
It wasn't totally [MASK]. It was sorta dry.,predicate,adj,abs
It wasn't totally wet. It was sorta [MASK].,predicate,adj,abs
It wasn't totally [MASK]. It was slightly dry.,predicate,adj,abs
It wasn't totally wet. It was slightly [MASK].,predicate,adj,abs
It wasn't totally [MASK]. It was partially dry.,predicate,adj,abs
It wasn't totally wet. It was partially [MASK].,predicate,adj,abs
It wasn't totally [MASK]. It was extremely dry.,predicate,adj,abs
It wasn't totally wet. It was extremely [MASK].,predicate,adj,abs
It wasn't totally [MASK]. It was ridiculously dry.,predicate,adj,abs
It wasn't totally wet. It was ridiculously [MASK].,predicate,adj,abs
It wasn't totally [MASK]. It was completely dry.,predicate,adj,abs
It wasn't totally wet. It was completely [MASK].,predicate,adj,abs
It wasn't totally [MASK]. It was totally dry.,predicate,adj,abs
It wasn't totally wet. It was totally [MASK].,predicate,adj,abs
It wasn't totally [MASK]. It was dry.,predicate,adj,abs
It wasn't totally wet. It was [MASK].,predicate,adj,abs
It wasn't [MASK]. It was kinda dry.,predicate,adj,abs
It wasn't [MASK].,predicate,adj,abs
It wasn't wet. It was kinda [MASK].,predicate,adj,abs
It wasn't [MASK]. It was sorta dry.,predicate,adj,abs
It wasn't wet. It was sorta [MASK].,predicate,adj,abs
It wasn't [MASK]. It was slightly dry.,predicate,adj,abs
It wasn't wet. It was slightly [MASK].,predicate,adj,abs
It wasn't [MASK]. It was partially dry.,predicate,adj,abs
It wasn't wet. It was partially [MASK].,predicate,adj,abs
It wasn't [MASK]. It was extremely dry.,predicate,adj,abs
It wasn't wet. It was extremely [MASK].,predicate,adj,abs
It wasn't [MASK]. It was ridiculously dry.,predicate,adj,abs
It wasn't wet. It was ridiculously [MASK].,predicate,adj,abs
It wasn't [MASK]. It was completely dry.,predicate,adj,abs
It wasn't wet. It was completely [MASK].,predicate,adj,abs
It wasn't [MASK]. It was totally dry.,predicate,adj,abs
It wasn't wet. It was totally [MASK].,predicate,adj,abs
It wasn't [MASK]. It was dry.,predicate,adj,abs
It wasn't wet. It was [MASK].,predicate,adj,abs
It was kinda [MASK]. It was not extremely wet.,predicate,adj,abs
It was kinda [MASK].,predicate,adj,abs
It was kinda dry. It was not extremely [MASK].,predicate,adj,abs
 It was not extremely [MASK].,predicate,adj,abs
It was kinda [MASK]. It was not ridiculously wet.,predicate,adj,abs
It was kinda dry. It was not ridiculously [MASK].,predicate,adj,abs
 It was not ridiculously [MASK].,predicate,adj,abs
It was kinda [MASK]. It was not completely wet.,predicate,adj,abs
It was kinda dry. It was not completely [MASK].,predicate,adj,abs
 It was not completely [MASK].,predicate,adj,abs
It was kinda [MASK]. It was not totally wet.,predicate,adj,abs
It was kinda dry. It was not totally [MASK].,predicate,adj,abs
 It was not totally [MASK].,predicate,adj,abs
It was kinda [MASK]. It was not wet.,predicate,adj,abs
It was kinda dry. It was not [MASK].,predicate,adj,abs
 It was not [MASK].,predicate,adj,abs
It was kinda [MASK]. It wasn't extremely wet.,predicate,adj,abs
It was kinda dry. It wasn't extremely [MASK].,predicate,adj,abs
 It wasn't extremely [MASK].,predicate,adj,abs
It was kinda [MASK]. It wasn't ridiculously wet.,predicate,adj,abs
It was kinda dry. It wasn't ridiculously [MASK].,predicate,adj,abs
 It wasn't ridiculously [MASK].,predicate,adj,abs
It was kinda [MASK]. It wasn't completely wet.,predicate,adj,abs
It was kinda dry. It wasn't completely [MASK].,predicate,adj,abs
 It wasn't completely [MASK].,predicate,adj,abs
It was kinda [MASK]. It wasn't totally wet.,predicate,adj,abs
It was kinda dry. It wasn't totally [MASK].,predicate,adj,abs
 It wasn't totally [MASK].,predicate,adj,abs
It was kinda [MASK]. It wasn't wet.,predicate,adj,abs
It was kinda dry. It wasn't [MASK].,predicate,adj,abs
 It wasn't [MASK].,predicate,adj,abs
It was sorta [MASK]. It was not extremely wet.,predicate,adj,abs
It was sorta [MASK].,predicate,adj,abs
It was sorta dry. It was not extremely [MASK].,predicate,adj,abs
It was sorta [MASK]. It was not ridiculously wet.,predicate,adj,abs
It was sorta dry. It was not ridiculously [MASK].,predicate,adj,abs
It was sorta [MASK]. It was not completely wet.,predicate,adj,abs
It was sorta dry. It was not completely [MASK].,predicate,adj,abs
It was sorta [MASK]. It was not totally wet.,predicate,adj,abs
It was sorta dry. It was not totally [MASK].,predicate,adj,abs
It was sorta [MASK]. It was not wet.,predicate,adj,abs
It was sorta dry. It was not [MASK].,predicate,adj,abs
It was sorta [MASK]. It wasn't extremely wet.,predicate,adj,abs
It was sorta dry. It wasn't extremely [MASK].,predicate,adj,abs
It was sorta [MASK]. It wasn't ridiculously wet.,predicate,adj,abs
It was sorta dry. It wasn't ridiculously [MASK].,predicate,adj,abs
It was sorta [MASK]. It wasn't completely wet.,predicate,adj,abs
It was sorta dry. It wasn't completely [MASK].,predicate,adj,abs
It was sorta [MASK]. It wasn't totally wet.,predicate,adj,abs
It was sorta dry. It wasn't totally [MASK].,predicate,adj,abs
It was sorta [MASK]. It wasn't wet.,predicate,adj,abs
It was sorta dry. It wasn't [MASK].,predicate,adj,abs
It was slightly [MASK]. It was not extremely wet.,predicate,adj,abs
It was slightly [MASK].,predicate,adj,abs
It was slightly dry. It was not extremely [MASK].,predicate,adj,abs
It was slightly [MASK]. It was not ridiculously wet.,predicate,adj,abs
It was slightly dry. It was not ridiculously [MASK].,predicate,adj,abs
It was slightly [MASK]. It was not completely wet.,predicate,adj,abs
It was slightly dry. It was not completely [MASK].,predicate,adj,abs
It was slightly [MASK]. It was not totally wet.,predicate,adj,abs
It was slightly dry. It was not totally [MASK].,predicate,adj,abs
It was slightly [MASK]. It was not wet.,predicate,adj,abs
It was slightly dry. It was not [MASK].,predicate,adj,abs
It was slightly [MASK]. It wasn't extremely wet.,predicate,adj,abs
It was slightly dry. It wasn't extremely [MASK].,predicate,adj,abs
It was slightly [MASK]. It wasn't ridiculously wet.,predicate,adj,abs
It was slightly dry. It wasn't ridiculously [MASK].,predicate,adj,abs
It was slightly [MASK]. It wasn't completely wet.,predicate,adj,abs
It was slightly dry. It wasn't completely [MASK].,predicate,adj,abs
It was slightly [MASK]. It wasn't totally wet.,predicate,adj,abs
It was slightly dry. It wasn't totally [MASK].,predicate,adj,abs
It was slightly [MASK]. It wasn't wet.,predicate,adj,abs
It was slightly dry. It wasn't [MASK].,predicate,adj,abs
It was partially [MASK]. It was not extremely wet.,predicate,adj,abs
It was partially [MASK].,predicate,adj,abs
It was partially dry. It was not extremely [MASK].,predicate,adj,abs
It was partially [MASK]. It was not ridiculously wet.,predicate,adj,abs
It was partially dry. It was not ridiculously [MASK].,predicate,adj,abs
It was partially [MASK]. It was not completely wet.,predicate,adj,abs
It was partially dry. It was not completely [MASK].,predicate,adj,abs
It was partially [MASK]. It was not totally wet.,predicate,adj,abs
It was partially dry. It was not totally [MASK].,predicate,adj,abs
It was partially [MASK]. It was not wet.,predicate,adj,abs
It was partially dry. It was not [MASK].,predicate,adj,abs
It was partially [MASK]. It wasn't extremely wet.,predicate,adj,abs
It was partially dry. It wasn't extremely [MASK].,predicate,adj,abs
It was partially [MASK]. It wasn't ridiculously wet.,predicate,adj,abs
It was partially dry. It wasn't ridiculously [MASK].,predicate,adj,abs
It was partially [MASK]. It wasn't completely wet.,predicate,adj,abs
It was partially dry. It wasn't completely [MASK].,predicate,adj,abs
It was partially [MASK]. It wasn't totally wet.,predicate,adj,abs
It was partially dry. It wasn't totally [MASK].,predicate,adj,abs
It was partially [MASK]. It wasn't wet.,predicate,adj,abs
It was partially dry. It wasn't [MASK].,predicate,adj,abs
It was extremely [MASK]. It was not extremely wet.,predicate,adj,abs
It was extremely [MASK].,predicate,adj,abs
It was extremely dry. It was not extremely [MASK].,predicate,adj,abs
It was extremely [MASK]. It was not ridiculously wet.,predicate,adj,abs
It was extremely dry. It was not ridiculously [MASK].,predicate,adj,abs
It was extremely [MASK]. It was not completely wet.,predicate,adj,abs
It was extremely dry. It was not completely [MASK].,predicate,adj,abs
It was extremely [MASK]. It was not totally wet.,predicate,adj,abs
It was extremely dry. It was not totally [MASK].,predicate,adj,abs
It was extremely [MASK]. It was not wet.,predicate,adj,abs
It was extremely dry. It was not [MASK].,predicate,adj,abs
It was extremely [MASK]. It wasn't extremely wet.,predicate,adj,abs
It was extremely dry. It wasn't extremely [MASK].,predicate,adj,abs
It was extremely [MASK]. It wasn't ridiculously wet.,predicate,adj,abs
It was extremely dry. It wasn't ridiculously [MASK].,predicate,adj,abs
It was extremely [MASK]. It wasn't completely wet.,predicate,adj,abs
It was extremely dry. It wasn't completely [MASK].,predicate,adj,abs
It was extremely [MASK]. It wasn't totally wet.,predicate,adj,abs
It was extremely dry. It wasn't totally [MASK].,predicate,adj,abs
It was extremely [MASK]. It wasn't wet.,predicate,adj,abs
It was extremely dry. It wasn't [MASK].,predicate,adj,abs
It was ridiculously [MASK]. It was not extremely wet.,predicate,adj,abs
It was ridiculously [MASK].,predicate,adj,abs
It was ridiculously dry. It was not extremely [MASK].,predicate,adj,abs
It was ridiculously [MASK]. It was not ridiculously wet.,predicate,adj,abs
It was ridiculously dry. It was not ridiculously [MASK].,predicate,adj,abs
It was ridiculously [MASK]. It was not completely wet.,predicate,adj,abs
It was ridiculously dry. It was not completely [MASK].,predicate,adj,abs
It was ridiculously [MASK]. It was not totally wet.,predicate,adj,abs
It was ridiculously dry. It was not totally [MASK].,predicate,adj,abs
It was ridiculously [MASK]. It was not wet.,predicate,adj,abs
It was ridiculously dry. It was not [MASK].,predicate,adj,abs
It was ridiculously [MASK]. It wasn't extremely wet.,predicate,adj,abs
It was ridiculously dry. It wasn't extremely [MASK].,predicate,adj,abs
It was ridiculously [MASK]. It wasn't ridiculously wet.,predicate,adj,abs
It was ridiculously dry. It wasn't ridiculously [MASK].,predicate,adj,abs
It was ridiculously [MASK]. It wasn't completely wet.,predicate,adj,abs
It was ridiculously dry. It wasn't completely [MASK].,predicate,adj,abs
It was ridiculously [MASK]. It wasn't totally wet.,predicate,adj,abs
It was ridiculously dry. It wasn't totally [MASK].,predicate,adj,abs
It was ridiculously [MASK]. It wasn't wet.,predicate,adj,abs
It was ridiculously dry. It wasn't [MASK].,predicate,adj,abs
It was completely [MASK]. It was not extremely wet.,predicate,adj,abs
It was completely [MASK].,predicate,adj,abs
It was completely dry. It was not extremely [MASK].,predicate,adj,abs
It was completely [MASK]. It was not ridiculously wet.,predicate,adj,abs
It was completely dry. It was not ridiculously [MASK].,predicate,adj,abs
It was completely [MASK]. It was not completely wet.,predicate,adj,abs
It was completely dry. It was not completely [MASK].,predicate,adj,abs
It was completely [MASK]. It was not totally wet.,predicate,adj,abs
It was completely dry. It was not totally [MASK].,predicate,adj,abs
It was completely [MASK]. It was not wet.,predicate,adj,abs
It was completely dry. It was not [MASK].,predicate,adj,abs
It was completely [MASK]. It wasn't extremely wet.,predicate,adj,abs
It was completely dry. It wasn't extremely [MASK].,predicate,adj,abs
It was completely [MASK]. It wasn't ridiculously wet.,predicate,adj,abs
It was completely dry. It wasn't ridiculously [MASK].,predicate,adj,abs
It was completely [MASK]. It wasn't completely wet.,predicate,adj,abs
It was completely dry. It wasn't completely [MASK].,predicate,adj,abs
It was completely [MASK]. It wasn't totally wet.,predicate,adj,abs
It was completely dry. It wasn't totally [MASK].,predicate,adj,abs
It was completely [MASK]. It wasn't wet.,predicate,adj,abs
It was completely dry. It wasn't [MASK].,predicate,adj,abs
It was totally [MASK]. It was not extremely wet.,predicate,adj,abs
It was totally [MASK].,predicate,adj,abs
It was totally dry. It was not extremely [MASK].,predicate,adj,abs
It was totally [MASK]. It was not ridiculously wet.,predicate,adj,abs
It was totally dry. It was not ridiculously [MASK].,predicate,adj,abs
It was totally [MASK]. It was not completely wet.,predicate,adj,abs
It was totally dry. It was not completely [MASK].,predicate,adj,abs
It was totally [MASK]. It was not totally wet.,predicate,adj,abs
It was totally dry. It was not totally [MASK].,predicate,adj,abs
It was totally [MASK]. It was not wet.,predicate,adj,abs
It was totally dry. It was not [MASK].,predicate,adj,abs
It was totally [MASK]. It wasn't extremely wet.,predicate,adj,abs
It was totally dry. It wasn't extremely [MASK].,predicate,adj,abs
It was totally [MASK]. It wasn't ridiculously wet.,predicate,adj,abs
It was totally dry. It wasn't ridiculously [MASK].,predicate,adj,abs
It was totally [MASK]. It wasn't completely wet.,predicate,adj,abs
It was totally dry. It wasn't completely [MASK].,predicate,adj,abs
It was totally [MASK]. It wasn't totally wet.,predicate,adj,abs
It was totally dry. It wasn't totally [MASK].,predicate,adj,abs
It was totally [MASK]. It wasn't wet.,predicate,adj,abs
It was totally dry. It wasn't [MASK].,predicate,adj,abs
It was [MASK]. It was not extremely wet.,predicate,adj,abs
It was [MASK].,predicate,adj,abs
It was dry. It was not extremely [MASK].,predicate,adj,abs
It was [MASK]. It was not ridiculously wet.,predicate,adj,abs
It was dry. It was not ridiculously [MASK].,predicate,adj,abs
It was [MASK]. It was not completely wet.,predicate,adj,abs
It was dry. It was not completely [MASK].,predicate,adj,abs
It was [MASK]. It was not totally wet.,predicate,adj,abs
It was dry. It was not totally [MASK].,predicate,adj,abs
It was [MASK]. It was not wet.,predicate,adj,abs
It was dry. It was not [MASK].,predicate,adj,abs
It was [MASK]. It wasn't extremely wet.,predicate,adj,abs
It was dry. It wasn't extremely [MASK].,predicate,adj,abs
It was [MASK]. It wasn't ridiculously wet.,predicate,adj,abs
It was dry. It wasn't ridiculously [MASK].,predicate,adj,abs
It was [MASK]. It wasn't completely wet.,predicate,adj,abs
It was dry. It wasn't completely [MASK].,predicate,adj,abs
It was [MASK]. It wasn't totally wet.,predicate,adj,abs
It was dry. It wasn't totally [MASK].,predicate,adj,abs
It was [MASK]. It wasn't wet.,predicate,adj,abs
It was dry. It wasn't [MASK].,predicate,adj,abs
It was not extremely [MASK]. It was not extremely dry.,predicate,adj,abs
It was not extremely wet. It was not extremely [MASK].,predicate,adj,abs
It was not extremely [MASK]. It was not ridiculously dry.,predicate,adj,abs
It was not extremely wet. It was not ridiculously [MASK].,predicate,adj,abs
It was not extremely [MASK]. It was not completely dry.,predicate,adj,abs
It was not extremely wet. It was not completely [MASK].,predicate,adj,abs
It was not extremely [MASK]. It was not totally dry.,predicate,adj,abs
It was not extremely wet. It was not totally [MASK].,predicate,adj,abs
It was not extremely [MASK]. It was not dry.,predicate,adj,abs
It was not extremely wet. It was not [MASK].,predicate,adj,abs
It was not extremely [MASK]. It wasn't extremely dry.,predicate,adj,abs
It was not extremely wet. It wasn't extremely [MASK].,predicate,adj,abs
It was not extremely [MASK]. It wasn't ridiculously dry.,predicate,adj,abs
It was not extremely wet. It wasn't ridiculously [MASK].,predicate,adj,abs
It was not extremely [MASK]. It wasn't completely dry.,predicate,adj,abs
It was not extremely wet. It wasn't completely [MASK].,predicate,adj,abs
It was not extremely [MASK]. It wasn't totally dry.,predicate,adj,abs
It was not extremely wet. It wasn't totally [MASK].,predicate,adj,abs
It was not extremely [MASK]. It wasn't dry.,predicate,adj,abs
It was not extremely wet. It wasn't [MASK].,predicate,adj,abs
It was not ridiculously [MASK]. It was not extremely dry.,predicate,adj,abs
It was not ridiculously wet. It was not extremely [MASK].,predicate,adj,abs
It was not ridiculously [MASK]. It was not ridiculously dry.,predicate,adj,abs
It was not ridiculously wet. It was not ridiculously [MASK].,predicate,adj,abs
It was not ridiculously [MASK]. It was not completely dry.,predicate,adj,abs
It was not ridiculously wet. It was not completely [MASK].,predicate,adj,abs
It was not ridiculously [MASK]. It was not totally dry.,predicate,adj,abs
It was not ridiculously wet. It was not totally [MASK].,predicate,adj,abs
It was not ridiculously [MASK]. It was not dry.,predicate,adj,abs
It was not ridiculously wet. It was not [MASK].,predicate,adj,abs
It was not ridiculously [MASK]. It wasn't extremely dry.,predicate,adj,abs
It was not ridiculously wet. It wasn't extremely [MASK].,predicate,adj,abs
It was not ridiculously [MASK]. It wasn't ridiculously dry.,predicate,adj,abs
It was not ridiculously wet. It wasn't ridiculously [MASK].,predicate,adj,abs
It was not ridiculously [MASK]. It wasn't completely dry.,predicate,adj,abs
It was not ridiculously wet. It wasn't completely [MASK].,predicate,adj,abs
It was not ridiculously [MASK]. It wasn't totally dry.,predicate,adj,abs
It was not ridiculously wet. It wasn't totally [MASK].,predicate,adj,abs
It was not ridiculously [MASK]. It wasn't dry.,predicate,adj,abs
It was not ridiculously wet. It wasn't [MASK].,predicate,adj,abs
It was not completely [MASK]. It was not extremely dry.,predicate,adj,abs
It was not completely wet. It was not extremely [MASK].,predicate,adj,abs
It was not completely [MASK]. It was not ridiculously dry.,predicate,adj,abs
It was not completely wet. It was not ridiculously [MASK].,predicate,adj,abs
It was not completely [MASK]. It was not completely dry.,predicate,adj,abs
It was not completely wet. It was not completely [MASK].,predicate,adj,abs
It was not completely [MASK]. It was not totally dry.,predicate,adj,abs
It was not completely wet. It was not totally [MASK].,predicate,adj,abs
It was not completely [MASK]. It was not dry.,predicate,adj,abs
It was not completely wet. It was not [MASK].,predicate,adj,abs
It was not completely [MASK]. It wasn't extremely dry.,predicate,adj,abs
It was not completely wet. It wasn't extremely [MASK].,predicate,adj,abs
It was not completely [MASK]. It wasn't ridiculously dry.,predicate,adj,abs
It was not completely wet. It wasn't ridiculously [MASK].,predicate,adj,abs
It was not completely [MASK]. It wasn't completely dry.,predicate,adj,abs
It was not completely wet. It wasn't completely [MASK].,predicate,adj,abs
It was not completely [MASK]. It wasn't totally dry.,predicate,adj,abs
It was not completely wet. It wasn't totally [MASK].,predicate,adj,abs
It was not completely [MASK]. It wasn't dry.,predicate,adj,abs
It was not completely wet. It wasn't [MASK].,predicate,adj,abs
It was not totally [MASK]. It was not extremely dry.,predicate,adj,abs
It was not totally wet. It was not extremely [MASK].,predicate,adj,abs
It was not totally [MASK]. It was not ridiculously dry.,predicate,adj,abs
It was not totally wet. It was not ridiculously [MASK].,predicate,adj,abs
It was not totally [MASK]. It was not completely dry.,predicate,adj,abs
It was not totally wet. It was not completely [MASK].,predicate,adj,abs
It was not totally [MASK]. It was not totally dry.,predicate,adj,abs
It was not totally wet. It was not totally [MASK].,predicate,adj,abs
It was not totally [MASK]. It was not dry.,predicate,adj,abs
It was not totally wet. It was not [MASK].,predicate,adj,abs
