,l1,l2,f,E11,am_log_likelihood,am_odds_ratio_disc,am_p1_given2,am_p2_given1,log_ratio,conservative_log_ratio,unexpected_count,unexpected_ratio,joint_probability
2196,publicly,viewable,331,0.883,3319.858,2.651,0.153,0.01,8.79,8.264,330.117,0.997,0.001
240,nearly,simultaneous,878,4.022,8192.878,2.606,0.455,0.005,8.649,8.261,873.978,0.995,0.002
28608,biblically,literate,80,0.126,877.857,2.833,0.012,0.052,9.326,8.259,79.874,0.998,0.001
40034,provably,fair,565,1.438,5882.936,2.812,0.007,0.39,8.628,8.257,563.562,0.997,0.003
4458,severely,handicapped,390,1.012,3909.31,2.635,0.087,0.021,8.722,8.254,388.988,0.997,0.002
16760,nutritionally,deficient,162,0.328,1696.376,2.723,0.023,0.042,8.979,8.253,161.672,0.998,0.001
20697,democratically,unaccountable,21,0.014,267.445,3.218,0.018,0.022,10.625,8.252,20.986,0.999,0.0
1669,similarly,themed,531,1.597,5217.14,2.615,0.183,0.012,8.668,8.25,529.403,0.997,0.002
4244,woefully,miscast,99,0.183,1058.697,2.78,0.091,0.007,9.219,8.242,98.817,0.998,0.001
1468,morally,obligated,290,0.802,2901.597,2.657,0.198,0.006,8.817,8.239,289.198,0.997,0.001
18546,unfailingly,courteous,100,0.176,1073.86,2.779,0.02,0.034,9.177,8.232,99.824,0.998,0.001
2347,practically,nil,273,0.71,2748.706,2.657,0.144,0.009,8.811,8.231,272.29,0.997,0.001
16965,heretofore,undiscovered,57,0.079,639.254,2.882,0.022,0.022,9.531,8.231,56.921,0.999,0.0
16902,seasonally,themed,65,0.096,720.45,2.854,0.022,0.023,9.435,8.23,64.904,0.999,0.001
25752,rabidly,right-wing,27,0.022,330.186,3.106,0.013,0.029,10.252,8.228,26.978,0.999,0.0
15455,viciously,anti-israel,25,0.02,308.718,3.133,0.025,0.016,10.356,8.226,24.98,0.999,0.0
24006,electrically,adjustable,137,0.268,1445.162,2.742,0.015,0.057,9.018,8.225,136.732,0.998,0.001
5019,eminently,beatable,79,0.134,857.534,2.813,0.079,0.007,9.326,8.223,78.866,0.998,0.001
12141,quintessentially,australian,111,0.207,1179.122,2.754,0.032,0.022,9.11,8.214,110.793,0.998,0.001
29694,federally,illegal,484,1.247,4916.293,2.693,0.011,0.204,8.617,8.213,482.753,0.997,0.002
1514,widely,admired,283,0.79,2825.153,2.652,0.194,0.006,8.797,8.213,282.21,0.997,0.001
10839,tightly,orchestrated,32,0.031,381.033,3.036,0.036,0.011,10.05,8.213,31.969,0.999,0.0
4448,roughly,analogous,322,0.831,3229.888,2.636,0.087,0.017,8.729,8.212,321.169,0.997,0.001
9569,fast,forward,190,0.42,1956.784,2.686,0.041,0.025,8.881,8.21,189.58,0.998,0.001
10036,second,worst,342,0.857,3442.472,2.638,0.039,0.042,8.699,8.209,341.143,0.997,0.002
33614,fresh,aesthetic,43,0.051,496.031,2.956,0.009,0.047,9.734,8.209,42.949,0.999,0.0
4981,woefully,understaffed,140,0.295,1459.177,2.719,0.08,0.01,9.012,8.207,139.705,0.998,0.001
44161,timelessly,elegant,202,0.443,2114.108,2.757,0.006,0.195,8.843,8.203,201.557,0.998,0.001
23206,early,next,350,0.866,3548.585,2.665,0.015,0.11,8.681,8.202,349.134,0.998,0.002
20036,sorely,disappointed,1565,4.649,15731.992,2.718,0.018,0.343,8.422,8.202,1560.351,0.997,0.006
27642,electrically,neutral,272,0.641,2784.316,2.686,0.012,0.113,8.748,8.201,271.359,0.998,0.001
49471,loud,funny,634,1.7,6782.195,3.015,0.004,0.637,8.55,8.201,632.3,0.997,0.003
20755,nutritionally,dense,468,1.22,4702.641,2.648,0.018,0.122,8.609,8.197,466.78,0.997,0.002
2364,mainly,sunni,584,1.774,5702.895,2.592,0.143,0.016,8.586,8.196,582.226,0.997,0.002
321,largely,unregulated,2101,10.235,19215.244,2.545,0.406,0.013,8.435,8.195,2090.765,0.995,0.005
2986,decidedly,mixed,438,1.247,4322.565,2.608,0.121,0.015,8.642,8.194,436.753,0.997,0.002
49664,lawfully,present,553,1.463,5863.902,2.945,0.004,0.569,8.569,8.194,551.537,0.997,0.003
13967,logically,incoherent,94,0.167,1007.254,2.774,0.028,0.023,9.173,8.193,93.833,0.998,0.001
10297,around,naked,813,2.33,8003.934,2.6,0.038,0.089,8.503,8.191,810.67,0.997,0.003
4741,chronically,understaffed,146,0.316,1514.385,2.708,0.083,0.01,8.978,8.191,145.684,0.998,0.001
12131,staunchly,pro-choice,48,0.063,543.931,2.909,0.032,0.014,9.629,8.188,47.937,0.999,0.0
24170,pathologically,narcissistic,37,0.041,432.143,2.985,0.015,0.028,9.857,8.185,36.959,0.999,0.0
31962,intricately,detailed,1272,3.727,13140.002,2.859,0.01,0.523,8.429,8.185,1268.273,0.997,0.005
1828,emotionally,resonant,968,3.257,9291.595,2.564,0.173,0.02,8.489,8.184,964.743,0.997,0.003
28138,yearly,average,202,0.451,2084.469,2.699,0.012,0.091,8.824,8.183,201.549,0.998,0.001
1255,purely,cosmetic,906,3.191,8656.224,2.567,0.218,0.014,8.505,8.181,902.809,0.996,0.003
33944,harshly,critical,1285,3.777,13382.077,2.912,0.009,0.578,8.423,8.181,1281.223,0.997,0.005
21396,devoutly,buddhist,48,0.062,544.303,2.91,0.017,0.026,9.614,8.18,47.938,0.999,0.0
6819,darkly,satirical,124,0.252,1298.438,2.725,0.059,0.012,9.028,8.176,123.748,0.998,0.001
40232,hysterically,funny,964,2.763,10114.731,2.94,0.007,0.596,8.457,8.176,961.237,0.997,0.004
30385,sickly,sweet,1181,3.465,12067.693,2.798,0.011,0.45,8.429,8.175,1177.535,0.997,0.005
78,almost,daily,6972,56.706,59006.41,2.517,0.617,0.017,8.337,8.174,6915.294,0.992,0.01
26134,offensively,minded,102,0.188,1087.357,2.765,0.013,0.05,9.103,8.171,101.812,0.998,0.001
23017,mechanically,sound,228,0.53,2331.625,2.676,0.015,0.076,8.772,8.17,227.47,0.998,0.001
22177,firmly,convinced,218,0.502,2232.039,2.677,0.016,0.07,8.785,8.169,217.498,0.998,0.001
14374,nominally,communist,64,0.098,704.426,2.837,0.027,0.019,9.386,8.168,63.902,0.998,0.0
2851,profoundly,deaf,684,2.126,6638.544,2.575,0.125,0.021,8.523,8.168,681.874,0.997,0.003
8080,spiritually,uplifting,409,1.098,4062.878,2.61,0.05,0.037,8.615,8.167,407.902,0.997,0.002
9025,patently,absurd,1133,3.442,11044.216,2.583,0.044,0.101,8.428,8.164,1129.558,0.997,0.004
20189,staunchly,republican,212,0.488,2169.386,2.674,0.018,0.06,8.79,8.163,211.512,0.998,0.001
39236,electronically,adjustable,66,0.102,728.21,2.851,0.007,0.072,9.351,8.163,65.898,0.998,0.001
20001,staunchly,catholic,202,0.46,2070.419,2.677,0.018,0.058,8.804,8.161,201.54,0.998,0.001
73,all,set,4839,39.526,40945.81,2.521,0.623,0.011,8.357,8.159,4799.474,0.992,0.007
38661,provably,false,255,0.608,2620.708,2.711,0.007,0.176,8.723,8.158,254.392,0.998,0.001
1208,seriously,hurt,879,3.167,8363.31,2.56,0.224,0.013,8.483,8.153,875.833,0.996,0.003
2100,economically,viable,6809,26.301,64180.66,2.55,0.158,0.133,8.264,8.152,6782.699,0.996,0.021
6723,grossly,unfair,1767,5.711,17051.264,2.568,0.06,0.11,8.362,8.151,1761.289,0.997,0.007
16185,nowhere,near,306,0.772,3077.076,2.637,0.023,0.062,8.665,8.149,305.228,0.997,0.001
10012,eternally,grateful,4704,15.894,46687.902,2.728,0.039,0.423,8.267,8.14,4688.106,0.997,0.017
2266,notoriously,fickle,562,1.778,5445.486,2.576,0.149,0.014,8.537,8.139,560.222,0.997,0.002
7407,eminently,watchable,232,0.572,2341.153,2.642,0.054,0.021,8.744,8.138,231.428,0.998,0.001
806,virtually,unbreakable,499,1.807,4775.409,2.589,0.284,0.006,8.592,8.134,497.193,0.996,0.002
19985,nutritionally,adequate,273,0.68,2753.618,2.645,0.018,0.071,8.676,8.129,272.32,0.998,0.001
13516,quintessentially,canadian,134,0.282,1392.116,2.703,0.029,0.027,8.935,8.129,133.718,0.998,0.001
684,once,mighty,691,2.719,6519.926,2.568,0.308,0.007,8.522,8.128,688.281,0.996,0.002
22,just,sayin,838,8.504,6956.346,2.622,0.759,0.001,8.711,8.126,829.496,0.99,0.001
2446,visually,stunning,6754,26.055,63664.72,2.549,0.14,0.15,8.235,8.124,6727.945,0.996,0.021
888,previously,untold,294,0.956,2870.733,2.627,0.27,0.004,8.718,8.121,293.044,0.997,0.001
1424,naturally,wavy,232,0.666,2304.697,2.643,0.201,0.005,8.77,8.119,231.334,0.997,0.001
30228,unconstitutionally,excessive,89,0.162,951.55,2.772,0.011,0.054,9.12,8.115,88.838,0.998,0.001
18635,creatively,bankrupt,160,0.356,1645.383,2.682,0.02,0.043,8.841,8.111,159.644,0.998,0.001
1880,predominantly,african,917,3.214,8721.942,2.544,0.169,0.018,8.424,8.11,913.786,0.996,0.003
1858,mutually,intelligible,401,1.254,3902.041,2.59,0.17,0.009,8.59,8.11,399.746,0.997,0.002
30788,next,highest,76,0.13,821.278,2.796,0.01,0.051,9.206,8.108,75.87,0.998,0.001
1743,predominantly,arab,548,1.825,5269.584,2.568,0.178,0.011,8.513,8.103,546.175,0.997,0.002
9379,originally,forecast,95,0.183,1003.48,2.742,0.042,0.014,9.081,8.1,94.817,0.998,0.001
6405,scientifically,unsound,164,0.384,1672.31,2.666,0.062,0.013,8.832,8.099,163.616,0.998,0.001
7686,first,last,1902,6.376,18242.271,2.558,0.052,0.129,8.298,8.096,1895.624,0.997,0.007
49015,unflinchingly,honest,344,0.909,3533.123,2.763,0.005,0.343,8.57,8.089,343.091,0.997,0.002
6577,woefully,insufficient,329,0.908,3249.329,2.597,0.061,0.023,8.592,8.087,328.092,0.997,0.001
2348,normally,unflappable,155,0.389,1571.548,2.672,0.144,0.005,8.865,8.081,154.611,0.997,0.001
14976,gravely,ill,2892,9.806,28542.703,2.702,0.026,0.398,8.242,8.08,2882.194,0.997,0.01
8563,objectively,disordered,57,0.089,625.871,2.834,0.047,0.009,9.389,8.078,56.911,0.998,0.0
279,potentially,life-threatening,3429,19.574,30410.06,2.496,0.43,0.017,8.267,8.076,3409.426,0.994,0.007
17146,predominately,muslim,491,1.41,4826.226,2.594,0.022,0.093,8.476,8.074,489.59,0.997,0.002
2225,directly,related,20294,85.107,193963.05,2.658,0.151,0.383,8.133,8.069,20208.893,0.996,0.058
1389,purely,aesthetic,958,3.612,9007.293,2.529,0.204,0.015,8.38,8.068,954.388,0.996,0.003
35876,unrelentingly,grim,101,0.199,1065.564,2.745,0.008,0.074,9.001,8.066,100.801,0.998,0.001
871,virtually,nil,516,1.945,4889.653,2.565,0.273,0.006,8.511,8.064,514.055,0.996,0.002
7589,permanently,resident,59,0.095,644.294,2.822,0.053,0.008,9.351,8.063,58.905,0.998,0.0
12848,ethically,dubious,316,0.856,3129.77,2.602,0.03,0.046,8.572,8.063,315.144,0.997,0.001
3117,personally,liable,2370,8.841,22224.129,2.511,0.117,0.065,8.246,8.058,2361.159,0.996,0.008
7531,eternally,existent,189,0.47,1903.358,2.637,0.053,0.017,8.731,8.055,188.53,0.998,0.001
37152,unrelentingly,bleak,116,0.242,1211.79,2.725,0.008,0.085,8.918,8.051,115.758,0.998,0.001
4193,supremely,self-confident,95,0.198,993.125,2.728,0.092,0.006,9.047,8.047,94.802,0.998,0.001
28831,above,normal,1024,3.243,10146.077,2.682,0.012,0.336,8.319,8.046,1020.757,0.997,0.004
16238,fatally,defective,84,0.158,890.613,2.748,0.023,0.023,9.089,8.046,83.842,0.998,0.001
38574,timelessly,chic,68,0.115,736.829,2.806,0.007,0.066,9.213,8.045,67.885,0.998,0.0
2332,heavily,hispanic,525,1.749,5029.831,2.552,0.146,0.013,8.456,8.044,523.251,0.997,0.002
687,politically,motivated,11015,56.425,98996.43,2.488,0.308,0.083,8.14,8.043,10958.575,0.995,0.026
2112,better,overall,639,2.218,6079.136,2.54,0.157,0.014,8.417,8.043,636.782,0.997,0.002
4083,grossly,inflated,90,0.184,943.973,2.736,0.094,0.006,9.074,8.043,89.816,0.998,0.001
5471,roughly,parallel,539,1.68,5201.879,2.552,0.072,0.029,8.434,8.042,537.32,0.997,0.002
24180,internally,inconsistent,262,0.685,2619.073,2.627,0.015,0.082,8.6,8.041,261.315,0.997,0.001
1872,predominantly,ethnic,601,2.1,5716.478,2.543,0.17,0.012,8.429,8.039,598.9,0.997,0.002
19576,manifestly,excessive,156,0.363,1590.397,2.662,0.019,0.043,8.776,8.037,155.637,0.998,0.001
15563,luxuriously,plush,37,0.045,423.894,2.936,0.025,0.015,9.712,8.036,36.955,0.999,0.0
17688,straight,uphill,48,0.069,534.187,2.863,0.021,0.019,9.47,8.035,47.931,0.999,0.0
20165,off,injured,37,0.045,423.872,2.935,0.018,0.02,9.704,8.031,36.955,0.999,0.0
8467,overtly,political,2074,7.284,19732.889,2.546,0.047,0.149,8.223,8.03,2066.716,0.996,0.007
175,fully,air-conditioned,608,3.327,5495.486,2.563,0.498,0.003,8.511,8.025,604.673,0.995,0.001
7804,racially,motivated,1841,6.462,17470.967,2.534,0.051,0.122,8.231,8.025,1834.538,0.996,0.006
18295,approximately,equivalent,288,0.781,2853.919,2.604,0.02,0.062,8.556,8.024,287.219,0.997,0.001
4609,non,returnable,137,0.328,1393.324,2.664,0.085,0.008,8.835,8.019,136.672,0.998,0.001
35796,biblically,faithful,128,0.283,1322.028,2.699,0.008,0.084,8.834,8.013,127.717,0.998,0.001
3070,essentially,unchanged,2416,9.376,22463.16,2.494,0.118,0.063,8.191,8.005,2406.624,0.996,0.007
1888,financially,troubled,1574,6.253,14592.626,2.494,0.169,0.028,8.242,8.005,1567.747,0.996,0.005
5195,medically,unfit,456,1.43,4394.469,2.549,0.076,0.023,8.431,8.003,454.57,0.997,0.002
1122,mentally,disabled,1019,4.203,9433.052,2.507,0.235,0.013,8.308,8.0,1014.797,0.996,0.003
2902,legally,permissible,837,2.991,7890.352,2.514,0.124,0.023,8.319,7.999,834.009,0.996,0.003
18561,falsely,so-called,18,0.012,228.951,3.216,0.02,0.017,10.62,7.997,17.988,0.999,0.0
31637,cosmetically,unappealing,29,0.03,341.997,3.011,0.01,0.033,9.931,7.996,28.97,0.999,0.0
937,previously,unannounced,246,0.829,2381.351,2.605,0.26,0.003,8.648,7.996,245.171,0.997,0.001
2375,merely,advisory,156,0.415,1562.833,2.645,0.143,0.005,8.776,7.995,155.585,0.997,0.001
988,clearly,erroneous,912,3.8,8440.042,2.511,0.251,0.01,8.325,7.995,908.2,0.996,0.003
9520,eminently,readable,663,2.134,6355.71,2.538,0.042,0.059,8.341,7.994,660.866,0.997,0.002
19557,individually,identifiable,472,1.421,4596.495,2.575,0.019,0.099,8.403,7.993,470.579,0.997,0.002
14783,constitutionally,incapable,296,0.831,2910.422,2.586,0.026,0.048,8.515,7.989,295.169,0.997,0.001
17690,solidly,democratic,662,2.099,6392.783,2.563,0.021,0.117,8.332,7.988,659.901,0.997,0.002
795,currently,unavailable,4424,22.044,39672.617,2.465,0.286,0.037,8.136,7.984,4401.956,0.995,0.011
20255,borderline,psychotic,40,0.053,451.405,2.898,0.018,0.02,9.58,7.983,39.947,0.999,0.0
5628,allegedly,improper,196,0.525,1946.862,2.61,0.07,0.012,8.649,7.98,195.475,0.997,0.001
1590,directly,proportionate,326,1.095,3131.478,2.568,0.188,0.006,8.519,7.978,324.905,0.997,0.001
275,fully,automatic,5178,32.564,44971.883,2.458,0.433,0.023,8.134,7.978,5145.436,0.994,0.01
25327,insufferably,pompous,22,0.018,269.667,3.113,0.014,0.024,10.276,7.975,21.982,0.999,0.0
16087,demonstrably,untrue,263,0.727,2593.44,2.591,0.024,0.048,8.534,7.975,262.273,0.997,0.001
5400,non,negotiable,217,0.601,2142.38,2.597,0.073,0.013,8.607,7.973,216.399,0.997,0.001
1797,predominantly,latino,364,1.237,3482.675,2.556,0.174,0.007,8.477,7.971,362.763,0.997,0.001
25,highly,touted,1278,15.373,10166.307,2.542,0.754,0.002,8.444,7.97,1262.627,0.988,0.001
4107,acutely,malnourished,86,0.182,896.275,2.722,0.094,0.005,9.026,7.968,85.818,0.998,0.0
7544,forever,grateful,6385,25.015,61068.004,2.628,0.053,0.364,8.075,7.965,6359.985,0.996,0.019
22710,happily,single,267,0.74,2636.124,2.598,0.016,0.073,8.518,7.965,266.26,0.997,0.001
6950,eminently,winnable,119,0.276,1214.279,2.666,0.058,0.011,8.836,7.964,118.724,0.998,0.001
46256,blindly,loyal,192,0.493,1943.854,2.676,0.005,0.173,8.613,7.956,191.507,0.997,0.001
1180,virtually,nonexistent,2115,9.547,19206.418,2.469,0.228,0.025,8.164,7.953,2105.453,0.995,0.006
3207,infinitely,divisible,102,0.237,1045.899,2.69,0.114,0.005,8.922,7.951,101.763,0.998,0.001
29966,rigidly,ideological,50,0.078,549.324,2.834,0.011,0.035,9.348,7.951,49.922,0.998,0.0
20197,militarily,enforceable,73,0.138,773.353,2.746,0.018,0.025,9.077,7.95,72.862,0.998,0.0
23467,casually,chic,141,0.338,1429.173,2.649,0.015,0.047,8.728,7.947,140.662,0.998,0.001
9184,brand,new,13868,55.88,149416.14,3.747,0.043,0.95,8.019,7.945,13812.12,0.996,0.041
17658,rightly,outraged,124,0.287,1263.585,2.659,0.021,0.03,8.784,7.944,123.713,0.998,0.001
42880,insufferably,arrogant,72,0.135,766.978,2.768,0.006,0.077,9.072,7.941,71.865,0.998,0.0
1973,economically,backward,604,2.252,5662.543,2.511,0.163,0.012,8.325,7.938,601.748,0.996,0.002
9585,recently,unemployed,335,1.012,3244.526,2.553,0.041,0.032,8.432,7.936,333.988,0.997,0.001
4534,statistically,insignificant,1343,5.063,12499.522,2.485,0.086,0.049,8.181,7.935,1337.937,0.996,0.004
10542,explicitly,feminist,111,0.253,1134.863,2.667,0.037,0.016,8.831,7.933,110.747,0.998,0.001
489,seemingly,insurmountable,2507,13.736,22171.057,2.458,0.354,0.015,8.143,7.932,2493.264,0.995,0.005
4717,partially,nude,289,0.885,2798.445,2.559,0.084,0.013,8.478,7.931,288.115,0.997,0.001
1034,virtually,undetectable,682,2.85,6301.666,2.505,0.246,0.008,8.31,7.929,679.15,0.996,0.002
792,politically,correct,21927,120.598,195345.69,2.485,0.286,0.166,7.994,7.926,21806.402,0.995,0.047
4053,traditionally,underserved,344,1.113,3296.912,2.54,0.095,0.013,8.415,7.914,342.887,0.997,0.001
340,deeply,ingrained,682,3.526,6144.968,2.511,0.4,0.004,8.335,7.912,678.474,0.995,0.002
613,politically,connected,979,4.778,8835.896,2.484,0.323,0.007,8.242,7.909,974.222,0.995,0.002
24074,farther,back,22,0.019,267.576,3.092,0.015,0.021,10.21,7.908,21.981,0.999,0.0
10173,lightly,floral,131,0.321,1320.676,2.636,0.039,0.017,8.728,7.908,130.679,0.998,0.001
7968,scientifically,illiterate,232,0.67,2266.888,2.571,0.05,0.019,8.511,7.906,231.33,0.997,0.001
6280,medically,unnecessary,1374,5.185,12780.062,2.483,0.063,0.069,8.144,7.904,1368.815,0.996,0.004
13128,artificially,intelligent,1831,6.847,17260.67,2.536,0.029,0.198,8.106,7.902,1824.153,0.996,0.006
10332,criminally,underrated,600,2.029,5688.286,2.513,0.038,0.056,8.264,7.899,597.971,0.997,0.002
4611,severely,understaffed,149,0.397,1483.103,2.617,0.085,0.008,8.678,7.899,148.603,0.997,0.001
10455,ethnically,chinese,235,0.677,2295.812,2.569,0.038,0.026,8.495,7.897,234.323,0.997,0.001
767,easily,obtainable,1372,6.74,12317.862,2.464,0.292,0.011,8.169,7.895,1365.26,0.995,0.003
25969,else,other,366,1.132,3545.286,2.565,0.013,0.106,8.356,7.889,364.868,0.997,0.001
4499,roughly,rectangular,133,0.346,1330.335,2.628,0.087,0.007,8.716,7.886,132.654,0.997,0.001
17567,tightly,structured,51,0.084,553.304,2.802,0.021,0.017,9.27,7.884,50.916,0.998,0.0
12609,gravely,immoral,208,0.585,2041.144,2.578,0.031,0.029,8.519,7.883,207.415,0.997,0.001
26956,endearingly,goofy,63,0.116,670.639,2.758,0.013,0.032,9.104,7.881,62.884,0.998,0.0
36407,purposely,vague,227,0.641,2242.102,2.609,0.008,0.119,8.48,7.879,226.359,0.997,0.001
5441,roughly,circular,268,0.831,2585.332,2.548,0.073,0.014,8.442,7.876,267.169,0.997,0.001
1830,historically,underrepresented,465,1.759,4349.108,2.508,0.172,0.009,8.319,7.874,463.241,0.996,0.001
4801,newly,single,1396,5.488,12873.729,2.466,0.082,0.051,8.115,7.874,1390.512,0.996,0.004
22669,rigidly,controlled,27,0.029,316.289,2.993,0.016,0.019,9.889,7.864,26.971,0.999,0.0
15837,originally,due,552,1.871,5237.115,2.517,0.024,0.081,8.24,7.861,550.129,0.997,0.002
8386,exclusively,male,762,2.755,7127.546,2.487,0.048,0.053,8.182,7.858,759.245,0.996,0.003
791,yet,undetermined,317,1.282,2963.952,2.542,0.287,0.003,8.438,7.858,315.718,0.996,0.001
5866,eerily,prophetic,175,0.496,1718.373,2.584,0.068,0.011,8.565,7.856,174.504,0.997,0.001
22389,straight,overall,65,0.124,686.868,2.74,0.016,0.025,9.056,7.853,64.876,0.998,0.0
31415,coldly,analytical,42,0.063,464.406,2.849,0.01,0.033,9.4,7.853,41.937,0.999,0.0
10828,predominately,african-american,53,0.093,569.718,2.782,0.036,0.01,9.214,7.852,52.907,0.998,0.0
42401,demographically,representative,154,0.402,1544.537,2.641,0.006,0.115,8.592,7.851,153.598,0.997,0.001
5265,woefully,ill-equipped,83,0.185,854.797,2.691,0.075,0.006,8.921,7.85,82.815,0.998,0.0
246,fully,editable,849,5.118,7452.303,2.483,0.452,0.004,8.244,7.849,843.882,0.994,0.002
1305,virtually,unlimited,2490,12.032,22241.227,2.433,0.213,0.029,8.038,7.845,2477.968,0.995,0.006
5414,positively,gleeful,78,0.17,806.903,2.7,0.073,0.006,8.953,7.845,77.83,0.998,0.0
1257,previously,unidentified,433,1.741,4019.058,2.506,0.218,0.006,8.314,7.84,431.259,0.996,0.001
29,still,unaccounted,1699,22.485,13152.475,2.482,0.743,0.002,8.243,7.84,1676.515,0.987,0.002
1450,purely,humanitarian,382,1.475,3568.266,2.513,0.199,0.006,8.338,7.837,380.525,0.996,0.001
1197,mentally,deranged,590,2.53,5406.951,2.483,0.226,0.007,8.235,7.83,587.47,0.996,0.002
782,easily,reachable,1039,5.167,9295.57,2.456,0.289,0.009,8.144,7.829,1033.833,0.995,0.002
3150,heavily,republican,1350,5.651,12303.785,2.446,0.116,0.033,8.078,7.828,1344.349,0.996,0.004
16685,comically,inept,185,0.522,1814.039,2.576,0.023,0.034,8.504,7.828,184.478,0.997,0.001
20158,manifestly,unfit,109,0.262,1102.618,2.642,0.018,0.03,8.728,7.828,108.738,0.998,0.001
16766,gleefully,anarchic,22,0.02,264.899,3.066,0.023,0.013,10.134,7.827,21.98,0.999,0.0
31148,evenly,golden,68,0.135,714.315,2.729,0.01,0.04,8.996,7.826,67.865,0.998,0.0
11114,locally,extinct,311,0.995,2974.826,2.526,0.035,0.033,8.34,7.826,310.005,0.997,0.001
37374,below,average,131,0.332,1316.585,2.637,0.008,0.08,8.635,7.825,130.668,0.997,0.001
16443,staunchly,protestant,56,0.102,597.182,2.761,0.023,0.016,9.138,7.824,55.898,0.998,0.0
19030,rigidly,segregated,21,0.018,254.82,3.086,0.019,0.015,10.198,7.824,20.982,0.999,0.0
12405,objectively,measurable,96,0.223,977.225,2.656,0.031,0.016,8.794,7.823,95.777,0.998,0.0
34286,stereotypically,male,142,0.37,1418.693,2.623,0.009,0.073,8.598,7.823,141.63,0.997,0.001
2727,ultimately,fruitless,283,0.971,2688.08,2.529,0.13,0.008,8.387,7.822,282.029,0.997,0.001
3430,fundamentally,flawed,3355,14.962,30299.385,2.438,0.109,0.082,7.975,7.819,3340.038,0.996,0.009
6843,fiercely,independent,3696,15.752,33897.285,2.481,0.059,0.177,7.961,7.816,3680.248,0.996,0.01
10855,sadly,lacking,466,1.609,4392.608,2.498,0.036,0.045,8.232,7.816,464.391,0.997,0.002
38453,agonizingly,slow,708,2.521,6835.638,2.622,0.007,0.323,8.144,7.814,705.479,0.996,0.002
7049,scientifically,verifiable,117,0.3,1170.854,2.623,0.057,0.01,8.693,7.814,116.7,0.997,0.001
22446,independently,adjustable,149,0.398,1477.239,2.6,0.016,0.042,8.572,7.814,148.602,0.997,0.001
37771,oppressively,humid,53,0.093,569.286,2.782,0.008,0.047,9.159,7.81,52.907,0.998,0.0
1162,previously,winless,276,1.054,2593.256,2.534,0.23,0.004,8.409,7.806,274.946,0.996,0.001
9381,clinically,depressed,1132,4.406,10450.63,2.466,0.042,0.082,8.068,7.804,1127.594,0.996,0.003
1504,physically,handicapped,874,3.877,7922.976,2.453,0.195,0.012,8.13,7.804,870.123,0.996,0.002
5431,partially,deaf,397,1.393,3733.498,2.496,0.073,0.019,8.263,7.803,395.607,0.996,0.001
9754,solely,responsible,8476,37.055,81733.45,2.747,0.04,0.571,7.897,7.803,8438.945,0.996,0.023
9676,deliberately,provocative,605,2.198,5646.388,2.48,0.041,0.049,8.165,7.801,602.802,0.996,0.002
26227,unfairly,discriminatory,75,0.158,777.836,2.698,0.013,0.032,8.907,7.799,74.842,0.998,0.0
30833,shamelessly,manipulative,40,0.06,441.673,2.846,0.01,0.03,9.391,7.798,39.94,0.998,0.0
20496,sweetly,fragrant,87,0.197,890.254,2.667,0.018,0.026,8.815,7.795,86.803,0.998,0.0
13162,constitutionally,ineligible,109,0.27,1095.589,2.628,0.029,0.018,8.698,7.794,108.73,0.998,0.001
3299,ultimately,futile,682,2.709,6273.684,2.461,0.112,0.018,8.147,7.793,679.291,0.996,0.002
5930,strongly,pro-life,197,0.6,1905.486,2.552,0.067,0.011,8.458,7.793,196.4,0.997,0.001
22324,devastatingly,handsome,307,0.987,2939.256,2.532,0.016,0.071,8.304,7.79,306.013,0.997,0.001
14045,preferably,outdoors,52,0.094,555.569,2.766,0.027,0.013,9.158,7.785,51.906,0.998,0.0
28829,graphically,intensive,151,0.412,1492.46,2.596,0.012,0.057,8.535,7.784,150.588,0.997,0.001
8757,universally,flattering,716,2.707,6630.065,2.465,0.046,0.05,8.115,7.781,713.293,0.996,0.002
20407,manifestly,unfounded,103,0.251,1038.461,2.635,0.018,0.028,8.705,7.776,102.749,0.998,0.001
40894,meticulously,detailed,841,3.14,8136.858,2.66,0.007,0.41,8.075,7.773,837.86,0.996,0.003
2373,heavily,polluted,218,0.741,2077.517,2.539,0.143,0.005,8.423,7.77,217.259,0.997,0.001
47412,kindly,old,668,2.436,6529.696,2.699,0.005,0.448,8.106,7.767,665.564,0.996,0.002
3141,legally,defensible,428,1.627,3973.624,2.479,0.116,0.012,8.217,7.766,426.373,0.996,0.001
4181,practically,nonexistent,855,3.487,7809.832,2.444,0.092,0.027,8.077,7.766,851.513,0.996,0.002
17516,chemically,reactive,156,0.439,1529.815,2.575,0.021,0.031,8.506,7.765,155.561,0.997,0.001
5276,grossly,misinformed,102,0.262,1021.975,2.629,0.075,0.006,8.719,7.764,101.738,0.997,0.0
22559,infectiously,danceable,21,0.019,253.142,3.069,0.016,0.018,10.136,7.764,20.981,0.999,0.0
6565,non,judgmental,274,0.913,2601.212,2.512,0.061,0.016,8.32,7.764,273.087,0.997,0.001
25065,internally,flawless,143,0.391,1410.944,2.59,0.014,0.045,8.533,7.759,142.609,0.997,0.001
38544,evolutionarily,novel,59,0.114,623.087,2.743,0.007,0.05,9.027,7.759,58.886,0.998,0.0
5782,statistically,significant,16905,80.041,162288.97,2.779,0.069,0.621,7.825,7.757,16824.959,0.995,0.043
