adj_lemma,SUM,very,more,most,so,too,as,not,how,much,really,less,pretty,even,still,also,extremely,quite,relatively,highly,particularly,increasingly,just,far,partly,always,especially,immediately,completely,almost,now,only,slightly,fairly,mostly,that,already,no,politically,all,absolutely,totally,often,potentially,truly,largely,incredibly,rather,equally,entirely,deeply,somewhat,fully,well,real,little,nearly,unusually,generally,predominantly,perfectly,sometimes,mentally,long,super,yet,surprisingly,significantly,virtually,probably,overly,seemingly,of,usually,once,least,than,clearly,ever,actually,any,certainly,sharply,longer,otherwise,environmentally,currently,remarkably,mainly,hugely,financially,simply,terribly,sexually,definitely,economically,heavily,physically,seriously,apparently,exceptionally,legally,considerably,readily,reasonably,widely,about,easily,socially,hardly,extraordinarily,wildly,historically,bit,previously,however,both,critically,never,barely,traditionally,obviously,openly,substantially,unexpectedly,overwhelmingly,when,utterly,notoriously,technically,genuinely,wide,purely,fundamentally,sufficiently,vastly,necessarily,exactly,perhaps,dangerously,immensely,newly,mutually,terminally,consistently,similarly,enormously,emotionally,better,then,essentially,finally,normally,moderately,directly,painfully,comparatively,commercially,damn,typically,awfully,inherently,morally,personally,intensely,fiercely,downright,profoundly,way,exceedingly,indeed,double,possibly,desperately,plain,therefore,amazingly,wholly,primarily,thoroughly,ultimately,naturally,best,tremendously,racially,publicly,cautiously,wonderfully,decidedly,uniquely,basically,likely,marginally,visually,formerly,half,reportedly,dramatically,statistically,initially,visibly,strictly,roughly,practically,ridiculously,severely,culturally,extra,allegedly,brand,up,strikingly,ethnically,merely,radically,mildly,supposedly,technologically,broadly,again,back,unbelievably,eerily,suddenly,fiscally,where,internationally,psychologically,chronically,acutely,distinctly,medically,closely,dead,enough,partially,strongly,somehow,altogether,strategically,pleasantly,second,artificially,excessively,rarely,kinda,keenly,modestly,occasionally,instantly,brutally,further,strangely,vitally,remotely,noticeably,narrowly,officially,bitterly,notably,near,infinitely,deceptively,abundantly,oddly,famously,markedly,gravely,doubly,minimally,impossibly,thus,vaguely,woefully,solely,abnormally,frequently,lot,maybe,stunningly,over,unseasonably,horribly,insanely,crystal,grossly,constantly,supremely,whenever,but,darn,prohibitively,deliberately,disproportionately,intellectually,down,freely,criminally,plenty,bone,conspicuously,forever,patently,undeniably,understandably,exclusively,astonishingly,universally,there,locally,shockingly,right,greatly,nationally,scantily,progressively,kind,mighty,firmly,out,beautifully,aesthetically,hiv,genetically,though,quietly,sparsely,home,globally,stubbornly,clinically,overtly,unnecessarily
divisive,2172,92,118,529,96,75,89,6,20,0,5,44,1,1,5,2,21,10,0,86,29,57,2,0,0,4,4,0,0,1,0,3,1,1,0,0,9,0,78,0,1,2,31,189,1,0,9,2,9,2,129,5,0,0,1,0,0,5,1,0,0,17,0,0,0,0,2,0,0,0,2,0,0,1,1,0,0,2,0,0,0,2,6,0,3,0,1,0,0,16,0,0,3,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,26,0,3,3,1,0,0,0,1,1,0,0,11,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,1,4,0,1,0,0,0,1,2,5,0,0,0,0,0,0,0,3,0,0,0,0,0,9,1,0,3,4,0,6,0,1,0,0,5,0,0,0,0,0,0,1,4,0,0,1,107,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,72,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
feasible,2166,46,265,27,3,1,25,322,27,0,24,22,3,30,35,26,2,41,0,5,4,6,4,0,0,28,2,2,10,1,10,50,0,1,0,0,0,0,98,7,6,10,0,2,1,1,0,2,1,26,0,0,2,4,0,0,0,0,1,0,12,0,0,17,0,10,0,0,1,1,0,1,0,4,0,0,1,4,0,10,0,24,0,37,2,2,8,0,0,0,108,0,0,0,5,319,0,2,0,0,0,9,0,1,3,0,1,1,1,6,0,0,2,0,2,1,4,0,0,1,0,0,0,0,0,0,11,0,0,205,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,2,28,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fantastic,2165,10,114,174,168,24,58,39,23,3,190,12,119,5,20,58,0,29,0,1,10,7,264,0,0,31,3,0,4,3,0,2,2,3,0,5,10,1,0,44,393,4,2,2,81,1,8,10,13,1,0,3,0,1,0,0,0,0,3,0,0,2,0,0,3,0,1,0,0,2,1,3,2,0,2,0,0,0,0,3,0,0,0,2,8,0,0,1,0,0,0,55,0,0,3,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,9,0,2,0,0,9,0,0,0,1,0,22,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,9,0,0,0,0,0,0,0,0,6,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,3,0,0,2,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
retarded,2159,1,0,3,6,1,7,5,1,0,2,1,5,1,1,4,0,2,0,0,0,0,4,0,0,0,0,0,3,1,0,0,15,0,1,0,0,0,0,3,1,3,4,0,0,0,1,1,0,0,0,2,1,0,0,0,3,0,0,0,0,0,1776,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,2,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,6,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,97,1,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
functional,2153,127,227,58,9,1,63,46,4,1,14,18,3,4,54,22,20,18,0,161,1,2,22,0,3,5,2,1,35,3,5,23,0,6,3,1,7,0,0,5,1,12,1,1,15,1,11,1,6,4,0,4,760,5,0,1,0,0,1,0,45,1,1,17,4,12,4,0,0,0,0,3,0,5,1,1,0,0,2,4,0,2,0,11,3,0,5,4,1,2,0,3,1,1,3,1,0,1,0,0,4,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,35,0,0,28,0,1,0,0,0,0,1,0,0,0,2,0,46,0,1,0,0,1,0,0,0,0,0,0,4,1,0,0,0,2,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,4,0,1,1,1,0,0,0,0,0,0,2,0,2,1,0,4,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,15,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0
elaborate,2136,135,957,428,50,27,90,8,14,0,15,65,13,4,0,0,14,38,1,10,13,61,0,0,0,1,5,0,0,1,0,2,0,13,0,1,4,0,0,0,0,0,10,0,1,0,19,21,7,0,0,3,0,1,0,0,0,5,0,0,0,8,0,0,2,0,0,0,0,0,20,0,2,2,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
bullish,2124,332,375,175,62,39,88,9,11,0,22,64,48,4,138,56,60,59,24,1,23,19,3,0,0,4,20,0,2,0,2,0,21,30,12,12,15,0,0,4,1,2,3,11,2,2,9,10,12,2,0,12,0,0,5,0,0,2,36,1,0,0,0,3,1,0,11,0,0,0,23,2,2,7,4,2,3,2,0,3,0,1,1,2,6,0,3,3,0,1,0,0,1,0,4,0,2,0,0,1,0,0,0,0,7,0,0,0,0,0,2,14,0,0,5,0,0,0,0,0,3,1,1,0,1,4,0,0,0,2,0,0,0,5,2,0,0,5,0,0,0,1,0,0,5,5,0,0,0,1,0,0,8,9,0,0,0,0,0,7,1,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,11,0,11,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,23,1,0,2,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,2,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0
formal,2122,89,1048,87,29,80,40,14,8,10,7,433,4,4,0,2,4,17,1,22,0,0,1,0,1,3,0,0,1,3,2,5,13,5,5,4,0,3,0,1,0,0,3,0,0,10,2,14,3,1,0,15,0,0,0,0,0,0,1,0,0,1,0,0,1,5,1,0,0,0,16,1,1,3,2,4,0,1,1,1,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1,2,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,23,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,1,0,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
worthy,2122,141,304,117,51,6,152,427,15,8,35,101,1,46,34,51,8,15,0,7,15,0,2,1,0,9,19,0,6,10,5,11,0,0,0,3,4,7,0,17,7,6,1,5,66,1,1,3,32,8,1,1,9,24,1,2,0,0,2,0,0,0,0,8,0,4,1,1,0,5,0,3,0,0,0,3,13,8,1,8,0,54,0,13,10,0,0,0,0,2,0,0,1,0,29,1,0,0,1,1,1,0,0,0,2,0,0,0,1,19,0,0,0,0,0,15,5,0,2,7,0,4,0,0,0,0,0,0,0,0,10,0,0,1,0,0,2,2,5,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,5,0,0,0,0,3,0,0,7,0,1,0,0,22,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,7,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
daunting,2122,92,542,246,106,118,144,6,29,0,22,182,50,6,21,12,14,65,0,0,40,4,3,0,0,6,30,1,5,4,0,0,9,11,0,10,16,0,3,0,2,0,9,9,18,0,12,26,20,0,0,34,0,0,3,11,0,5,0,0,0,21,0,0,0,0,2,0,0,3,6,8,5,0,4,2,3,0,0,0,0,5,0,0,2,0,0,0,0,2,2,3,4,0,1,0,0,2,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,39,0,6,4,0,0,0,0,1,0,0,0,1,0,2,2,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
romantic,2120,320,368,289,107,26,103,44,25,1,33,97,11,20,6,5,11,30,0,19,11,1,4,0,0,6,7,0,3,24,0,6,4,1,5,6,0,8,0,6,3,5,6,2,8,3,21,15,6,2,29,13,1,0,6,3,0,2,1,0,3,4,0,6,9,7,7,0,0,1,24,0,11,1,3,6,1,1,1,2,0,1,0,0,3,0,0,2,1,3,0,5,10,0,2,0,0,0,2,1,1,0,1,0,0,0,1,0,0,3,0,28,0,1,0,2,3,0,0,0,9,1,4,0,2,1,0,10,0,0,7,0,4,1,1,0,1,6,1,0,2,2,0,1,0,2,1,0,2,0,4,0,0,1,0,1,0,0,0,1,1,3,0,0,30,2,2,2,0,0,1,0,2,1,0,0,1,2,0,3,3,0,1,1,0,0,0,14,5,1,2,0,0,0,1,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,4,0,1,1,0,2,2,0,0,0,0,0,0,0,3,0,0,0,2,1,1,2,0,0,0,0,0,2,0,1,0,0,0,2,0,1,3,0,6,0,0,0,0,1,0,1,2,0,11,0,0,0,0,0,4,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,2,1,0,0,0,0,1,0,0,0,1,0,0,0,6,0,0,0,0,1,0,0,0,0,0,3,0
colorful,2117,202,616,572,80,18,184,5,4,2,17,64,11,0,6,3,20,12,1,12,17,4,3,0,0,16,10,0,0,0,0,4,0,3,1,6,5,1,0,2,0,0,19,0,3,0,4,6,18,1,0,4,0,0,1,0,0,5,0,0,0,10,0,0,4,1,3,0,0,0,4,0,3,6,1,0,2,0,1,0,0,2,0,0,4,0,0,2,1,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,25,0,0,0,0,3,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,4,0,0,0,0,1,0,2,0,0,0,0,0,0,5,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,1,0,0,0,0,11,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
sexy,2117,425,96,37,227,122,197,84,26,1,85,66,30,21,20,15,47,25,1,0,18,2,11,0,0,14,7,0,4,6,2,4,3,2,1,5,1,0,1,8,3,8,4,0,5,1,57,8,11,0,2,3,1,0,1,0,0,1,1,0,1,5,0,0,91,7,10,0,0,0,3,0,5,2,0,18,0,0,5,0,0,4,0,3,0,0,0,2,0,2,0,5,7,0,5,0,0,2,10,0,2,0,0,0,1,0,1,0,0,3,2,2,0,1,0,0,1,0,3,0,1,4,0,0,2,0,0,2,1,0,4,0,1,1,1,0,2,6,1,8,1,1,0,0,0,2,1,0,1,1,0,0,0,1,0,0,0,1,13,2,1,3,0,0,0,1,12,0,0,1,1,0,0,0,2,0,10,0,0,0,0,8,0,3,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,3,0,0,0,0,10,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1,2,0,0,0,3,0,1,0,0,0,0,0,0,1,1,0,2,4,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,11,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,18,0
next,2111,1197,18,2,5,0,3,0,2,0,3,3,1,8,4,10,1,0,1,0,0,0,41,0,0,2,4,5,0,15,10,7,0,0,2,1,2,0,0,5,0,0,7,0,4,0,0,1,0,0,0,0,0,4,0,0,3,0,1,0,1,3,0,1,0,0,0,0,1,13,0,0,0,2,0,11,1,0,0,1,0,3,0,0,0,0,2,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,117,0,0,0,0,0,1,0,0,0,2,0,0,0,0,15,0,0,0,0,0,0,0,15,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,410,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0
acute,2109,58,575,352,185,11,48,1,5,0,1,67,7,0,15,3,14,7,0,3,416,28,0,0,0,2,210,0,0,0,0,2,0,3,0,0,15,2,1,0,0,0,3,0,0,0,0,1,4,0,0,1,0,0,1,0,0,2,0,0,0,0,5,1,0,3,0,0,0,0,1,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,5,0,0,0,0,1,1,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
intriguing,2104,93,537,962,80,9,61,0,4,1,21,20,10,1,5,15,6,9,0,3,51,2,3,0,0,13,31,0,0,0,1,1,0,4,0,1,2,0,3,1,2,0,6,13,6,0,1,7,24,0,2,4,0,0,2,1,0,1,0,0,0,0,0,0,0,2,1,0,0,1,0,0,5,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,1,0,0,1,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vivid,2103,152,394,569,220,39,113,0,6,1,11,50,12,0,156,2,13,14,0,1,42,7,1,0,0,4,41,0,0,0,2,0,0,6,0,0,0,0,0,2,3,1,4,0,0,0,14,6,27,0,0,1,1,0,1,0,0,14,0,0,0,2,0,0,0,2,6,0,0,0,3,0,3,2,4,1,0,0,0,1,0,1,0,0,2,0,0,14,0,0,0,1,2,1,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,10,1,0,0,0,1,2,0,0,0,0,0,0,0,3,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,7,0,0,0,8,0,0,0,0,4,1,0,0,0,0,1,0,0,0,0,1,4,0,0,1,0,0,0,2,0,0,0,20,0,1,0,0,0,4,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
demanding,2101,345,626,232,43,118,74,0,26,0,2,214,14,1,0,2,39,13,2,13,10,25,1,0,0,1,5,1,0,1,0,0,0,4,0,3,0,0,1,0,0,1,1,0,0,0,13,0,3,0,0,0,0,0,1,0,0,2,0,0,0,1,17,0,0,0,0,0,0,0,9,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,3,7,0,0,0,141,0,0,2,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,3,8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ceremonial,2099,0,49,1,1,1,9,3,0,0,0,5,0,1,0,0,0,0,1,6,0,5,12,0,2,1,0,0,0,4,3,17,0,0,213,0,0,0,0,3,0,0,1,1,0,1577,0,2,0,6,0,4,0,0,0,1,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,7,1,0,5,0,0,0,0,0,0,0,2,0,0,0,67,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
