prev_form_lower,SUM,or,something,all,some,often,always,sometimes,both,many,everything,everyone,someone,everybody,either,somebody,every
cartilages,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
consternation,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
constituencies,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
constitution,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
construct,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
constructively,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
consultants,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
consumers,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contacts,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
continually,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
convertible,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contractions,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contradictions,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contradictory,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contrast,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
contributions,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
control,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
convenience,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
convention,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conversation,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
converter,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
commentary,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
commendable,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
commanders,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cement,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cheekbones,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chernobyl,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
cherry,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
chevrolet,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
chevy,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chick,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chickens,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chief,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
center,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
childhood,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
childrenfits,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
check,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chilling,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chip,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
choking,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
chords,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
christianity,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
christians,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
christiansare,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ceiling,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chronicle,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
chumps,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
checks,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cheaters,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
command,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chaotic,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
certifiably,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
certificate,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
certified,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chain,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chair,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chairman,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chairs,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
championship,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
channel,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
channels,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
chapo,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cheater,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
chapters,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
central,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
characterization,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
centers,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chardonney,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
charge,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
chargers,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
charisma,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cheap,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cheaper,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chunk,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ciders,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cinema's,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
cnn,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clocks,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
close,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
closet,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
closets,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clothes,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
clubs,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
clues,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
clump,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
clutter,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cm,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
coaches,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
circle,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
coaching,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cocktail,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
coconut,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coffee,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cola,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cold,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
collections,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
college,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
category,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
combination,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloaks,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cloak,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
clips,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
clints,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
cavs,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cist,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cited,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
cities,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
citizenry,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
citizens,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
causes,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
civilised,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
claim,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clarke,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
classically,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
classrooms,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
clay,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cleaner,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
clear,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cliche,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
client,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
catholicism,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cliffhangers,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
climate,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clinton,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cravat,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
craziness,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cream,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
disruptive,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
disclaimers,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
disclosed,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
disclosures,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
discrimination,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
discussion,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
diseases,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
disgustingly,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
dish,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
dishes,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
displaced,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
distance,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
discernment,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distances,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distantly,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distinct,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distinction,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distinctively,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
california,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
distressingly,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
distribution,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
disturbing,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dl,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
discharges,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
disasters,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deterrence,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
differences,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
developments,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
dex,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
diamond,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
diamonds,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dickerson,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dictionary,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
calming,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
die-it's,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
diesel,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
diet,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
diffrent,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
disaster,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
digg,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
digitally,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dining,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
dioecy,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
diploma,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
dips,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
direct,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
direction,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dirtbag,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
disagree,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cake,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
documentaries,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
cain,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
durres,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
butters,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
dropout,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
drugs,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
drummer,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
duckies,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
dude,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dukakis,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dumb-,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
duo,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
duopoly,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
durrrrr,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
cabs,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
dutch,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
duty,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dvd,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
dwelling,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dwellings,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
dynamic,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e-card,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ear,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
early,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
earnable,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
drive,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
drinks,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
drinkers,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dressings,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
doing,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
cable,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
domains,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
doofus,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dormant,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dot,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
double,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
doubtful,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
c,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
bw,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
downhill,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
download,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
buy,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
downtown,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
downturns,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
dozen,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
draco,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dragon,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
drama,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
buttons,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
drawings,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
developer,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
detergents,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
created,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dallas,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cva,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cycles,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
cz,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d.a.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d.c.,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
daddy,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
daenerys,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
daily,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dairy,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
captcha,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cutbut,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dance,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
danes,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caps,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
dao,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
darkness,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
darling,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
capacities,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
darter,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
daughter,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
canes,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cutesily,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
carb,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
calves,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cruises,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
creative,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
creativeness,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
credentials,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crew,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
criteria,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
critically,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
criticism,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crowd-,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
crowdsourcing,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cruel,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cruz,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
currents,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
crypto,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
crypto-currencies,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carbs,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cultures,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cupboard,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cupboards,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cups,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cure-all,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cures,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
current,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
candle,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
daze,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
dcause,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
demonstration,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
camouflage,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
delightfully,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dell,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
demands,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
demeanor,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
demeanour,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
democrat,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cameras,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
demographic,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
camcorders,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
demonstrations,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
deadshot,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deniers,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
depression,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
depths,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
derivatives,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
design,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
designer,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
desk,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
desperately,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
destiny,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
detail,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
camp,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
definitly,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
definitively,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
definitionally,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deals,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
deandre,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deaths,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
debatably,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
debris,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
canal,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
decision,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
decisions,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
declines,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deed,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
deeds,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deem,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
canada,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deeper,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cams,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
defence,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
defendant,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
campos,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
definetly,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
campgrounds,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
campaign,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blessedly,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hailstones,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
persuasion,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mundane,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
motorola,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
mourners,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mourning,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mouse,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
movements,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
moves,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
authors,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ms,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mud,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mum's,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
murderer,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
moths,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
muscles,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
muse,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
authorities,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
author,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
austria,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
mustard,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
australians,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
myriam,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
australia,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mysteries,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
motions,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
autopilot,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mystic,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
module,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
minutes,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miracles,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miserably,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
misrepresentations,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
missions,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mists,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
mizzou,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mode,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
