prev_form_lower,SUM,not,never,nothing,none,nor,without,no,few,neither,nobody,hardly,rarely,ain't,barely,seldom,scarcely,aint
arrangements,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arrogant,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arrogantly,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arsenal,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arses,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arteries,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
artificial,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
artist,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
artistically,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
artworks,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arup,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
araka,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ash,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
asham,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ashley,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aside,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
autism,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
autobiography,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arabsthe,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
barnes,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
basicly,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bases,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
basements,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bartenders,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
barrels,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
barrel,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bargain,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bandwidth,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arabs,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
barcelona,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
barbeau,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
banter,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bans,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
banner,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bath,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bathroom,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
batman,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
batsman,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
baymex,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bdsm,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arabica,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bea,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
beaches,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bead,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beak,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
beans,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bear,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bears,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beat,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arabic,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ar,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
bankruptcy,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
banana,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
autosport,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
awake,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
babes,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
azariah,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
azackly,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
axed,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
awuzie,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
awards,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
avs,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ban,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
avocado,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
avett,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
average,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
avandia,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
available,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
autumn,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
backflow,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
backstory,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
backup,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
backwards,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
badgers,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
badly,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
baffert,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
baggage,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
baggers,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bahrain,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bailey,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bailout,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
balance,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
bali,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ballet,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
balloon,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
balls,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bryan,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bryant,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
buggie,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coatings,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coercion,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cody,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
code-switching,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cocktail,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cocaine,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
cobras,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coastline,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cognitively,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coasters,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coast,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coag,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cnn,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clutch,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clover,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
coffin,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
cohabitation,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
builders,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
collins,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
api,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
colony,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
colons,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
collor,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
collisons,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
collision,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
colleges,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
colin,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
college,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
collects,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
colleagues,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
collars,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
collaborators,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
collaboration,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cloth,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clicks,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clerks,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
cinema,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cis,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cirque,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
circle,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
cinephiles,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cinematography,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cinematic,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cianci,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apollo,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cialis,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
churchill,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
churches,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chryssalids,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chronically,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chromecast,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cissokho,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
citation,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
apostasy,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
civilization,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
claims,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
claire,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clan,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
classism,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
classrooms,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clause,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clay,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clea,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cleaner,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cleaners,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cleanser,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cleanup,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clear,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
color-wise,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
colorado,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apathy,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
concoction,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
confusing,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
confession,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conference,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
condoms,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
condescension,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
concrete,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
concert,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
composition,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
concern,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
conceit,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
computer,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
compulsorily,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
compounds,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
compound,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conjecture,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
connections,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conradt,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
consciousness,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conscription,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
consequently,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conservationists,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conservative,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aorta,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
considerations,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anywhen,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
conspiracies,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
constable,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
anytime,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
constituencies,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
constitution,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
constitutionally,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
compositions,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
composers,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
colour,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
comedian,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
commercial,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
comics,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
comfort,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
comex,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
comedy,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
comedies,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
combustion,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
composer,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
combo,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
combinations,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
combination,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
combat,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
column,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
colourants,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
commercials,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
commitment,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
committees,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
commodity,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
common-actually,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
commons,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
commonwealth,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
communism,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
communist,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apartment,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apart,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
comparably,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
complaints,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
complementarities,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
apache,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
completion,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
complex,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chrome,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
christy,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
christmas,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cantaloupe,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carbide,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cara,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
captcha,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caprica,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
capability,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cap,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
canoes,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
camphor,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cannabis,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
canis,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
candidness,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
candice,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
candace,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
canal,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carbs,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cardboard,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cardinals,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
careers,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caregivers,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caricature,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caricatures,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carillons,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carole,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carolina,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
carp,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carpet,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carriages,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
carrick,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cartridges,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
castilian,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
castle,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
canadiens,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
campervans,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
catastrophically,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burglaries,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
butter,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
busts,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apples,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bush,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
buses,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burns,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bureau,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
campbell,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
buono,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
buns,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bundles,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bundle,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bullying,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
bullpen,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
buttons,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c.,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
cabg,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cabrerastuff,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caccini,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cages,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cairo,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cakes,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
calculation,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
calculations,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
calderon,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
callers,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
callie,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
calves,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cam,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
camels,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cameraman,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cat,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
catch,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
christine,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
checkout,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cherries,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chemistry,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chemically,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cheesily,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cheesesteaks,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
checkpoints,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cheatin,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
apparatchik,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chau,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chatbot,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chastisement,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
chart,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
charis,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chargers,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
cherriots,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chest,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chi,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chicks,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chiefs,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
appallingly,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
childhood,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
appalachia,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chimps,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chips,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chloe,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
choices,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
choosers,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chop,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chordally,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chown,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
christie,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
charge,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
characteristic,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
categories,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cd,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
central,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
centenarians,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cemetery,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cement,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
celosia,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
celebrities,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cbc,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
chapels,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caves,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
caucuses,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
catholics,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
catholicism,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
catfishes,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
