sentences, pos, scale_type
She was not lethargic. She was not extremely energetic., adj, rel
She was not lethargic. She was not energetic., adj, rel
She was not extremely lethargic. She was slightly lethargic., adj, rel
She was slightly lethargic. She was not extremely lethargic., adj, rel
She was slightly lethargic. She was not extremely lethargic but she was not energetic either., adj, rel
She was slightly lethargic. She was not energetic but she was not extremely lethargic either., adj, rel
She was not extremely lethargic but she was not energetic either. She was slightly lethargic., adj, rel
She was not energetic but she was not extremely lethargic either. She was slightly lethargic., adj, rel
She was not extremely tight. She was slightly loose., adj, rel
She was slightly loose. She was not extremely tight., adj, rel
She was not extremely tight. She was extremely loose., adj, rel
She was extremely loose. She was not extremely tight., adj, rel
She was not extremely tight. She was loose., adj, rel
She was loose. She was not extremely tight., adj, rel
She was not extremely tight. She was not extremely loose., adj, rel
She was not extremely tight. She was not loose., adj, rel
She was not tight. She was slightly loose., adj, rel
She was slightly loose. She was not tight., adj, rel
She was not tight. She was extremely loose., adj, rel
She was extremely loose. She was not tight., adj, rel
She was not tight. She was loose., adj, rel
She was loose. She was not tight., adj, rel
She was not tight. She was not extremely loose., adj, rel
She was not tight. She was not loose., adj, rel
She was not extremely tight. She was slightly tight., adj, rel
She was slightly tight. She was not extremely tight., adj, rel
She was slightly tight. She was not extremely tight but she was not loose either., adj, rel
She was slightly tight. She was not loose but she was not extremely tight either., adj, rel
She was not extremely tight but she was not loose either. She was slightly tight., adj, rel
She was not loose but she was not extremely tight either. She was slightly tight., adj, rel
She was not extremely loose. She was slightly tight., adj, rel
She was slightly tight. She was not extremely loose., adj, rel
She was not extremely loose. She was extremely tight., adj, rel
She was extremely tight. She was not extremely loose., adj, rel
She was not extremely loose. She was tight., adj, rel
She was tight. She was not extremely loose., adj, rel
She was not extremely loose. She was not extremely tight., adj, rel
She was not extremely loose. She was not tight., adj, rel
She was not loose. She was slightly tight., adj, rel
She was slightly tight. She was not loose., adj, rel
She was not loose. She was extremely tight., adj, rel
She was extremely tight. She was not loose., adj, rel
She was not loose. She was tight., adj, rel
She was tight. She was not loose., adj, rel
She was not loose. She was not extremely tight., adj, rel
She was not loose. She was not tight., adj, rel
She was not extremely loose. She was slightly loose., adj, rel
She was slightly loose. She was not extremely loose., adj, rel
She was slightly loose. She was not extremely loose but she was not tight either., adj, rel
She was slightly loose. She was not tight but she was not extremely loose either., adj, rel
She was not extremely loose but she was not tight either. She was slightly loose., adj, rel
She was not tight but she was not extremely loose either. She was slightly loose., adj, rel
She was not extremely hot. She was slightly cold., adj, rel
She was slightly cold. She was not extremely hot., adj, rel
She was not extremely hot. She was extremely cold., adj, rel
She was extremely cold. She was not extremely hot., adj, rel
She was not extremely hot. She was cold., adj, rel
She was cold. She was not extremely hot., adj, rel
She was not extremely hot. She was not extremely cold., adj, rel
She was not extremely hot. She was not cold., adj, rel
She was not hot. She was slightly cold., adj, rel
She was slightly cold. She was not hot., adj, rel
She was not hot. She was extremely cold., adj, rel
She was extremely cold. She was not hot., adj, rel
She was not hot. She was cold., adj, rel
She was cold. She was not hot., adj, rel
She was not hot. She was not extremely cold., adj, rel
She was not hot. She was not cold., adj, rel
She was not extremely hot. She was slightly hot., adj, rel
She was slightly hot. She was not extremely hot., adj, rel
She was slightly hot. She was not extremely hot but she was not cold either., adj, rel
She was slightly hot. She was not cold but she was not extremely hot either., adj, rel
She was not extremely hot but she was not cold either. She was slightly hot., adj, rel
She was not cold but she was not extremely hot either. She was slightly hot., adj, rel
She was not extremely cold. She was slightly hot., adj, rel
She was slightly hot. She was not extremely cold., adj, rel
She was not extremely cold. She was extremely hot., adj, rel
She was extremely hot. She was not extremely cold., adj, rel
She was not extremely cold. She was hot., adj, rel
She was hot. She was not extremely cold., adj, rel
She was not extremely cold. She was not extremely hot., adj, rel
She was not extremely cold. She was not hot., adj, rel
She was not cold. She was slightly hot., adj, rel
She was slightly hot. She was not cold., adj, rel
She was not cold. She was extremely hot., adj, rel
She was extremely hot. She was not cold., adj, rel
She was not cold. She was hot., adj, rel
She was hot. She was not cold., adj, rel
She was not cold. She was not extremely hot., adj, rel
She was not cold. She was not hot., adj, rel
She was not extremely cold. She was slightly cold., adj, rel
She was slightly cold. She was not extremely cold., adj, rel
She was slightly cold. She was not extremely cold but she was not hot either., adj, rel
She was slightly cold. She was not hot but she was not extremely cold either., adj, rel
She was not extremely cold but she was not hot either. She was slightly cold., adj, rel
She was not hot but she was not extremely cold either. She was slightly cold., adj, rel
She was not entirely wet. She was sort of dry., adj, abs
She was sort of dry. She was not entirely wet., adj, abs
She was not entirely wet. She was entirely dry., adj, abs
She was entirely dry. She was not entirely wet., adj, abs
She was not entirely wet. She was dry., adj, abs
She was dry. She was not entirely wet., adj, abs
She was not entirely wet. She was not entirely dry., adj, abs
She was not entirely wet. She was not dry., adj, abs
She was not wet. She was sort of dry., adj, abs
She was sort of dry. She was not wet., adj, abs
She was not wet. She was entirely dry., adj, abs
She was entirely dry. She was not wet., adj, abs
She was not wet. She was dry., adj, abs
She was dry. She was not wet., adj, abs
She was not wet. She was not entirely dry., adj, abs
She was not wet. She was not dry., adj, abs
She was not entirely wet. She was sort of wet., adj, abs
She was sort of wet. She was not entirely wet., adj, abs
She was sort of wet. She was not entirely wet but she was not dry either., adj, abs
She was sort of wet. She was not dry but she was not entirely wet either., adj, abs
She was not entirely wet but she was not dry either. She was sort of wet., adj, abs
She was not dry but she was not entirely wet either. She was sort of wet., adj, abs
She was not entirely dry. She was sort of wet., adj, abs
She was sort of wet. She was not entirely dry., adj, abs
She was not entirely dry. She was entirely wet., adj, abs
She was entirely wet. She was not entirely dry., adj, abs
She was not entirely dry. She was wet., adj, abs
She was wet. She was not entirely dry., adj, abs
She was not entirely dry. She was not entirely wet., adj, abs
She was not entirely dry. She was not wet., adj, abs
She was not dry. She was sort of wet., adj, abs
She was sort of wet. She was not dry., adj, abs
She was not dry. She was entirely wet., adj, abs
She was entirely wet. She was not dry., adj, abs
She was not dry. She was wet., adj, abs
She was wet. She was not dry., adj, abs
She was not dry. She was not entirely wet., adj, abs
She was not dry. She was not wet., adj, abs
She was not entirely dry. She was sort of dry., adj, abs
She was sort of dry. She was not entirely dry., adj, abs
She was sort of dry. She was not entirely dry but she was not wet either., adj, abs
She was sort of dry. She was not wet but she was not entirely dry either., adj, abs
She was not entirely dry but she was not wet either. She was sort of dry., adj, abs
She was not wet but she was not entirely dry either. She was sort of dry., adj, abs
She was not entirely full. She was sort of empty., adj, abs
She was sort of empty. She was not entirely full., adj, abs
She was not entirely full. She was entirely empty., adj, abs
She was entirely empty. She was not entirely full., adj, abs
She was not entirely full. She was empty., adj, abs
She was empty. She was not entirely full., adj, abs
She was not entirely full. She was not entirely empty., adj, abs
She was not entirely full. She was not empty., adj, abs
She was not full. She was sort of empty., adj, abs
She was sort of empty. She was not full., adj, abs
She was not full. She was entirely empty., adj, abs
She was entirely empty. She was not full., adj, abs
She was not full. She was empty., adj, abs
She was empty. She was not full., adj, abs
She was not full. She was not entirely empty., adj, abs
She was not full. She was not empty., adj, abs
She was not entirely full. She was sort of full., adj, abs
She was sort of full. She was not entirely full., adj, abs
She was sort of full. She was not entirely full but she was not empty either., adj, abs
She was sort of full. She was not empty but she was not entirely full either., adj, abs
She was not entirely full but she was not empty either. She was sort of full., adj, abs
She was not empty but she was not entirely full either. She was sort of full., adj, abs
She was not entirely empty. She was sort of full., adj, abs
She was sort of full. She was not entirely empty., adj, abs
She was not entirely empty. She was entirely full., adj, abs
She was entirely full. She was not entirely empty., adj, abs
She was not entirely empty. She was full., adj, abs
She was full. She was not entirely empty., adj, abs
She was not entirely empty. She was not entirely full., adj, abs
She was not entirely empty. She was not full., adj, abs
She was not empty. She was sort of full., adj, abs
She was sort of full. She was not empty., adj, abs
She was not empty. She was entirely full., adj, abs
She was entirely full. She was not empty., adj, abs
She was not empty. She was full., adj, abs
She was full. She was not empty., adj, abs
She was not empty. She was not entirely full., adj, abs
She was not empty. She was not full., adj, abs
She was not entirely empty. She was sort of empty., adj, abs
She was sort of empty. She was not entirely empty., adj, abs
She was sort of empty. She was not entirely empty but she was not full either., adj, abs
She was sort of empty. She was not full but she was not entirely empty either., adj, abs
She was not entirely empty but she was not full either. She was sort of empty., adj, abs
She was not full but she was not entirely empty either. She was sort of empty., adj, abs
She was not entirely opaque. She was sort of transparent., adj, abs
She was sort of transparent. She was not entirely opaque., adj, abs
She was not entirely opaque. She was entirely transparent., adj, abs
She was entirely transparent. She was not entirely opaque., adj, abs
She was not entirely opaque. She was transparent., adj, abs
She was transparent. She was not entirely opaque., adj, abs
She was not entirely opaque. She was not entirely transparent., adj, abs
She was not entirely opaque. She was not transparent., adj, abs
She was not opaque. She was sort of transparent., adj, abs
She was sort of transparent. She was not opaque., adj, abs
She was not opaque. She was entirely transparent., adj, abs
She was entirely transparent. She was not opaque., adj, abs
She was not opaque. She was transparent., adj, abs
She was transparent. She was not opaque., adj, abs
She was not opaque. She was not entirely transparent., adj, abs
She was not opaque. She was not transparent., adj, abs
She was not entirely opaque. She was sort of opaque., adj, abs
She was sort of opaque. She was not entirely opaque., adj, abs
She was sort of opaque. She was not entirely opaque but she was not transparent either., adj, abs
She was sort of opaque. She was not transparent but she was not entirely opaque either., adj, abs
She was not entirely opaque but she was not transparent either. She was sort of opaque., adj, abs
She was not transparent but she was not entirely opaque either. She was sort of opaque., adj, abs
She was not entirely transparent. She was sort of opaque., adj, abs
She was sort of opaque. She was not entirely transparent., adj, abs
She was not entirely transparent. She was entirely opaque., adj, abs
She was entirely opaque. She was not entirely transparent., adj, abs
She was not entirely transparent. She was opaque., adj, abs
She was opaque. She was not entirely transparent., adj, abs
She was not entirely transparent. She was not entirely opaque., adj, abs
She was not entirely transparent. She was not opaque., adj, abs
She was not transparent. She was sort of opaque., adj, abs
She was sort of opaque. She was not transparent., adj, abs
She was not transparent. She was entirely opaque., adj, abs
She was entirely opaque. She was not transparent., adj, abs
She was not transparent. She was opaque., adj, abs
She was opaque. She was not transparent., adj, abs
She was not transparent. She was not entirely opaque., adj, abs
She was not transparent. She was not opaque., adj, abs
She was not entirely transparent. She was sort of transparent., adj, abs
She was sort of transparent. She was not entirely transparent., adj, abs
She was sort of transparent. She was not entirely transparent but she was not opaque either., adj, abs
She was sort of transparent. She was not opaque but she was not entirely transparent either., adj, abs
She was not entirely transparent but she was not opaque either. She was sort of transparent., adj, abs
She was not opaque but she was not entirely transparent either. She was sort of transparent., adj, abs
She was not entirely open. She was sort of closed., adj, abs
She was sort of closed. She was not entirely open., adj, abs
She was not entirely open. She was entirely closed., adj, abs
She was entirely closed. She was not entirely open., adj, abs
She was not entirely open. She was closed., adj, abs
She was closed. She was not entirely open., adj, abs
She was not entirely open. She was not entirely closed., adj, abs
She was not entirely open. She was not closed., adj, abs
She was not open. She was sort of closed., adj, abs
She was sort of closed. She was not open., adj, abs
She was not open. She was entirely closed., adj, abs
She was entirely closed. She was not open., adj, abs
She was not open. She was closed., adj, abs
She was closed. She was not open., adj, abs
She was not open. She was not entirely closed., adj, abs
She was not open. She was not closed., adj, abs
She was not entirely open. She was sort of open., adj, abs
She was sort of open. She was not entirely open., adj, abs
She was sort of open. She was not entirely open but she was not closed either., adj, abs
She was sort of open. She was not closed but she was not entirely open either., adj, abs
She was not entirely open but she was not closed either. She was sort of open., adj, abs
She was not closed but she was not entirely open either. She was sort of open., adj, abs
She was not entirely closed. She was sort of open., adj, abs
She was sort of open. She was not entirely closed., adj, abs
She was not entirely closed. She was entirely open., adj, abs
She was entirely open. She was not entirely closed., adj, abs
She was not entirely closed. She was open., adj, abs
She was open. She was not entirely closed., adj, abs
She was not entirely closed. She was not entirely open., adj, abs
She was not entirely closed. She was not open., adj, abs
She was not closed. She was sort of open., adj, abs
She was sort of open. She was not closed., adj, abs
She was not closed. She was entirely open., adj, abs
She was entirely open. She was not closed., adj, abs
She was not closed. She was open., adj, abs
She was open. She was not closed., adj, abs
She was not closed. She was not entirely open., adj, abs
She was not closed. She was not open., adj, abs
She was not entirely closed. She was sort of closed., adj, abs
She was sort of closed. She was not entirely closed., adj, abs
She was sort of closed. She was not entirely closed but she was not open either., adj, abs
She was sort of closed. She was not open but she was not entirely closed either., adj, abs
She was not entirely closed but she was not open either. She was sort of closed., adj, abs
She was not open but she was not entirely closed either. She was sort of closed., adj, abs
She was not entirely straight. She was sort of bent., adj, abs
She was sort of bent. She was not entirely straight., adj, abs
She was not entirely straight. She was entirely bent., adj, abs
She was entirely bent. She was not entirely straight., adj, abs
She was not entirely straight. She was bent., adj, abs
She was bent. She was not entirely straight., adj, abs
She was not entirely straight. She was not entirely bent., adj, abs
She was not entirely straight. She was not bent., adj, abs
She was not straight. She was sort of bent., adj, abs
She was sort of bent. She was not straight., adj, abs
She was not straight. She was entirely bent., adj, abs
She was entirely bent. She was not straight., adj, abs
She was not straight. She was bent., adj, abs
She was bent. She was not straight., adj, abs
She was not straight. She was not entirely bent., adj, abs
She was not straight. She was not bent., adj, abs
She was not entirely straight. She was sort of straight., adj, abs
She was sort of straight. She was not entirely straight., adj, abs
She was sort of straight. She was not entirely straight but she was not bent either., adj, abs
She was sort of straight. She was not bent but she was not entirely straight either., adj, abs
She was not entirely straight but she was not bent either. She was sort of straight., adj, abs
She was not bent but she was not entirely straight either. She was sort of straight., adj, abs
She was not entirely bent. She was sort of straight., adj, abs
She was sort of straight. She was not entirely bent., adj, abs
She was not entirely bent. She was entirely straight., adj, abs
She was entirely straight. She was not entirely bent., adj, abs
She was not entirely bent. She was straight., adj, abs
She was straight. She was not entirely bent., adj, abs
She was not entirely bent. She was not entirely straight., adj, abs
She was not entirely bent. She was not straight., adj, abs
She was not bent. She was sort of straight., adj, abs
She was sort of straight. She was not bent., adj, abs
She was not bent. She was entirely straight., adj, abs
She was entirely straight. She was not bent., adj, abs
She was not bent. She was straight., adj, abs
She was straight. She was not bent., adj, abs
She was not bent. She was not entirely straight., adj, abs
She was not bent. She was not straight., adj, abs
She was not entirely bent. She was sort of bent., adj, abs
She was sort of bent. She was not entirely bent., adj, abs
She was sort of bent. She was not entirely bent but she was not straight either., adj, abs
She was sort of bent. She was not straight but she was not entirely bent either., adj, abs
She was not entirely bent but she was not straight either. She was sort of bent., adj, abs
She was not straight but she was not entirely bent either. She was sort of bent., adj, abs
She was not entirely pure. She was sort of diluted., adj, abs
She was sort of diluted. She was not entirely pure., adj, abs
She was not entirely pure. She was entirely diluted., adj, abs
She was entirely diluted. She was not entirely pure., adj, abs
She was not entirely pure. She was diluted., adj, abs
She was diluted. She was not entirely pure., adj, abs
She was not entirely pure. She was not entirely diluted., adj, abs
She was not entirely pure. She was not diluted., adj, abs
She was not pure. She was sort of diluted., adj, abs
She was sort of diluted. She was not pure., adj, abs
She was not pure. She was entirely diluted., adj, abs
She was entirely diluted. She was not pure., adj, abs
She was not pure. She was diluted., adj, abs
She was diluted. She was not pure., adj, abs
She was not pure. She was not entirely diluted., adj, abs
She was not pure. She was not diluted., adj, abs
She was not entirely pure. She was sort of pure., adj, abs
She was sort of pure. She was not entirely pure., adj, abs
She was sort of pure. She was not entirely pure but she was not diluted either., adj, abs
She was sort of pure. She was not diluted but she was not entirely pure either., adj, abs
She was not entirely pure but she was not diluted either. She was sort of pure., adj, abs
She was not diluted but she was not entirely pure either. She was sort of pure., adj, abs
She was not entirely diluted. She was sort of pure., adj, abs
She was sort of pure. She was not entirely diluted., adj, abs
She was not entirely diluted. She was entirely pure., adj, abs
She was entirely pure. She was not entirely diluted., adj, abs
She was not entirely diluted. She was pure., adj, abs
She was pure. She was not entirely diluted., adj, abs
She was not entirely diluted. She was not entirely pure., adj, abs
She was not entirely diluted. She was not pure., adj, abs
She was not diluted. She was sort of pure., adj, abs
She was sort of pure. She was not diluted., adj, abs
She was not diluted. She was entirely pure., adj, abs
She was entirely pure. She was not diluted., adj, abs
She was not diluted. She was pure., adj, abs
She was pure. She was not diluted., adj, abs
She was not diluted. She was not entirely pure., adj, abs
She was not diluted. She was not pure., adj, abs
She was not entirely diluted. She was sort of diluted., adj, abs
She was sort of diluted. She was not entirely diluted., adj, abs
She was sort of diluted. She was not entirely diluted but she was not pure either., adj, abs
She was sort of diluted. She was not pure but she was not entirely diluted either., adj, abs
She was not entirely diluted but she was not pure either. She was sort of diluted., adj, abs
She was not pure but she was not entirely diluted either. She was sort of diluted., adj, abs
She was not entirely honest. She was sort of deceitful., adj, abs
She was sort of deceitful. She was not entirely honest., adj, abs
She was not entirely honest. She was entirely deceitful., adj, abs
She was entirely deceitful. She was not entirely honest., adj, abs
She was not entirely honest. She was deceitful., adj, abs
She was deceitful. She was not entirely honest., adj, abs
She was not entirely honest. She was not entirely deceitful., adj, abs
She was not entirely honest. She was not deceitful., adj, abs
She was not honest. She was sort of deceitful., adj, abs
She was sort of deceitful. She was not honest., adj, abs
She was not honest. She was entirely deceitful., adj, abs
She was entirely deceitful. She was not honest., adj, abs
She was not honest. She was deceitful., adj, abs
She was deceitful. She was not honest., adj, abs
She was not honest. She was not entirely deceitful., adj, abs
She was not honest. She was not deceitful., adj, abs
She was not entirely honest. She was sort of honest., adj, abs
She was sort of honest. She was not entirely honest., adj, abs
She was sort of honest. She was not entirely honest but she was not deceitful either., adj, abs
She was sort of honest. She was not deceitful but she was not entirely honest either., adj, abs
She was not entirely honest but she was not deceitful either. She was sort of honest., adj, abs
She was not deceitful but she was not entirely honest either. She was sort of honest., adj, abs
She was not entirely deceitful. She was sort of honest., adj, abs
She was sort of honest. She was not entirely deceitful., adj, abs
She was not entirely deceitful. She was entirely honest., adj, abs
She was entirely honest. She was not entirely deceitful., adj, abs
She was not entirely deceitful. She was honest., adj, abs
She was honest. She was not entirely deceitful., adj, abs
She was not entirely deceitful. She was not entirely honest., adj, abs
She was not entirely deceitful. She was not honest., adj, abs
She was not deceitful. She was sort of honest., adj, abs
She was sort of honest. She was not deceitful., adj, abs
She was not deceitful. She was entirely honest., adj, abs
She was entirely honest. She was not deceitful., adj, abs
She was not deceitful. She was honest., adj, abs
She was honest. She was not deceitful., adj, abs
She was not deceitful. She was not entirely honest., adj, abs
She was not deceitful. She was not honest., adj, abs
She was not entirely deceitful. She was sort of deceitful., adj, abs
She was sort of deceitful. She was not entirely deceitful., adj, abs
She was sort of deceitful. She was not entirely deceitful but she was not honest either., adj, abs
She was sort of deceitful. She was not honest but she was not entirely deceitful either., adj, abs
She was not entirely deceitful but she was not honest either. She was sort of deceitful., adj, abs
She was not honest but she was not entirely deceitful either. She was sort of deceitful., adj, abs
She was not entirely smooth. She was sort of bumpy., adj, abs
She was sort of bumpy. She was not entirely smooth., adj, abs
She was not entirely smooth. She was entirely bumpy., adj, abs
She was entirely bumpy. She was not entirely smooth., adj, abs
She was not entirely smooth. She was bumpy., adj, abs
She was bumpy. She was not entirely smooth., adj, abs
She was not entirely smooth. She was not entirely bumpy., adj, abs
She was not entirely smooth. She was not bumpy., adj, abs
She was not smooth. She was sort of bumpy., adj, abs
She was sort of bumpy. She was not smooth., adj, abs
She was not smooth. She was entirely bumpy., adj, abs
She was entirely bumpy. She was not smooth., adj, abs
She was not smooth. She was bumpy., adj, abs
She was bumpy. She was not smooth., adj, abs
She was not smooth. She was not entirely bumpy., adj, abs
She was not smooth. She was not bumpy., adj, abs
She was not entirely smooth. She was sort of smooth., adj, abs
She was sort of smooth. She was not entirely smooth., adj, abs
She was sort of smooth. She was not entirely smooth but she was not bumpy either., adj, abs
She was sort of smooth. She was not bumpy but she was not entirely smooth either., adj, abs
She was not entirely smooth but she was not bumpy either. She was sort of smooth., adj, abs
She was not bumpy but she was not entirely smooth either. She was sort of smooth., adj, abs
She was not entirely bumpy. She was sort of smooth., adj, abs
She was sort of smooth. She was not entirely bumpy., adj, abs
She was not entirely bumpy. She was entirely smooth., adj, abs
She was entirely smooth. She was not entirely bumpy., adj, abs
She was not entirely bumpy. She was smooth., adj, abs
She was smooth. She was not entirely bumpy., adj, abs
She was not entirely bumpy. She was not entirely smooth., adj, abs
She was not entirely bumpy. She was not smooth., adj, abs
She was not bumpy. She was sort of smooth., adj, abs
She was sort of smooth. She was not bumpy., adj, abs
She was not bumpy. She was entirely smooth., adj, abs
She was entirely smooth. She was not bumpy., adj, abs
She was not bumpy. She was smooth., adj, abs
She was smooth. She was not bumpy., adj, abs
She was not bumpy. She was not entirely smooth., adj, abs
She was not bumpy. She was not smooth., adj, abs
She was not entirely bumpy. She was sort of bumpy., adj, abs
She was sort of bumpy. She was not entirely bumpy., adj, abs
She was sort of bumpy. She was not entirely bumpy but she was not smooth either., adj, abs
She was sort of bumpy. She was not smooth but she was not entirely bumpy either., adj, abs
She was not entirely bumpy but she was not smooth either. She was sort of bumpy., adj, abs
She was not smooth but she was not entirely bumpy either. She was sort of bumpy., adj, abs
She was not entirely clean. She was sort of dirty., adj, abs
She was sort of dirty. She was not entirely clean., adj, abs
She was not entirely clean. She was entirely dirty., adj, abs
She was entirely dirty. She was not entirely clean., adj, abs
She was not entirely clean. She was dirty., adj, abs
She was dirty. She was not entirely clean., adj, abs
She was not entirely clean. She was not entirely dirty., adj, abs
She was not entirely clean. She was not dirty., adj, abs
She was not clean. She was sort of dirty., adj, abs
She was sort of dirty. She was not clean., adj, abs
She was not clean. She was entirely dirty., adj, abs
She was entirely dirty. She was not clean., adj, abs
She was not clean. She was dirty., adj, abs
She was dirty. She was not clean., adj, abs
She was not clean. She was not entirely dirty., adj, abs
She was not clean. She was not dirty., adj, abs
She was not entirely clean. She was sort of clean., adj, abs
She was sort of clean. She was not entirely clean., adj, abs
She was sort of clean. She was not entirely clean but she was not dirty either., adj, abs
She was sort of clean. She was not dirty but she was not entirely clean either., adj, abs
She was not entirely clean but she was not dirty either. She was sort of clean., adj, abs
She was not dirty but she was not entirely clean either. She was sort of clean., adj, abs
She was not entirely dirty. She was sort of clean., adj, abs
She was sort of clean. She was not entirely dirty., adj, abs
She was not entirely dirty. She was entirely clean., adj, abs
She was entirely clean. She was not entirely dirty., adj, abs
She was not entirely dirty. She was clean., adj, abs
She was clean. She was not entirely dirty., adj, abs
She was not entirely dirty. She was not entirely clean., adj, abs
She was not entirely dirty. She was not clean., adj, abs
She was not dirty. She was sort of clean., adj, abs
She was sort of clean. She was not dirty., adj, abs
She was not dirty. She was entirely clean., adj, abs
She was entirely clean. She was not dirty., adj, abs
She was not dirty. She was clean., adj, abs
She was clean. She was not dirty., adj, abs
She was not dirty. She was not entirely clean., adj, abs
She was not dirty. She was not clean., adj, abs
She was not entirely dirty. She was sort of dirty., adj, abs
She was sort of dirty. She was not entirely dirty., adj, abs
She was sort of dirty. She was not entirely dirty but she was not clean either., adj, abs
She was sort of dirty. She was not clean but she was not entirely dirty either., adj, abs
She was not entirely dirty but she was not clean either. She was sort of dirty., adj, abs
She was not clean but she was not entirely dirty either. She was sort of dirty., adj, abs
She was not entirely certain. She was sort of uncertain., adj, abs
She was sort of uncertain. She was not entirely certain., adj, abs
She was not entirely certain. She was entirely uncertain., adj, abs
She was entirely uncertain. She was not entirely certain., adj, abs
She was not entirely certain. She was uncertain., adj, abs
She was uncertain. She was not entirely certain., adj, abs
She was not entirely certain. She was not entirely uncertain., adj, abs
She was not entirely certain. She was not uncertain., adj, abs
She was not certain. She was sort of uncertain., adj, abs
She was sort of uncertain. She was not certain., adj, abs
She was not certain. She was entirely uncertain., adj, abs
She was entirely uncertain. She was not certain., adj, abs
She was not certain. She was uncertain., adj, abs
She was uncertain. She was not certain., adj, abs
She was not certain. She was not entirely uncertain., adj, abs
She was not certain. She was not uncertain., adj, abs
She was not entirely certain. She was sort of certain., adj, abs
She was sort of certain. She was not entirely certain., adj, abs
She was sort of certain. She was not entirely certain but she was not uncertain either., adj, abs
She was sort of certain. She was not uncertain but she was not entirely certain either., adj, abs
She was not entirely certain but she was not uncertain either. She was sort of certain., adj, abs
She was not uncertain but she was not entirely certain either. She was sort of certain., adj, abs
She was not entirely uncertain. She was sort of certain., adj, abs
She was sort of certain. She was not entirely uncertain., adj, abs
She was not entirely uncertain. She was entirely certain., adj, abs
She was entirely certain. She was not entirely uncertain., adj, abs
She was not entirely uncertain. She was certain., adj, abs
She was certain. She was not entirely uncertain., adj, abs
She was not entirely uncertain. She was not entirely certain., adj, abs
She was not entirely uncertain. She was not certain., adj, abs
She was not uncertain. She was sort of certain., adj, abs
She was sort of certain. She was not uncertain., adj, abs
She was not uncertain. She was entirely certain., adj, abs
She was entirely certain. She was not uncertain., adj, abs
She was not uncertain. She was certain., adj, abs
She was certain. She was not uncertain., adj, abs
She was not uncertain. She was not entirely certain., adj, abs
She was not uncertain. She was not certain., adj, abs
She was not entirely uncertain. She was sort of uncertain., adj, abs
She was sort of uncertain. She was not entirely uncertain., adj, abs
She was sort of uncertain. She was not entirely uncertain but she was not certain either., adj, abs
She was sort of uncertain. She was not certain but she was not entirely uncertain either., adj, abs
She was not entirely uncertain but she was not certain either. She was sort of uncertain., adj, abs
She was not certain but she was not entirely uncertain either. She was sort of uncertain., adj, abs
She was not entirely safe. She was sort of dangerous., adj, abs
She was sort of dangerous. She was not entirely safe., adj, abs
She was not entirely safe. She was entirely dangerous., adj, abs
She was entirely dangerous. She was not entirely safe., adj, abs
She was not entirely safe. She was dangerous., adj, abs
She was dangerous. She was not entirely safe., adj, abs
She was not entirely safe. She was not entirely dangerous., adj, abs
She was not entirely safe. She was not dangerous., adj, abs
She was not safe. She was sort of dangerous., adj, abs
She was sort of dangerous. She was not safe., adj, abs
She was not safe. She was entirely dangerous., adj, abs
She was entirely dangerous. She was not safe., adj, abs
She was not safe. She was dangerous., adj, abs
She was dangerous. She was not safe., adj, abs
She was not safe. She was not entirely dangerous., adj, abs
She was not safe. She was not dangerous., adj, abs
She was not entirely safe. She was sort of safe., adj, abs
She was sort of safe. She was not entirely safe., adj, abs
She was sort of safe. She was not entirely safe but she was not dangerous either., adj, abs
She was sort of safe. She was not dangerous but she was not entirely safe either., adj, abs
She was not entirely safe but she was not dangerous either. She was sort of safe., adj, abs
She was not dangerous but she was not entirely safe either. She was sort of safe., adj, abs
She was not entirely dangerous. She was sort of safe., adj, abs
She was sort of safe. She was not entirely dangerous., adj, abs
She was not entirely dangerous. She was entirely safe., adj, abs
She was entirely safe. She was not entirely dangerous., adj, abs
She was not entirely dangerous. She was safe., adj, abs
She was safe. She was not entirely dangerous., adj, abs
She was not entirely dangerous. She was not entirely safe., adj, abs
She was not entirely dangerous. She was not safe., adj, abs
She was not dangerous. She was sort of safe., adj, abs
She was sort of safe. She was not dangerous., adj, abs
She was not dangerous. She was entirely safe., adj, abs
She was entirely safe. She was not dangerous., adj, abs
She was not dangerous. She was safe., adj, abs
She was safe. She was not dangerous., adj, abs
She was not dangerous. She was not entirely safe., adj, abs
She was not dangerous. She was not safe., adj, abs
She was not entirely dangerous. She was sort of dangerous., adj, abs
She was sort of dangerous. She was not entirely dangerous., adj, abs
She was sort of dangerous. She was not entirely dangerous but she was not safe either., adj, abs
She was sort of dangerous. She was not safe but she was not entirely dangerous either., adj, abs
She was not entirely dangerous but she was not safe either. She was sort of dangerous., adj, abs
She was not safe but she was not entirely dangerous either. She was sort of dangerous., adj, abs
She was not entirely accurate. She was sort of inaccurate., adj, abs
She was sort of inaccurate. She was not entirely accurate., adj, abs
She was not entirely accurate. She was entirely inaccurate., adj, abs
She was entirely inaccurate. She was not entirely accurate., adj, abs
She was not entirely accurate. She was inaccurate., adj, abs
She was inaccurate. She was not entirely accurate., adj, abs
She was not entirely accurate. She was not entirely inaccurate., adj, abs
She was not entirely accurate. She was not inaccurate., adj, abs
She was not accurate. She was sort of inaccurate., adj, abs
She was sort of inaccurate. She was not accurate., adj, abs
She was not accurate. She was entirely inaccurate., adj, abs
She was entirely inaccurate. She was not accurate., adj, abs
