adj_lemma,SUM,very,more,most,so,not,as,too,really,much,pretty,less,even,also,quite,extremely,how,still,highly,always,just,relatively,completely,particularly,far,only,now,all,incredibly,fairly,especially,truly,increasingly,rather,absolutely,slightly,almost,super,totally,entirely,that,well,often,no,already,somewhat,equally,long,fully,potentially,perfectly,deeply,actually,mostly,nearly,significantly,probably,both,never,politically,seemingly,least,generally,sometimes,usually,surprisingly,ever,largely,currently,definitely,overly,any,certainly,immediately,simply,real,easily,yet,readily,once,environmentally,hugely,exceptionally,otherwise,clearly,unusually,about,mentally,physically,remarkably,virtually,socially,terribly,utterly,partly,genuinely,seriously,reasonably,damn,however,exactly,way,wildly,little,financially,considerably,then,historically,hardly,perhaps,brand,obviously,necessarily,sexually,therefore,consistently,extraordinarily,directly,widely,barely,amazingly,economically,inherently,mutually,apparently,previously,finally,technically,visually,immensely,naturally,emotionally,vastly,typically,sufficiently,critically,wide,substantially,ridiculously,wonderfully,second,indeed,purely,downright,fundamentally,uniquely,personally,similarly,wholly,openly,predominantly,publicly,kinda,commercially,exceedingly,culturally,heavily,thoroughly,notoriously,comparatively,plain,morally,likely,painfully,half,closely,essentially,overwhelmingly,possibly,legally,ultimately,statistically,intensely,enormously,dangerously,profoundly,insanely,mainly,awfully,moderately,primarily,tremendously,extra,somehow,radically,darn,practically,over,unbelievably,normally,instantly,newly,basically,pleasantly,again,technologically,merely,minimally,supposedly,thus,strictly,infinitely,initially,aesthetically,remotely,vitally,distinctly,mildly,fiercely,decidedly,rarely,dramatically,maybe,strikingly,traditionally,kind,enough,horribly,strangely,terminally,of,partially,beautifully,constantly,altogether,further,medically,freely,unexpectedly,oddly,noticeably,suddenly,roughly,acutely,forever,abundantly,sharply,brutally,impossibly,massively,fiscally,excessively,eerily,undeniably,near,deceptively,occasionally,frequently,supremely,stunningly,vaguely,broadly,universally,visibly,beyond,notably,shockingly,solely,reportedly,than,chronically,strongly,clinically,marginally,literally,up,keenly,albeit,progressively,back,globally,intellectually,longer,first,cautiously,doubly,disproportionately,though,abnormally,undoubtedly,officially,exclusively,desperately,markedly,surely,formerly,understandably,deliciously,non,specifically,severely,greatly,overtly,allegedly,overall,refreshingly,crystal,admittedly,famously,eternally,genetically,drastically,bad,patently,delightfully,strategically,astonishingly,nationally,racially,scientifically,endlessly,ecologically,biologically,out,soon,woefully,humanly
immediate,28328,676,11942,7436,592,1239,627,83,32,220,106,551,22,39,43,14,33,12,5,136,58,53,3,20,2,55,21,7,10,114,6,12,15,41,15,1,2756,3,2,4,12,27,81,14,0,11,23,14,1,5,0,3,2,0,267,0,3,137,21,5,12,20,8,18,57,11,6,1,0,3,0,0,2,0,6,4,0,2,1,12,0,0,1,5,1,3,15,0,5,7,79,1,2,5,1,0,0,1,0,3,3,0,2,5,0,1,24,0,7,4,0,2,25,0,0,1,5,2,1,0,1,0,1,0,3,0,0,1,3,0,1,19,0,10,7,0,1,2,2,5,4,2,2,1,0,2,0,8,0,0,0,1,0,0,1,1,0,0,0,0,0,0,12,9,0,1,7,5,3,0,0,0,5,0,0,5,0,0,1,0,2,1,1,0,0,0,20,0,0,4,6,1,0,0,3,0,10,0,3,4,2,0,1,0,0,0,0,0,2,0,15,1,1,9,0,0,9,1,2,0,0,0,0,1,0,22,1,0,1,1,1,1,0,0,0,0,1,4,1,0,0,0,2,3,15,1,0,1,0,3,0,0,0,0,1,0,4,2,1,2,0,2,0,0,1,0,0,1,0,2,0,0,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2,0,0,0,0,0,1,3,1,2,0,2,0,0,0,0,0,0,0,3,0,0
handy,28195,9693,659,428,1287,478,445,112,2400,101,2005,63,84,1143,1887,895,107,103,13,791,93,16,8,751,20,67,11,46,423,141,1218,101,8,217,10,4,0,693,12,0,36,8,43,0,25,31,48,28,0,7,15,0,82,4,0,2,13,28,5,4,7,12,21,15,21,53,30,0,3,82,4,0,71,7,9,142,4,8,13,5,0,6,50,3,0,1,0,1,0,28,1,0,20,1,0,14,28,45,30,6,10,3,0,3,0,5,1,0,3,2,0,7,1,0,6,1,9,0,0,2,23,0,0,1,1,2,0,0,0,17,2,0,1,4,2,1,0,1,7,10,0,8,0,12,0,3,1,5,0,0,0,0,23,0,12,0,0,1,0,0,8,0,2,0,2,0,0,0,1,0,0,0,0,7,0,0,6,4,60,5,1,7,28,0,0,38,0,0,14,2,1,0,2,0,3,0,4,1,1,0,0,7,0,0,4,1,0,2,0,2,0,0,3,0,2,0,3,0,0,0,2,1,1,8,0,3,0,0,3,1,0,1,0,2,1,0,0,0,1,3,0,1,0,6,2,0,7,1,5,0,0,1,16,0,0,2,0,1,0,0,0,0,0,1,2,2,0,1,1,1,0,0,0,0,0,6,0,0,0,6,0,0,0,0,3,0,0,0,0,24,0,4,0,1,1,0,0,4,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0
lazy,28156,1321,374,92,1562,1278,1188,12435,634,53,521,219,228,172,290,265,99,65,4,40,1404,35,74,117,10,98,13,128,294,71,40,62,36,287,23,91,100,260,54,8,92,16,81,4,10,198,38,33,7,3,9,14,19,32,1,0,17,49,47,17,28,8,70,67,36,13,10,4,3,13,11,1,2,0,164,26,4,4,0,6,0,3,35,26,7,11,10,65,29,17,0,6,53,17,0,8,10,1,215,6,9,4,0,5,2,4,8,6,7,25,0,16,18,2,6,3,15,1,0,0,8,0,158,0,8,2,0,0,1,7,77,13,0,12,6,1,0,0,21,31,1,8,7,82,40,0,0,8,1,1,0,0,126,0,20,5,0,0,44,2,347,13,2,6,5,0,28,1,7,0,11,0,5,4,2,11,9,1,15,2,1,3,17,17,0,33,0,0,18,12,0,2,76,4,1,0,39,0,6,1,2,5,0,0,0,0,1,1,1,9,1,2,14,0,2,0,5,20,2,21,26,2,1,1,3,1,0,0,1,4,1,1,0,0,17,0,0,1,1,3,0,5,0,4,0,10,15,5,20,5,1,0,0,2,3,1,11,1,1,0,28,0,1,0,2,4,0,7,5,2,0,537,1,1,0,1,0,2,1,0,1,0,2,1,1,6,1,15,2,0,2,1,3,7,2,1,0,16,4,3,0,0,0,2,5,0,5,0,0,0,0,0,2,5,0,3,0
major,28074,1377,3275,15159,351,587,488,377,572,48,1753,131,88,49,87,49,64,33,8,16,20,97,1,52,13,150,31,23,19,755,18,159,51,134,27,6,24,29,8,4,19,23,25,4,26,46,25,26,0,521,0,3,17,19,5,4,9,11,3,0,37,38,6,61,10,7,256,2,4,13,4,0,4,0,4,12,0,1,0,30,0,2,7,7,1,1,18,0,1,4,1,4,2,0,1,7,25,10,1,18,4,2,0,1,0,2,48,9,7,24,0,9,11,0,1,5,5,2,0,2,1,0,0,0,25,5,0,2,0,1,1,0,0,17,13,1,0,0,2,0,31,6,0,0,0,0,3,15,0,0,6,1,7,0,3,1,1,1,0,6,0,0,5,0,0,0,2,3,26,0,3,4,1,0,0,1,2,1,1,1,3,2,3,0,0,0,1,0,1,0,0,0,2,0,3,0,3,0,11,2,1,0,1,0,2,2,0,0,0,7,2,0,10,0,6,2,1,0,1,0,0,0,0,0,0,22,0,0,6,0,3,0,0,0,0,0,0,0,0,5,0,0,0,7,0,0,6,5,0,0,0,1,0,1,0,6,0,1,2,1,0,0,2,0,0,0,0,4,2,3,0,0,0,31,0,0,2,0,0,4,0,4,0,0,3,10,2,0,0,3,1,1,1,5,0,1,0,5,1,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,2,0,0
restrictive,28042,1535,7627,2829,699,382,467,3145,79,9,138,3864,9,36,239,354,36,35,958,4,8,57,6,60,0,9,4,5,90,104,25,11,414,86,1,30,2,38,8,4,18,3,44,0,54,114,24,7,0,42,2,5,2,0,1,5,1,10,10,7,13,1967,10,18,13,9,5,4,5,3,1021,0,5,1,1,3,0,1,0,2,0,11,14,13,7,38,0,0,17,6,0,18,16,2,2,0,3,5,4,4,1,0,5,0,12,0,1,5,4,0,0,1,8,12,4,1,9,0,2,0,1,9,9,2,2,9,0,0,2,1,0,4,1,5,11,0,0,2,26,1,0,4,17,1,1,6,3,70,0,1,4,0,2,4,7,5,13,0,37,7,0,4,0,7,0,0,3,3,4,7,2,0,5,2,15,0,13,0,8,11,1,3,1,5,4,2,0,9,3,14,0,33,1,0,1,1,2,14,3,1,2,0,3,0,0,0,2,12,0,1,1,3,1,2,11,0,1,10,6,1,0,1,0,0,2,17,3,0,2,8,1,3,0,1,0,1,3,4,8,0,4,75,0,0,0,0,0,0,0,0,0,1,3,0,0,2,1,0,0,0,0,4,0,0,0,0,0,2,5,0,0,2,0,0,0,0,9,1,1,0,0,0,0,0,0,4,0,0,21,1,89,0,6,2,0,0,0,1,14,0,0,2,0,1,0,0,1,0,168,0,1,0,0,0,0,0,0
patient,28033,8415,7069,1314,2174,832,834,271,550,19,224,756,31,191,129,1104,141,45,23,389,89,41,18,72,2,59,11,20,545,47,50,80,15,21,4,3,4,132,13,11,8,12,11,0,2,30,27,17,4,4,17,6,5,26,4,1,3,50,18,1,8,25,29,13,41,50,147,2,0,5,52,0,5,0,2,57,1,17,0,6,0,4,67,10,1,30,23,2,0,119,0,0,17,4,1,12,3,12,5,7,8,0,5,0,0,1,7,0,5,4,0,2,4,0,5,11,88,0,0,2,97,0,3,0,2,2,3,1,0,25,21,1,2,22,9,1,0,1,10,59,0,4,1,1,1,1,2,10,0,0,0,0,0,0,65,1,0,7,12,0,0,0,0,6,1,0,0,1,1,0,6,0,1,23,1,1,7,2,9,4,2,13,5,2,0,7,0,0,34,22,0,3,2,1,0,1,3,1,1,2,0,191,2,0,0,0,2,0,0,3,4,0,0,1,3,4,0,1,2,3,2,0,9,5,1,2,0,0,0,4,2,1,0,0,11,0,0,1,4,0,0,5,2,0,0,0,0,2,20,5,0,0,0,0,0,5,2,2,0,20,0,1,0,0,1,0,0,0,0,0,0,0,9,1,1,0,0,1,1,0,1,0,0,1,2,1,3,0,1,1,0,3,1,1,0,2,0,2,10,37,0,0,0,1,1,0,1,0,0,0,187,0,0,2,0,0,0
prolific,27972,1009,1987,17787,1059,219,1254,88,70,6,147,253,9,81,278,308,40,39,239,28,18,28,0,197,0,21,18,8,377,118,100,42,85,71,11,0,1,21,2,1,31,2,9,0,62,14,85,2,0,11,0,1,0,1,2,0,0,38,9,1,3,48,4,3,52,23,36,0,0,2,20,0,15,0,5,11,0,0,0,64,0,70,41,10,5,61,0,0,0,99,0,0,12,2,0,0,6,10,10,4,36,0,60,0,0,0,1,18,25,2,0,2,0,12,0,21,95,0,4,0,98,3,0,0,3,17,1,1,2,29,7,0,4,18,0,0,0,0,36,12,0,4,0,11,0,1,0,30,0,0,0,0,0,2,13,0,1,2,21,2,0,0,0,0,0,0,0,0,0,0,1,5,9,36,1,4,48,0,4,4,0,17,2,0,0,4,1,1,15,47,2,11,0,0,6,0,4,0,2,1,0,1,0,0,1,1,1,0,0,4,1,0,0,0,2,0,0,1,1,0,1,0,1,1,0,2,0,0,8,3,1,11,0,0,0,1,0,1,13,21,0,2,1,3,2,0,1,0,2,8,0,0,1,0,2,10,3,0,0,1,0,0,0,2,1,0,0,1,1,1,1,0,1,0,0,0,0,4,0,2,0,0,0,3,2,6,0,1,0,1,0,1,0,2,0,0,0,1,33,0,1,0,0,1,0,0,58,0,0,1,9,0,2,0,0,0,0
mild,27890,6089,1390,411,1062,115,779,932,215,1086,1053,45,386,89,772,406,36,196,1,49,133,3812,5,96,131,435,13,32,113,1067,44,13,22,591,3,200,34,68,26,5,10,8,211,7,12,223,32,10,1,2,17,0,38,176,0,40,19,32,6,3,152,96,661,20,964,231,19,10,4,15,11,5,13,1,10,11,0,27,0,19,0,0,148,77,1,503,6,0,1,59,0,2,3,3,0,1,3,44,1,105,6,11,0,25,0,48,10,5,3,19,0,3,2,0,3,26,25,0,0,2,16,1,3,0,34,11,4,1,0,0,31,1,2,217,8,0,0,4,10,43,2,6,1,7,1,3,0,24,0,0,11,1,9,0,38,0,0,0,5,254,1,0,4,2,0,0,5,1,3,0,2,0,0,0,2,1,0,13,8,5,5,0,13,4,1,3,1,0,5,178,0,1,4,102,13,0,11,0,12,4,1,1,27,0,0,1,5,2,0,13,3,0,3,6,7,0,12,0,14,2,8,0,13,3,4,6,1,0,24,7,18,5,0,0,0,0,0,0,2,1,0,5,1,1,0,56,7,1,0,0,1,0,1,1,1,18,7,3,4,1,0,0,8,2,0,0,0,36,5,0,1,0,0,4,0,1,4,26,19,0,0,0,0,8,2,11,0,20,0,0,0,0,0,4,5,5,0,22,9,1,0,0,0,0,21,0,7,0,0,0,1,0,0,2,1,0,0
outstanding,27651,389,1086,11011,626,914,325,36,1068,77,315,61,28,573,309,62,23,1375,15,170,780,2,38,475,2,47,56,235,28,17,93,2273,6,43,1078,1,6,9,58,5,25,9,38,5,306,6,178,31,4,51,4,1,67,13,2,7,3,139,15,0,6,2,32,19,30,12,5,11,226,22,6,0,27,9,924,11,1,14,0,16,1,5,58,126,23,0,4,0,5,26,0,1,3,29,0,41,14,1,3,15,17,3,1,0,2,1,112,6,21,1,0,21,8,1,1,356,3,0,0,0,15,1,0,0,2,27,0,54,42,3,5,2,0,24,6,0,0,0,1,6,0,18,4,12,1,8,0,34,1,0,0,2,3,1,13,2,0,5,0,5,3,2,3,1,0,0,0,1,2,0,1,1,1,0,0,0,2,2,1,1,3,1,3,2,0,1,1,1,7,14,1,1,2,0,106,5,8,0,3,3,0,0,0,11,0,0,0,0,0,1,8,0,3,0,5,1,7,0,0,0,0,1,2,2,8,12,0,0,3,0,3,0,1,1,1,0,1,0,0,0,0,3,0,11,1,0,10,14,1,0,0,0,5,2,7,3,1,3,4,0,0,0,1,0,5,1,0,1,2,1,19,12,9,2,0,0,0,1,0,10,1,0,0,0,3,4,0,0,0,4,2,0,1,7,23,0,0,8,0,0,0,0,0,1,0,1,0,5,0,1,0,0,7,1,1,0,0
inexpensive,27630,4291,983,2392,989,951,612,103,579,58,557,44,32,442,659,447,37,103,25,34,31,9133,8,34,7,107,26,32,247,1473,15,36,48,270,9,5,7,210,13,4,15,38,128,0,35,45,19,6,1,22,3,0,33,43,0,8,3,122,14,0,32,25,178,7,190,192,1,9,7,12,3,0,15,1,7,11,7,20,0,7,0,1,19,7,2,11,4,0,0,67,2,0,5,2,0,7,8,127,2,7,46,2,7,1,2,23,2,8,22,3,0,4,21,0,20,3,7,0,0,1,42,3,6,1,1,6,1,0,0,1,2,2,0,65,15,0,0,5,73,25,0,4,0,6,1,0,1,9,2,0,0,0,0,0,16,0,0,2,4,290,2,1,3,0,0,0,1,0,2,0,1,1,1,1,1,1,20,2,4,13,2,4,19,0,5,5,1,0,30,14,0,4,1,2,2,0,4,0,1,9,0,0,1,0,0,1,0,1,0,5,6,2,3,2,2,1,2,1,1,0,0,0,2,1,0,0,0,0,2,4,2,2,0,1,0,0,0,0,1,0,1,3,0,1,1,1,1,2,3,3,0,0,1,0,0,2,20,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,1,2,0,4,0,1,0,0,2,1,0,6,0,0,1,1,0,1,1,5,0,0,2,0,0,1,0,0,10,0,7,0,0,0,0,0,0,0,0,0,0
tricky,27579,5268,2009,397,803,293,668,724,1761,707,1065,114,999,345,2034,452,139,160,10,979,74,33,0,1093,190,59,6,25,197,141,789,43,111,619,6,447,6,95,3,1,94,13,356,9,78,462,74,2,0,331,1,6,50,3,1,14,15,28,4,181,14,2,18,327,71,160,18,0,3,68,21,3,42,1,8,96,0,9,0,9,2,6,34,19,4,13,4,1,4,8,2,4,19,0,0,12,33,16,28,24,4,21,1,295,4,17,0,6,0,13,0,27,5,0,16,4,14,0,0,1,15,2,40,0,6,2,0,28,5,8,4,15,0,18,3,0,0,2,6,4,1,29,1,28,5,7,1,27,0,1,0,0,90,1,26,0,0,2,419,3,5,6,2,3,0,0,1,2,17,35,0,0,9,5,2,0,8,2,21,9,0,10,31,11,0,14,1,0,8,8,0,0,2,1,7,1,2,0,2,7,0,15,9,0,6,1,5,6,0,33,0,1,7,0,18,1,2,5,1,0,21,0,1,0,10,4,0,0,6,2,2,4,0,0,2,0,0,3,6,3,0,5,0,7,0,66,19,11,3,0,1,0,2,0,3,4,0,0,1,0,1,0,0,1,0,1,0,6,11,0,0,2,0,2,0,15,0,8,0,10,0,0,2,0,2,0,5,6,1,3,0,0,0,0,0,0,0,25,16,2,0,0,0,0,9,0,1,0,0,2,2,0,0,0,1,0,0
false,27465,304,946,168,320,733,840,37,102,190,18,112,167,543,107,25,42,47,2,120,387,4,4349,26,1,364,33,544,32,1,13,29,13,30,1810,52,19,2,2072,1122,1,5,250,4,12,81,176,7,12,181,15,13,247,852,1,3,238,113,39,1,31,7,51,91,71,1,14,141,5,81,2,0,188,4,1161,0,6,4,1,7,0,5,4,39,462,1,4,0,1,4,2,1,12,814,46,3,12,0,0,86,24,1,48,3,0,0,10,60,3,30,0,682,125,0,77,10,1,4,2,0,3,1,61,1,138,3,3,25,0,2,2,11,2,19,3,1,0,22,47,1,0,68,13,153,89,0,0,41,191,3,1,0,5,0,0,0,0,19,7,0,135,8,156,9,14,0,53,8,83,8,81,9,0,0,54,19,4,8,1,0,2,1,0,32,40,1,10,0,8,3,0,0,34,0,13,0,48,0,34,19,14,0,4,0,1,0,5,2,0,32,6,9,16,1,0,0,16,16,4,0,2,35,0,2,43,10,6,0,1,1,1,2,0,0,2,0,0,0,0,2,0,2,0,26,0,6,6,15,1,9,2,2,5,0,1,1,10,3,5,0,0,0,0,0,88,5,0,27,0,1,0,2,0,1,0,17,0,3,0,10,1,0,2,0,20,2,0,1,0,2,0,0,12,326,0,0,0,18,5,2,0,0,0,2281,0,0,2,0,1,40,4,0,2,13,1,0,0
casual,27460,2660,12423,2774,826,273,656,1530,222,86,479,219,288,63,182,152,45,103,11,46,196,112,92,18,1,51,9,66,30,230,4,25,75,189,14,23,298,402,119,14,10,13,45,0,13,156,49,14,6,2,34,3,3,54,1,0,1,47,22,0,233,14,31,31,30,52,11,11,0,14,147,0,8,1,25,34,0,47,0,36,0,0,9,71,2,9,9,0,0,22,1,0,4,19,0,3,6,6,3,27,6,4,0,6,0,0,6,0,6,6,0,3,3,2,3,2,6,0,0,3,4,0,17,2,56,3,0,1,0,0,11,1,0,41,4,0,0,0,6,23,0,1,25,8,1,9,0,26,2,1,6,0,9,0,6,0,1,2,10,7,6,10,2,1,3,0,6,1,2,0,1,0,3,2,5,3,4,32,10,6,37,0,1,3,1,4,0,2,3,9,1,6,3,4,2,0,30,1,10,0,78,0,9,0,4,0,21,2,0,60,1,0,3,4,7,0,6,2,8,1,7,0,9,0,3,2,0,0,2,12,1,2,1,0,2,0,0,2,2,0,0,12,5,3,0,93,5,1,9,3,0,1,0,0,1,7,22,2,0,1,0,0,0,0,0,0,0,2,0,25,0,0,0,1,0,0,1,1,0,0,0,2,1,2,0,1,1,2,1,1,0,0,8,1,0,21,0,3,5,0,0,0,0,0,10,0,4,0,0,0,1,0,0,1,0,1,0
senior,27370,2427,6056,16719,65,56,111,65,44,40,51,259,20,9,49,26,34,4,7,5,6,85,0,9,19,97,52,18,5,105,8,10,120,15,2,10,8,62,6,2,2,12,5,2,5,8,15,3,1,2,0,0,2,65,3,1,1,1,2,1,1,70,6,3,9,2,64,5,6,1,0,0,1,3,0,0,1,5,0,8,0,1,2,3,2,2,2,0,0,0,0,2,1,0,0,0,5,8,0,11,0,1,0,0,0,2,10,0,0,3,0,2,2,1,2,0,0,2,0,0,0,0,0,0,2,9,0,6,0,0,0,0,4,1,35,0,0,1,0,0,2,2,0,0,0,0,0,8,0,0,12,0,0,0,1,0,1,0,0,3,0,0,0,0,1,0,0,1,0,5,0,1,0,0,0,0,0,6,2,4,7,0,0,0,0,0,1,6,0,1,0,2,0,0,3,0,0,0,6,2,0,0,0,0,0,0,2,0,0,2,0,0,2,0,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,0,1,0,0,13,0,0,1,0,0,0,0,0,3,2,0,0,62,0,0,0,0,1,0,0,0,0,0,0,3,8,0,1,0,26,0,0,0,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
evil,27292,964,1953,2984,1710,3996,1311,278,636,90,196,512,333,144,90,145,168,224,5,230,416,7,266,228,4,491,56,292,111,25,54,1082,37,62,123,90,77,54,280,111,2,1,52,8,26,46,180,21,23,73,34,59,184,43,9,1,53,45,43,2,50,33,35,57,28,7,11,4,1,50,5,0,35,4,147,5,1,5,0,19,3,1,28,15,129,5,11,0,0,7,0,5,52,120,10,80,53,0,16,41,29,3,4,1,0,1,15,6,17,18,0,127,273,3,68,14,42,2,0,16,6,1,1422,1,27,3,2,5,0,12,72,0,1,18,21,0,0,1,21,29,0,37,268,290,133,115,3,10,113,15,4,0,20,0,9,0,0,109,32,0,84,127,1,0,3,0,95,11,58,0,33,0,18,3,13,70,24,2,4,5,6,9,0,99,19,4,4,0,17,2,1,4,81,0,8,1,21,1,62,20,12,17,6,0,10,0,6,6,0,37,6,2,8,1,14,1,0,36,2,2,1,0,8,3,25,0,2,0,1,0,1,10,0,0,19,2,0,10,8,7,0,3,5,24,0,5,9,4,30,2,19,2,14,1,0,3,199,2,0,0,0,1,2,1,14,7,0,12,3,1,0,1,0,0,0,10,0,1,1,17,8,6,5,0,10,20,1,242,0,12,0,3,33,18,0,0,0,3,11,4,5,1,0,12,71,0,4,0,0,1,1,0,0,1,0,1,1
resilient,27292,1706,14000,1848,659,302,740,80,144,11,422,658,11,150,367,501,213,61,637,25,33,189,12,104,3,19,9,17,582,184,51,108,59,26,6,7,2,39,12,2,16,2,14,0,15,38,29,7,39,7,2,4,6,2,0,1,0,45,0,8,10,29,35,0,16,393,49,25,1,9,1,1,8,2,2,22,0,29,0,14,15,11,69,6,2,29,4,46,44,715,0,5,5,5,0,2,4,23,6,4,0,0,2,0,46,0,2,10,0,0,0,2,3,0,7,4,71,0,0,0,236,73,20,0,3,12,1,3,0,8,82,176,2,15,53,1,0,2,30,13,5,8,0,1,6,17,4,11,0,0,0,0,0,7,12,5,0,2,14,5,0,1,0,0,0,0,0,1,0,0,10,0,1,12,0,3,3,0,4,21,1,28,16,2,2,7,0,0,26,24,0,1,2,1,2,1,2,1,0,3,0,10,1,2,0,0,0,0,19,4,0,0,0,5,5,0,1,0,9,0,1,0,12,0,0,0,0,0,24,6,1,2,0,0,2,0,0,0,0,4,1,0,0,5,0,3,2,1,2,4,0,6,0,0,0,6,8,0,0,1,0,4,0,0,0,0,0,0,0,2,2,4,1,0,0,1,0,2,0,2,0,0,0,3,1,2,1,0,1,0,0,0,0,1,2,3,0,0,26,3,2,0,0,0,2,3,20,0,2,0,8,20,2,0,1,0,0
reluctant,27292,3502,3604,1116,1514,460,357,340,215,19,110,354,182,755,305,913,62,1565,177,422,80,12,14,134,27,31,206,65,52,31,165,10,636,230,5,89,150,13,12,6,3,4,1711,0,96,707,123,78,0,3,0,139,41,32,1,0,49,47,73,3,109,9,330,383,292,34,21,28,24,6,13,0,17,2,54,12,0,12,0,89,0,10,2,68,127,12,0,0,0,31,2,0,23,7,2,12,5,3,1,106,4,1,1,11,0,2,8,30,13,53,0,70,2,4,91,16,9,0,0,0,1,0,4,0,156,107,0,0,0,1,87,0,0,94,1,0,0,1,1,1,1,12,1,7,0,3,9,37,3,12,0,16,9,0,24,1,1,3,145,1,0,1,23,11,4,0,1,4,10,0,2,0,4,7,1,5,0,3,11,0,1,1,5,21,0,1,0,0,0,55,0,2,0,0,16,0,9,0,5,29,0,0,1506,0,3,0,11,3,3,23,5,0,14,1,69,0,5,0,82,0,15,2,0,3,1,3,0,0,3,41,14,15,0,0,4,0,0,0,0,1,1,0,0,0,0,0,12,30,5,3,1,1,1,15,3,36,2,0,104,1,2,5,0,2,0,0,1,37,0,0,0,1,7,286,0,4,2,29,0,7,0,0,0,4,2,23,567,0,1,0,3,3,4,11,0,1,0,10,52,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0
endless,27226,7,223,26,121,273,385,12,239,217,81,13,13,62,65,1,5,12,0,19,245,15,7,1,2,23,43,10,4,18,0,624,3,23,71,1,3052,1,8,0,0,8,15,0,14,14,37,7,0,216,1,0,30,1,1696,0,32,16,8,0,16257,1,6,24,15,1,2,0,3,6,0,0,5,0,102,3,1,3,0,6,0,0,0,27,4,0,64,0,0,0,1092,0,0,12,0,3,20,0,1,3,3,0,0,1,0,1,4,1,2,15,0,8,3,2,5,0,0,0,0,1,1,0,3,0,323,1,0,3,2,1,2,0,1,3,0,0,0,1,1,6,0,33,0,0,0,0,0,11,0,0,0,0,2,0,0,0,0,1,1,3,2,0,8,1,0,0,67,0,28,0,6,0,1,0,0,0,1,0,0,0,1,0,0,3,0,1,471,0,1,4,0,0,57,0,3,0,8,0,12,3,1,2,1,0,0,0,0,0,0,0,0,0,2,0,0,1,6,0,1,0,4,0,2,0,1,5,0,0,0,0,0,3,0,1,4,0,0,0,4,0,0,1,1,1,61,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,280,1,0,1,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,6,1,1,5,0,0,0,0,0,6,0,0,0,1,1,1,0,0,0,0,3,0,0,0,0,0,5,0,0,0,1,0,0
neat,27152,3315,321,25,1883,303,1160,688,7193,384,6787,73,85,226,302,169,237,141,1,333,139,64,14,119,24,24,11,221,110,131,107,28,1,261,13,14,11,229,16,5,103,13,6,6,8,28,12,16,1,6,100,2,21,11,2,2,4,23,22,2,7,4,18,7,15,25,8,0,0,31,36,3,16,2,7,137,0,6,0,18,0,1,25,14,3,16,12,0,1,18,0,0,9,0,0,7,17,22,37,7,4,13,1,6,0,4,1,0,3,3,0,2,5,0,9,3,4,0,0,1,8,0,1,0,4,2,1,2,8,0,15,0,2,8,4,0,0,2,5,13,3,4,0,1,0,1,0,10,1,0,0,0,366,0,9,0,0,2,3,4,8,0,0,6,1,0,1,0,2,0,0,0,0,0,1,0,1,1,10,2,0,2,10,0,0,34,0,1,3,10,1,1,4,1,2,0,3,0,2,0,1,1,1,2,0,0,1,1,0,1,23,1,1,0,1,0,6,0,2,0,229,1,27,5,2,1,0,0,2,6,2,2,2,0,0,1,0,0,19,0,0,12,4,4,1,2,1,0,1,2,1,0,0,0,0,1,3,1,0,0,0,0,0,1,0,2,0,4,1,1,1,0,1,1,0,2,0,4,1,2,0,1,0,0,0,8,0,0,0,0,0,0,1,1,1,0,0,5,0,0,0,0,0,0,4,0,1,0,0,0,2,0,0,0,3,0,0
