adj_lemma,SUM,very,more,most,so,not,too,as,much,really,pretty,even,also,quite,less,extremely,still,always,relatively,far,just,particularly,now,highly,only,completely,all,especially,no,incredibly,well,that,fairly,slightly,increasingly,entirely,super,totally,truly,absolutely,rather,almost,already,significantly,equally,long,often,somewhat,actually
sensitive,113636,21106,25472,14318,4652,1848,4436,2215,192,1148,499,174,1048,1091,3983,5783,409,350,66,0,133,5150,55,12387,167,19,167,2618,3,762,9,129,169,55,549,10,1021,12,142,11,263,3,283,7,205,53,232,198,34
cheap,109148,11647,1170,500,6363,16347,3806,4577,18010,4504,3277,2857,2037,1607,183,1501,1753,1019,8779,2986,578,344,656,10,701,21,163,114,94,1161,55,363,1636,1232,168,12,2446,28,106,48,726,53,269,2190,63,148,1612,303,925
wrong,108733,11472,4499,219,12353,12704,353,3281,1879,3635,95,595,1804,1441,518,256,1179,3197,4,1273,7142,446,106,8,1321,9547,13259,142,844,356,27,635,7,574,21,2224,45,5266,251,2485,44,87,84,76,470,23,1529,109,848
natural,108581,9788,31422,11535,4824,4169,222,5593,1148,924,885,149,498,2697,905,307,160,159,125,8,1269,64,32,44,16324,5061,4201,29,2,234,106,10,289,8,29,1229,476,1592,569,386,139,494,36,1,106,56,44,153,80
deep,107406,18530,2025,446,12422,2486,10916,8466,17131,3523,2573,10692,447,1020,458,1049,1118,184,480,3863,255,920,387,6,232,10,155,433,498,907,110,320,967,857,217,12,349,14,308,8,392,30,1092,173,234,72,234,274,111
productive,106363,9271,51153,20971,1029,2428,130,4512,109,925,435,64,179,503,4405,1372,313,189,110,1,33,427,10,4600,153,18,54,267,1,654,30,103,251,11,108,21,394,19,271,6,91,0,60,7,185,155,66,133,136
appropriate,105511,4340,28624,30366,1039,15975,208,4044,64,937,247,339,1289,1359,528,196,601,1036,15,9,182,1443,187,632,3010,793,187,1138,0,101,50,29,76,7,30,3126,25,809,100,395,316,67,14,0,321,754,134,200,169
intense,104802,10708,33814,15192,11899,414,4286,4777,175,2968,4914,49,180,1204,4667,1055,223,311,84,2,123,1439,36,378,45,12,64,590,0,930,10,214,570,32,802,2,565,31,150,38,570,15,366,5,470,12,311,80,20
detailed,104375,12145,56034,7492,1833,1145,1123,3919,416,640,620,34,592,770,1112,2051,31,34,120,4,73,177,47,7946,59,71,228,72,0,2491,825,76,802,23,260,11,315,14,36,5,290,0,88,6,93,41,84,85,42
impossible,104215,129,823,652,1106,26126,203,1749,2040,888,621,2242,1300,1736,84,18,620,247,49,27,1948,18,971,94,304,1426,105,21,5,27,69,254,99,16,342,487,10,817,325,1762,248,51226,165,0,369,74,1703,91,579
responsible,104001,2662,10823,6509,339,42440,124,2737,391,1100,130,268,18063,95,677,187,1762,465,52,9,237,115,2214,526,2193,690,1511,70,3,68,32,8,55,25,377,1070,40,574,508,116,21,23,436,65,1335,422,920,362,1152
worried,103696,9356,10481,1794,8168,25732,7994,1510,715,7224,508,569,4483,831,2143,1507,2862,2092,4,0,2476,1856,893,26,706,25,1248,884,4,133,14,655,30,657,2435,14,152,26,332,25,222,70,839,10,178,655,317,406,435
unusual,103419,14664,8265,12127,4222,30330,627,1243,51,1546,1495,176,1008,2907,205,1718,279,45,508,1,216,1146,32,9923,168,154,139,289,5,193,11,1028,706,893,87,160,36,115,403,42,3297,19,83,5,214,149,120,2297,72
glad,103066,14393,380,116,53795,535,721,415,67,10392,339,73,2256,653,25,576,893,2033,2,1,11378,287,204,12,178,18,494,410,1,154,13,8,14,11,9,10,383,59,269,45,270,220,24,1,76,8,39,47,759
prominent,102840,4660,19904,64329,2098,432,468,1766,35,178,249,19,636,583,2283,273,363,84,71,1,13,730,96,214,53,3,63,649,1,58,4,40,349,40,1264,2,13,2,22,3,262,1,120,17,184,60,58,74,13
basic,102813,20562,8873,52477,2118,215,947,3718,100,1399,5657,252,110,802,129,730,65,30,483,2,239,15,11,13,98,36,35,9,0,202,11,15,2008,45,8,15,233,27,70,78,665,23,20,3,46,11,38,140,30
visible,101648,5744,18566,18394,1243,12476,616,2036,318,407,130,562,2357,1016,5921,259,5605,1529,18,6,1199,502,1306,10295,4399,323,394,399,179,49,263,89,130,236,1097,129,52,95,86,17,66,127,934,23,88,1122,463,91,292
personal,101254,25776,36190,8007,3427,3450,3301,1754,1611,1435,409,318,489,708,1606,1424,86,359,19,8,398,256,75,4913,254,381,163,128,3,723,60,38,79,23,338,531,141,197,910,80,344,136,51,10,76,67,284,183,35
talented,99568,25057,7803,27167,3982,703,1242,4028,54,3319,600,33,179,513,1693,6817,103,53,16,2,108,317,2,3950,269,4,201,209,0,6355,84,242,100,4,19,2,1951,17,952,24,77,1,257,5,928,5,22,27,72
impressed,98086,25033,4335,2591,15486,11094,1958,1616,764,9532,2199,104,2034,3168,1524,2458,511,1584,18,18,285,2878,15,836,144,202,378,1012,2,871,158,721,212,58,98,63,961,513,652,81,376,30,247,8,696,52,105,109,296
sad,97816,30970,1749,331,20377,2388,2014,2822,341,10660,3453,1510,1319,2121,390,1420,944,1266,18,43,3465,730,66,4,324,48,650,513,7,1738,17,328,63,359,53,27,538,71,1084,24,1697,425,154,2,179,71,254,526,263
severe,97507,6596,33287,16442,11137,1597,3661,4809,77,527,1488,139,89,1375,9152,1001,146,51,109,6,17,1804,11,26,30,7,9,694,2,83,8,182,350,10,962,1,21,3,46,18,508,28,269,7,170,9,462,65,16
own,97107,95943,90,52,15,113,10,2,15,125,25,30,49,36,24,92,60,3,2,0,7,3,92,2,8,20,2,4,0,42,9,0,1,0,0,14,2,6,16,1,10,4,95,0,2,41,4,1,35
diverse,96518,10292,28520,14718,3078,504,667,20675,86,680,820,8,298,1308,1347,1850,38,57,233,2,28,145,23,1999,65,137,57,85,3,2625,33,53,410,32,3418,36,91,88,739,16,226,2,208,38,562,4,68,120,26
sweet,95709,16341,2269,536,16996,1882,9662,7644,2659,5214,7445,2661,473,1250,2109,599,459,486,87,151,628,735,52,37,203,41,419,826,26,1178,86,441,448,5490,15,28,3385,313,184,87,754,392,151,40,131,33,149,391,123
reliable,95089,7774,28591,29400,1108,3483,132,3955,181,478,967,63,488,556,3963,1963,159,1788,214,2,63,219,30,3942,728,782,64,56,5,335,51,210,828,2,111,304,253,499,336,297,60,13,17,3,189,192,44,123,68
grateful,93409,27007,3686,3136,28370,690,116,487,119,4075,197,145,2515,337,118,6783,563,1231,3,0,2051,812,105,64,116,71,539,1646,0,3370,9,18,3,13,42,80,532,93,3477,82,75,100,35,1,191,10,66,44,186
certain,93374,1394,5394,1138,3697,20302,348,2155,231,537,4142,767,895,4349,6039,49,208,504,428,17,162,35,684,42,367,794,128,30,2,17,130,69,7637,11,198,1400,6,222,74,5908,163,21419,325,0,456,312,35,57,97
accessible,91285,4657,44009,6684,1600,7032,277,3062,87,460,221,174,2125,443,2162,520,1224,1460,305,5,141,125,1668,1681,5817,561,845,53,0,250,171,34,265,2,423,149,154,264,356,39,30,8,227,4,471,728,125,51,136
alive,91230,914,5323,1069,2282,3293,76,1066,8007,711,29,1067,366,302,136,22,59658,349,5,9,228,30,692,4,669,167,750,33,0,53,117,11,7,27,20,22,4,123,1024,44,10,204,238,1,38,1292,28,51,659
present,90655,2821,4395,729,864,24939,241,829,955,803,41,950,19123,151,383,77,8422,6653,9,10,247,126,1244,90,1520,436,1721,185,5,38,159,2,27,15,259,127,26,253,737,73,29,24,6799,35,181,1264,1504,34,1100
lucky,90464,26660,698,141,25907,2695,216,3868,183,7697,2765,857,1665,1169,529,3515,237,164,242,55,3199,270,123,5,152,24,420,317,13,3264,24,1025,148,44,2,9,778,42,511,35,197,24,65,2,36,8,59,163,242
sophisticated,90395,6669,44682,14228,1594,771,1095,1905,56,411,821,136,149,788,2418,875,82,43,412,4,27,313,35,5196,45,16,49,59,2,527,23,143,704,35,5031,10,153,30,136,10,336,15,45,8,144,4,52,91,17
slow,90326,19067,800,130,6575,1482,20671,2404,8446,3393,2183,1559,767,1605,83,2526,1143,428,3550,670,708,447,90,3,229,8,109,182,81,1065,46,166,941,2152,83,9,970,15,34,6,1566,48,287,765,97,218,1020,1343,156
influential,90085,5090,5905,62866,1929,174,196,1887,59,253,176,30,412,356,977,1063,310,34,23,0,18,668,24,4787,45,4,42,286,0,474,2,61,58,3,1187,0,33,2,130,4,56,0,56,32,255,26,32,37,23
careful,89845,36346,16681,1498,2058,14674,2290,1464,291,2666,492,64,761,490,455,3477,149,1320,27,2,102,1045,55,44,48,11,47,1945,0,193,5,46,93,18,60,8,460,7,13,25,101,0,16,3,120,12,52,99,12
healthy,89774,13159,9796,2194,2602,10456,580,8635,6653,2206,2410,1358,1210,1294,3870,1227,1574,673,3816,804,303,484,953,51,942,2510,970,139,93,612,169,223,1071,308,88,289,1761,566,888,175,246,77,379,144,171,310,158,350,827
convenient,89162,14191,34571,15944,3028,2220,1451,2843,177,1519,650,60,1248,1117,1432,1782,113,609,96,10,347,408,68,611,401,47,54,579,2,822,27,147,120,6,50,22,1363,54,135,27,301,4,22,2,125,72,128,44,113
cold,87983,17434,1541,366,10507,3158,18595,5616,2866,5139,1977,1675,355,1822,504,4049,1897,1071,392,171,621,854,280,10,208,466,223,317,63,279,246,466,272,588,204,32,770,79,103,53,925,191,267,147,81,190,407,329,177
