sentences,mask_type,pred_pos,scale_type
It wasn't totally wet. It was not [MASK] dry.,modifier,adj,abs
It wasn't totally wet. It wasn't [MASK] dry.,modifier,adj,abs
It wasn't wet. It was not [MASK] dry.,modifier,adj,abs
It wasn't wet. It wasn't [MASK] dry.,modifier,adj,abs
It was not [MASK] wet. It was kinda wet.,modifier,adj,abs
It was not extremely wet. It was [MASK] wet.,modifier,adj,abs
 It was [MASK] wet.,modifier,adj,abs
It was not [MASK] wet. It was sorta wet.,modifier,adj,abs
It was not [MASK] wet. It was slightly wet.,modifier,adj,abs
It was not [MASK] wet. It was partially wet.,modifier,adj,abs
It was not ridiculously wet. It was [MASK] wet.,modifier,adj,abs
It was not completely wet. It was [MASK] wet.,modifier,adj,abs
It was not totally wet. It was [MASK] wet.,modifier,adj,abs
It wasn't [MASK] wet. It was kinda wet.,modifier,adj,abs
It wasn't extremely wet. It was [MASK] wet.,modifier,adj,abs
It wasn't [MASK] wet. It was sorta wet.,modifier,adj,abs
It wasn't [MASK] wet. It was slightly wet.,modifier,adj,abs
It wasn't [MASK] wet. It was partially wet.,modifier,adj,abs
It wasn't ridiculously wet. It was [MASK] wet.,modifier,adj,abs
It wasn't completely wet. It was [MASK] wet.,modifier,adj,abs
It wasn't totally wet. It was [MASK] wet.,modifier,adj,abs
It was [MASK] wet. It was not extremely wet.,modifier,adj,abs
It was [MASK] wet.,modifier,adj,abs
It was kinda wet. It was not [MASK] wet.,modifier,adj,abs
It was [MASK] wet. It was not ridiculously wet.,modifier,adj,abs
It was [MASK] wet. It was not completely wet.,modifier,adj,abs
It was [MASK] wet. It was not totally wet.,modifier,adj,abs
It was [MASK] wet. It wasn't extremely wet.,modifier,adj,abs
It was kinda wet. It wasn't [MASK] wet.,modifier,adj,abs
It was [MASK] wet. It wasn't ridiculously wet.,modifier,adj,abs
It was [MASK] wet. It wasn't completely wet.,modifier,adj,abs
It was [MASK] wet. It wasn't totally wet.,modifier,adj,abs
It was sorta wet. It was not [MASK] wet.,modifier,adj,abs
It was sorta wet. It wasn't [MASK] wet.,modifier,adj,abs
It was slightly wet. It was not [MASK] wet.,modifier,adj,abs
It was slightly wet. It wasn't [MASK] wet.,modifier,adj,abs
It was partially wet. It was not [MASK] wet.,modifier,adj,abs
It was partially wet. It wasn't [MASK] wet.,modifier,adj,abs
It was [MASK] wet. It was not extremely wet but it was not dry either.,modifier,adj,abs
It was kinda wet. It was not [MASK] wet but it was not dry either.,modifier,adj,abs
 It was not [MASK] wet but it was not dry either.,modifier,adj,abs
It was [MASK] wet. It was not extremely wet but it wasn't dry either.,modifier,adj,abs
It was kinda wet. It was not [MASK] wet but it wasn't dry either.,modifier,adj,abs
 It was not [MASK] wet but it wasn't dry either.,modifier,adj,abs
It was [MASK] wet. It was not ridiculously wet but it was not dry either.,modifier,adj,abs
It was [MASK] wet. It was not ridiculously wet but it wasn't dry either.,modifier,adj,abs
It was [MASK] wet. It was not completely wet but it was not dry either.,modifier,adj,abs
It was [MASK] wet. It was not completely wet but it wasn't dry either.,modifier,adj,abs
It was [MASK] wet. It was not totally wet but it was not dry either.,modifier,adj,abs
It was [MASK] wet. It was not totally wet but it wasn't dry either.,modifier,adj,abs
It was [MASK] wet. It wasn't extremely wet but it was not dry either.,modifier,adj,abs
It was kinda wet. It wasn't [MASK] wet but it was not dry either.,modifier,adj,abs
 It wasn't [MASK] wet but it was not dry either.,modifier,adj,abs
It was [MASK] wet. It wasn't extremely wet but it wasn't dry either.,modifier,adj,abs
It was kinda wet. It wasn't [MASK] wet but it wasn't dry either.,modifier,adj,abs
 It wasn't [MASK] wet but it wasn't dry either.,modifier,adj,abs
It was [MASK] wet. It wasn't ridiculously wet but it was not dry either.,modifier,adj,abs
It was [MASK] wet. It wasn't ridiculously wet but it wasn't dry either.,modifier,adj,abs
It was [MASK] wet. It wasn't completely wet but it was not dry either.,modifier,adj,abs
It was [MASK] wet. It wasn't completely wet but it wasn't dry either.,modifier,adj,abs
It was [MASK] wet. It wasn't totally wet but it was not dry either.,modifier,adj,abs
It was [MASK] wet. It wasn't totally wet but it wasn't dry either.,modifier,adj,abs
It was [MASK] wet. It was not dry but it was not extremely wet either.,modifier,adj,abs
It was kinda wet. It was not dry but it was not [MASK] wet either.,modifier,adj,abs
 It was not dry but it was not [MASK] wet either.,modifier,adj,abs
It was [MASK] wet. It was not dry but it was not ridiculously wet either.,modifier,adj,abs
It was [MASK] wet. It was not dry but it was not completely wet either.,modifier,adj,abs
It was [MASK] wet. It was not dry but it was not totally wet either.,modifier,adj,abs
It was [MASK] wet. It was not dry but it wasn't extremely wet either.,modifier,adj,abs
It was kinda wet. It was not dry but it wasn't [MASK] wet either.,modifier,adj,abs
 It was not dry but it wasn't [MASK] wet either.,modifier,adj,abs
It was [MASK] wet. It was not dry but it wasn't ridiculously wet either.,modifier,adj,abs
It was [MASK] wet. It was not dry but it wasn't completely wet either.,modifier,adj,abs
It was [MASK] wet. It was not dry but it wasn't totally wet either.,modifier,adj,abs
It was [MASK] wet. It wasn't dry but it was not extremely wet either.,modifier,adj,abs
It was kinda wet. It wasn't dry but it was not [MASK] wet either.,modifier,adj,abs
 It wasn't dry but it was not [MASK] wet either.,modifier,adj,abs
It was [MASK] wet. It wasn't dry but it was not ridiculously wet either.,modifier,adj,abs
It was [MASK] wet. It wasn't dry but it was not completely wet either.,modifier,adj,abs
It was [MASK] wet. It wasn't dry but it was not totally wet either.,modifier,adj,abs
It was [MASK] wet. It wasn't dry but it wasn't extremely wet either.,modifier,adj,abs
It was kinda wet. It wasn't dry but it wasn't [MASK] wet either.,modifier,adj,abs
 It wasn't dry but it wasn't [MASK] wet either.,modifier,adj,abs
It was [MASK] wet. It wasn't dry but it wasn't ridiculously wet either.,modifier,adj,abs
It was [MASK] wet. It wasn't dry but it wasn't completely wet either.,modifier,adj,abs
It was [MASK] wet. It wasn't dry but it wasn't totally wet either.,modifier,adj,abs
It was sorta wet. It was not [MASK] wet but it was not dry either.,modifier,adj,abs
It was sorta wet. It was not [MASK] wet but it wasn't dry either.,modifier,adj,abs
It was sorta wet. It wasn't [MASK] wet but it was not dry either.,modifier,adj,abs
It was sorta wet. It wasn't [MASK] wet but it wasn't dry either.,modifier,adj,abs
It was sorta wet. It was not dry but it was not [MASK] wet either.,modifier,adj,abs
It was sorta wet. It was not dry but it wasn't [MASK] wet either.,modifier,adj,abs
It was sorta wet. It wasn't dry but it was not [MASK] wet either.,modifier,adj,abs
It was sorta wet. It wasn't dry but it wasn't [MASK] wet either.,modifier,adj,abs
It was slightly wet. It was not [MASK] wet but it was not dry either.,modifier,adj,abs
It was slightly wet. It was not [MASK] wet but it wasn't dry either.,modifier,adj,abs
It was slightly wet. It wasn't [MASK] wet but it was not dry either.,modifier,adj,abs
It was slightly wet. It wasn't [MASK] wet but it wasn't dry either.,modifier,adj,abs
It was slightly wet. It was not dry but it was not [MASK] wet either.,modifier,adj,abs
It was slightly wet. It was not dry but it wasn't [MASK] wet either.,modifier,adj,abs
It was slightly wet. It wasn't dry but it was not [MASK] wet either.,modifier,adj,abs
It was slightly wet. It wasn't dry but it wasn't [MASK] wet either.,modifier,adj,abs
It was partially wet. It was not [MASK] wet but it was not dry either.,modifier,adj,abs
It was partially wet. It was not [MASK] wet but it wasn't dry either.,modifier,adj,abs
It was partially wet. It wasn't [MASK] wet but it was not dry either.,modifier,adj,abs
It was partially wet. It wasn't [MASK] wet but it wasn't dry either.,modifier,adj,abs
It was partially wet. It was not dry but it was not [MASK] wet either.,modifier,adj,abs
It was partially wet. It was not dry but it wasn't [MASK] wet either.,modifier,adj,abs
It was partially wet. It wasn't dry but it was not [MASK] wet either.,modifier,adj,abs
It was partially wet. It wasn't dry but it wasn't [MASK] wet either.,modifier,adj,abs
It was not [MASK] wet but it was not dry either. It was kinda wet.,modifier,adj,abs
It was not [MASK] wet but it was not dry either.,modifier,adj,abs
It was not extremely wet but it was not dry either. It was [MASK] wet.,modifier,adj,abs
It was not [MASK] wet but it was not dry either. It was sorta wet.,modifier,adj,abs
It was not [MASK] wet but it was not dry either. It was slightly wet.,modifier,adj,abs
It was not [MASK] wet but it was not dry either. It was partially wet.,modifier,adj,abs
It was not [MASK] wet but it wasn't dry either. It was kinda wet.,modifier,adj,abs
It was not [MASK] wet but it wasn't dry either.,modifier,adj,abs
It was not extremely wet but it wasn't dry either. It was [MASK] wet.,modifier,adj,abs
It was not [MASK] wet but it wasn't dry either. It was sorta wet.,modifier,adj,abs
It was not [MASK] wet but it wasn't dry either. It was slightly wet.,modifier,adj,abs
It was not [MASK] wet but it wasn't dry either. It was partially wet.,modifier,adj,abs
It was not ridiculously wet but it was not dry either. It was [MASK] wet.,modifier,adj,abs
It was not ridiculously wet but it wasn't dry either. It was [MASK] wet.,modifier,adj,abs
It was not completely wet but it was not dry either. It was [MASK] wet.,modifier,adj,abs
It was not completely wet but it wasn't dry either. It was [MASK] wet.,modifier,adj,abs
It was not totally wet but it was not dry either. It was [MASK] wet.,modifier,adj,abs
It was not totally wet but it wasn't dry either. It was [MASK] wet.,modifier,adj,abs
It wasn't [MASK] wet but it was not dry either. It was kinda wet.,modifier,adj,abs
It wasn't [MASK] wet but it was not dry either.,modifier,adj,abs
It wasn't extremely wet but it was not dry either. It was [MASK] wet.,modifier,adj,abs
It wasn't [MASK] wet but it was not dry either. It was sorta wet.,modifier,adj,abs
It wasn't [MASK] wet but it was not dry either. It was slightly wet.,modifier,adj,abs
It wasn't [MASK] wet but it was not dry either. It was partially wet.,modifier,adj,abs
It wasn't [MASK] wet but it wasn't dry either. It was kinda wet.,modifier,adj,abs
It wasn't [MASK] wet but it wasn't dry either.,modifier,adj,abs
It wasn't extremely wet but it wasn't dry either. It was [MASK] wet.,modifier,adj,abs
It wasn't [MASK] wet but it wasn't dry either. It was sorta wet.,modifier,adj,abs
It wasn't [MASK] wet but it wasn't dry either. It was slightly wet.,modifier,adj,abs
It wasn't [MASK] wet but it wasn't dry either. It was partially wet.,modifier,adj,abs
It wasn't ridiculously wet but it was not dry either. It was [MASK] wet.,modifier,adj,abs
It wasn't ridiculously wet but it wasn't dry either. It was [MASK] wet.,modifier,adj,abs
It wasn't completely wet but it was not dry either. It was [MASK] wet.,modifier,adj,abs
It wasn't completely wet but it wasn't dry either. It was [MASK] wet.,modifier,adj,abs
It wasn't totally wet but it was not dry either. It was [MASK] wet.,modifier,adj,abs
It wasn't totally wet but it wasn't dry either. It was [MASK] wet.,modifier,adj,abs
It was not dry but it was not [MASK] wet either. It was kinda wet.,modifier,adj,abs
It was not dry but it was not [MASK] wet either.,modifier,adj,abs
It was not dry but it was not extremely wet either. It was [MASK] wet.,modifier,adj,abs
It was not dry but it was not [MASK] wet either. It was sorta wet.,modifier,adj,abs
It was not dry but it was not [MASK] wet either. It was slightly wet.,modifier,adj,abs
It was not dry but it was not [MASK] wet either. It was partially wet.,modifier,adj,abs
It was not dry but it was not ridiculously wet either. It was [MASK] wet.,modifier,adj,abs
It was not dry but it was not completely wet either. It was [MASK] wet.,modifier,adj,abs
It was not dry but it was not totally wet either. It was [MASK] wet.,modifier,adj,abs
It was not dry but it wasn't [MASK] wet either. It was kinda wet.,modifier,adj,abs
It was not dry but it wasn't [MASK] wet either.,modifier,adj,abs
It was not dry but it wasn't extremely wet either. It was [MASK] wet.,modifier,adj,abs
It was not dry but it wasn't [MASK] wet either. It was sorta wet.,modifier,adj,abs
It was not dry but it wasn't [MASK] wet either. It was slightly wet.,modifier,adj,abs
It was not dry but it wasn't [MASK] wet either. It was partially wet.,modifier,adj,abs
It was not dry but it wasn't ridiculously wet either. It was [MASK] wet.,modifier,adj,abs
It was not dry but it wasn't completely wet either. It was [MASK] wet.,modifier,adj,abs
It was not dry but it wasn't totally wet either. It was [MASK] wet.,modifier,adj,abs
It wasn't dry but it was not [MASK] wet either. It was kinda wet.,modifier,adj,abs
It wasn't dry but it was not [MASK] wet either.,modifier,adj,abs
It wasn't dry but it was not extremely wet either. It was [MASK] wet.,modifier,adj,abs
It wasn't dry but it was not [MASK] wet either. It was sorta wet.,modifier,adj,abs
It wasn't dry but it was not [MASK] wet either. It was slightly wet.,modifier,adj,abs
It wasn't dry but it was not [MASK] wet either. It was partially wet.,modifier,adj,abs
It wasn't dry but it was not ridiculously wet either. It was [MASK] wet.,modifier,adj,abs
It wasn't dry but it was not completely wet either. It was [MASK] wet.,modifier,adj,abs
It wasn't dry but it was not totally wet either. It was [MASK] wet.,modifier,adj,abs
It wasn't dry but it wasn't [MASK] wet either. It was kinda wet.,modifier,adj,abs
It wasn't dry but it wasn't [MASK] wet either.,modifier,adj,abs
It wasn't dry but it wasn't extremely wet either. It was [MASK] wet.,modifier,adj,abs
It wasn't dry but it wasn't [MASK] wet either. It was sorta wet.,modifier,adj,abs
It wasn't dry but it wasn't [MASK] wet either. It was slightly wet.,modifier,adj,abs
It wasn't dry but it wasn't [MASK] wet either. It was partially wet.,modifier,adj,abs
It wasn't dry but it wasn't ridiculously wet either. It was [MASK] wet.,modifier,adj,abs
It wasn't dry but it wasn't completely wet either. It was [MASK] wet.,modifier,adj,abs
It wasn't dry but it wasn't totally wet either. It was [MASK] wet.,modifier,adj,abs
It was not [MASK] dry. It was kinda wet.,modifier,adj,abs
It was not [MASK] dry.,modifier,adj,abs
It was not extremely dry. It was [MASK] wet.,modifier,adj,abs
It was not [MASK] dry. It was sorta wet.,modifier,adj,abs
It was not [MASK] dry. It was slightly wet.,modifier,adj,abs
It was not [MASK] dry. It was partially wet.,modifier,adj,abs
It was not [MASK] dry. It was extremely wet.,modifier,adj,abs
It was not [MASK] dry. It was ridiculously wet.,modifier,adj,abs
It was not [MASK] dry. It was completely wet.,modifier,adj,abs
It was not [MASK] dry. It was totally wet.,modifier,adj,abs
It was not [MASK] dry. It was wet.,modifier,adj,abs
It was not ridiculously dry. It was [MASK] wet.,modifier,adj,abs
It was not completely dry. It was [MASK] wet.,modifier,adj,abs
It was not totally dry. It was [MASK] wet.,modifier,adj,abs
It was not dry. It was [MASK] wet.,modifier,adj,abs
It wasn't [MASK] dry. It was kinda wet.,modifier,adj,abs
It wasn't [MASK] dry.,modifier,adj,abs
It wasn't extremely dry. It was [MASK] wet.,modifier,adj,abs
It wasn't [MASK] dry. It was sorta wet.,modifier,adj,abs
It wasn't [MASK] dry. It was slightly wet.,modifier,adj,abs
It wasn't [MASK] dry. It was partially wet.,modifier,adj,abs
It wasn't [MASK] dry. It was extremely wet.,modifier,adj,abs
It wasn't [MASK] dry. It was ridiculously wet.,modifier,adj,abs
It wasn't [MASK] dry. It was completely wet.,modifier,adj,abs
It wasn't [MASK] dry. It was totally wet.,modifier,adj,abs
It wasn't [MASK] dry. It was wet.,modifier,adj,abs
It wasn't ridiculously dry. It was [MASK] wet.,modifier,adj,abs
It wasn't completely dry. It was [MASK] wet.,modifier,adj,abs
It wasn't totally dry. It was [MASK] wet.,modifier,adj,abs
It wasn't dry. It was [MASK] wet.,modifier,adj,abs
It was [MASK] wet. It was not extremely dry.,modifier,adj,abs
It was kinda wet. It was not [MASK] dry.,modifier,adj,abs
It was [MASK] wet. It was not ridiculously dry.,modifier,adj,abs
It was [MASK] wet. It was not completely dry.,modifier,adj,abs
It was [MASK] wet. It was not totally dry.,modifier,adj,abs
It was [MASK] wet. It was not dry.,modifier,adj,abs
It was [MASK] wet. It wasn't extremely dry.,modifier,adj,abs
It was kinda wet. It wasn't [MASK] dry.,modifier,adj,abs
It was [MASK] wet. It wasn't ridiculously dry.,modifier,adj,abs
It was [MASK] wet. It wasn't completely dry.,modifier,adj,abs
It was [MASK] wet. It wasn't totally dry.,modifier,adj,abs
It was [MASK] wet. It wasn't dry.,modifier,adj,abs
It was sorta wet. It was not [MASK] dry.,modifier,adj,abs
It was sorta wet. It wasn't [MASK] dry.,modifier,adj,abs
It was slightly wet. It was not [MASK] dry.,modifier,adj,abs
It was slightly wet. It wasn't [MASK] dry.,modifier,adj,abs
It was partially wet. It was not [MASK] dry.,modifier,adj,abs
It was partially wet. It wasn't [MASK] dry.,modifier,adj,abs
It was extremely wet. It was not [MASK] dry.,modifier,adj,abs
It was extremely wet. It wasn't [MASK] dry.,modifier,adj,abs
It was ridiculously wet. It was not [MASK] dry.,modifier,adj,abs
It was ridiculously wet. It wasn't [MASK] dry.,modifier,adj,abs
It was completely wet. It was not [MASK] dry.,modifier,adj,abs
It was completely wet. It wasn't [MASK] dry.,modifier,adj,abs
It was totally wet. It was not [MASK] dry.,modifier,adj,abs
It was totally wet. It wasn't [MASK] dry.,modifier,adj,abs
It was wet. It was not [MASK] dry.,modifier,adj,abs
It was wet. It wasn't [MASK] dry.,modifier,adj,abs
It was not [MASK] dry. It was not extremely wet.,modifier,adj,abs
It was not extremely dry. It was not [MASK] wet.,modifier,adj,abs
It was not [MASK] dry. It was not ridiculously wet.,modifier,adj,abs
It was not [MASK] dry. It was not completely wet.,modifier,adj,abs
It was not [MASK] dry. It was not totally wet.,modifier,adj,abs
It was not [MASK] dry. It was not wet.,modifier,adj,abs
It was not [MASK] dry. It wasn't extremely wet.,modifier,adj,abs
It was not extremely dry. It wasn't [MASK] wet.,modifier,adj,abs
It was not [MASK] dry. It wasn't ridiculously wet.,modifier,adj,abs
It was not [MASK] dry. It wasn't completely wet.,modifier,adj,abs
It was not [MASK] dry. It wasn't totally wet.,modifier,adj,abs
It was not [MASK] dry. It wasn't wet.,modifier,adj,abs
It was not ridiculously dry. It was not [MASK] wet.,modifier,adj,abs
It was not ridiculously dry. It wasn't [MASK] wet.,modifier,adj,abs
It was not completely dry. It was not [MASK] wet.,modifier,adj,abs
It was not completely dry. It wasn't [MASK] wet.,modifier,adj,abs
It was not totally dry. It was not [MASK] wet.,modifier,adj,abs
It was not totally dry. It wasn't [MASK] wet.,modifier,adj,abs
It was not dry. It was not [MASK] wet.,modifier,adj,abs
It was not dry. It wasn't [MASK] wet.,modifier,adj,abs
It wasn't [MASK] dry. It was not extremely wet.,modifier,adj,abs
It wasn't extremely dry. It was not [MASK] wet.,modifier,adj,abs
It wasn't [MASK] dry. It was not ridiculously wet.,modifier,adj,abs
It wasn't [MASK] dry. It was not completely wet.,modifier,adj,abs
It wasn't [MASK] dry. It was not totally wet.,modifier,adj,abs
It wasn't [MASK] dry. It was not wet.,modifier,adj,abs
It wasn't [MASK] dry. It wasn't extremely wet.,modifier,adj,abs
It wasn't extremely dry. It wasn't [MASK] wet.,modifier,adj,abs
It wasn't [MASK] dry. It wasn't ridiculously wet.,modifier,adj,abs
It wasn't [MASK] dry. It wasn't completely wet.,modifier,adj,abs
It wasn't [MASK] dry. It wasn't totally wet.,modifier,adj,abs
It wasn't [MASK] dry. It wasn't wet.,modifier,adj,abs
It wasn't ridiculously dry. It was not [MASK] wet.,modifier,adj,abs
It wasn't ridiculously dry. It wasn't [MASK] wet.,modifier,adj,abs
It wasn't completely dry. It was not [MASK] wet.,modifier,adj,abs
It wasn't completely dry. It wasn't [MASK] wet.,modifier,adj,abs
It wasn't totally dry. It was not [MASK] wet.,modifier,adj,abs
It wasn't totally dry. It wasn't [MASK] wet.,modifier,adj,abs
It wasn't dry. It was not [MASK] wet.,modifier,adj,abs
It wasn't dry. It wasn't [MASK] wet.,modifier,adj,abs
It was not [MASK] dry. It was kinda dry.,modifier,adj,abs
It was not extremely dry. It was [MASK] dry.,modifier,adj,abs
It was not [MASK] dry. It was sorta dry.,modifier,adj,abs
It was not [MASK] dry. It was slightly dry.,modifier,adj,abs
It was not [MASK] dry. It was partially dry.,modifier,adj,abs
It was not ridiculously dry. It was [MASK] dry.,modifier,adj,abs
It was not completely dry. It was [MASK] dry.,modifier,adj,abs
It was not totally dry. It was [MASK] dry.,modifier,adj,abs
It wasn't [MASK] dry. It was kinda dry.,modifier,adj,abs
It wasn't extremely dry. It was [MASK] dry.,modifier,adj,abs
It wasn't [MASK] dry. It was sorta dry.,modifier,adj,abs
It wasn't [MASK] dry. It was slightly dry.,modifier,adj,abs
It wasn't [MASK] dry. It was partially dry.,modifier,adj,abs
It wasn't ridiculously dry. It was [MASK] dry.,modifier,adj,abs
It wasn't completely dry. It was [MASK] dry.,modifier,adj,abs
It wasn't totally dry. It was [MASK] dry.,modifier,adj,abs
It was [MASK] dry. It was not extremely dry.,modifier,adj,abs
It was kinda dry. It was not [MASK] dry.,modifier,adj,abs
It was [MASK] dry. It was not ridiculously dry.,modifier,adj,abs
It was [MASK] dry. It was not completely dry.,modifier,adj,abs
It was [MASK] dry. It was not totally dry.,modifier,adj,abs
It was [MASK] dry. It wasn't extremely dry.,modifier,adj,abs
It was kinda dry. It wasn't [MASK] dry.,modifier,adj,abs
It was [MASK] dry. It wasn't ridiculously dry.,modifier,adj,abs
It was [MASK] dry. It wasn't completely dry.,modifier,adj,abs
It was [MASK] dry. It wasn't totally dry.,modifier,adj,abs
It was sorta dry. It was not [MASK] dry.,modifier,adj,abs
It was sorta dry. It wasn't [MASK] dry.,modifier,adj,abs
It was slightly dry. It was not [MASK] dry.,modifier,adj,abs
It was slightly dry. It wasn't [MASK] dry.,modifier,adj,abs
It was partially dry. It was not [MASK] dry.,modifier,adj,abs
It was partially dry. It wasn't [MASK] dry.,modifier,adj,abs
It was [MASK] dry. It was not extremely dry but it was not wet either.,modifier,adj,abs
It was kinda dry. It was not [MASK] dry but it was not wet either.,modifier,adj,abs
 It was not [MASK] dry but it was not wet either.,modifier,adj,abs
It was [MASK] dry. It was not extremely dry but it wasn't wet either.,modifier,adj,abs
It was kinda dry. It was not [MASK] dry but it wasn't wet either.,modifier,adj,abs
 It was not [MASK] dry but it wasn't wet either.,modifier,adj,abs
It was [MASK] dry. It was not ridiculously dry but it was not wet either.,modifier,adj,abs
It was [MASK] dry. It was not ridiculously dry but it wasn't wet either.,modifier,adj,abs
It was [MASK] dry. It was not completely dry but it was not wet either.,modifier,adj,abs
It was [MASK] dry. It was not completely dry but it wasn't wet either.,modifier,adj,abs
It was [MASK] dry. It was not totally dry but it was not wet either.,modifier,adj,abs
It was [MASK] dry. It was not totally dry but it wasn't wet either.,modifier,adj,abs
It was [MASK] dry. It wasn't extremely dry but it was not wet either.,modifier,adj,abs
It was kinda dry. It wasn't [MASK] dry but it was not wet either.,modifier,adj,abs
 It wasn't [MASK] dry but it was not wet either.,modifier,adj,abs
It was [MASK] dry. It wasn't extremely dry but it wasn't wet either.,modifier,adj,abs
It was kinda dry. It wasn't [MASK] dry but it wasn't wet either.,modifier,adj,abs
 It wasn't [MASK] dry but it wasn't wet either.,modifier,adj,abs
It was [MASK] dry. It wasn't ridiculously dry but it was not wet either.,modifier,adj,abs
It was [MASK] dry. It wasn't ridiculously dry but it wasn't wet either.,modifier,adj,abs
It was [MASK] dry. It wasn't completely dry but it was not wet either.,modifier,adj,abs
It was [MASK] dry. It wasn't completely dry but it wasn't wet either.,modifier,adj,abs
It was [MASK] dry. It wasn't totally dry but it was not wet either.,modifier,adj,abs
It was [MASK] dry. It wasn't totally dry but it wasn't wet either.,modifier,adj,abs
It was [MASK] dry. It was not wet but it was not extremely dry either.,modifier,adj,abs
It was kinda dry. It was not wet but it was not [MASK] dry either.,modifier,adj,abs
 It was not wet but it was not [MASK] dry either.,modifier,adj,abs
It was [MASK] dry. It was not wet but it was not ridiculously dry either.,modifier,adj,abs
It was [MASK] dry. It was not wet but it was not completely dry either.,modifier,adj,abs
It was [MASK] dry. It was not wet but it was not totally dry either.,modifier,adj,abs
It was [MASK] dry. It was not wet but it wasn't extremely dry either.,modifier,adj,abs
It was kinda dry. It was not wet but it wasn't [MASK] dry either.,modifier,adj,abs
 It was not wet but it wasn't [MASK] dry either.,modifier,adj,abs
It was [MASK] dry. It was not wet but it wasn't ridiculously dry either.,modifier,adj,abs
It was [MASK] dry. It was not wet but it wasn't completely dry either.,modifier,adj,abs
It was [MASK] dry. It was not wet but it wasn't totally dry either.,modifier,adj,abs
It was [MASK] dry. It wasn't wet but it was not extremely dry either.,modifier,adj,abs
It was kinda dry. It wasn't wet but it was not [MASK] dry either.,modifier,adj,abs
 It wasn't wet but it was not [MASK] dry either.,modifier,adj,abs
It was [MASK] dry. It wasn't wet but it was not ridiculously dry either.,modifier,adj,abs
It was [MASK] dry. It wasn't wet but it was not completely dry either.,modifier,adj,abs
It was [MASK] dry. It wasn't wet but it was not totally dry either.,modifier,adj,abs
It was [MASK] dry. It wasn't wet but it wasn't extremely dry either.,modifier,adj,abs
It was kinda dry. It wasn't wet but it wasn't [MASK] dry either.,modifier,adj,abs
 It wasn't wet but it wasn't [MASK] dry either.,modifier,adj,abs
It was [MASK] dry. It wasn't wet but it wasn't ridiculously dry either.,modifier,adj,abs
It was [MASK] dry. It wasn't wet but it wasn't completely dry either.,modifier,adj,abs
It was [MASK] dry. It wasn't wet but it wasn't totally dry either.,modifier,adj,abs
It was sorta dry. It was not [MASK] dry but it was not wet either.,modifier,adj,abs
It was sorta dry. It was not [MASK] dry but it wasn't wet either.,modifier,adj,abs
It was sorta dry. It wasn't [MASK] dry but it was not wet either.,modifier,adj,abs
It was sorta dry. It wasn't [MASK] dry but it wasn't wet either.,modifier,adj,abs
It was sorta dry. It was not wet but it was not [MASK] dry either.,modifier,adj,abs
It was sorta dry. It was not wet but it wasn't [MASK] dry either.,modifier,adj,abs
It was sorta dry. It wasn't wet but it was not [MASK] dry either.,modifier,adj,abs
It was sorta dry. It wasn't wet but it wasn't [MASK] dry either.,modifier,adj,abs
It was slightly dry. It was not [MASK] dry but it was not wet either.,modifier,adj,abs
It was slightly dry. It was not [MASK] dry but it wasn't wet either.,modifier,adj,abs
It was slightly dry. It wasn't [MASK] dry but it was not wet either.,modifier,adj,abs
It was slightly dry. It wasn't [MASK] dry but it wasn't wet either.,modifier,adj,abs
It was slightly dry. It was not wet but it was not [MASK] dry either.,modifier,adj,abs
It was slightly dry. It was not wet but it wasn't [MASK] dry either.,modifier,adj,abs
It was slightly dry. It wasn't wet but it was not [MASK] dry either.,modifier,adj,abs
It was slightly dry. It wasn't wet but it wasn't [MASK] dry either.,modifier,adj,abs
It was partially dry. It was not [MASK] dry but it was not wet either.,modifier,adj,abs
It was partially dry. It was not [MASK] dry but it wasn't wet either.,modifier,adj,abs
It was partially dry. It wasn't [MASK] dry but it was not wet either.,modifier,adj,abs
It was partially dry. It wasn't [MASK] dry but it wasn't wet either.,modifier,adj,abs
It was partially dry. It was not wet but it was not [MASK] dry either.,modifier,adj,abs
It was partially dry. It was not wet but it wasn't [MASK] dry either.,modifier,adj,abs
It was partially dry. It wasn't wet but it was not [MASK] dry either.,modifier,adj,abs
It was partially dry. It wasn't wet but it wasn't [MASK] dry either.,modifier,adj,abs
It was not [MASK] dry but it was not wet either. It was kinda dry.,modifier,adj,abs
It was not [MASK] dry but it was not wet either.,modifier,adj,abs
It was not extremely dry but it was not wet either. It was [MASK] dry.,modifier,adj,abs
It was not [MASK] dry but it was not wet either. It was sorta dry.,modifier,adj,abs
It was not [MASK] dry but it was not wet either. It was slightly dry.,modifier,adj,abs
It was not [MASK] dry but it was not wet either. It was partially dry.,modifier,adj,abs
It was not [MASK] dry but it wasn't wet either. It was kinda dry.,modifier,adj,abs
It was not [MASK] dry but it wasn't wet either.,modifier,adj,abs
It was not extremely dry but it wasn't wet either. It was [MASK] dry.,modifier,adj,abs
It was not [MASK] dry but it wasn't wet either. It was sorta dry.,modifier,adj,abs
It was not [MASK] dry but it wasn't wet either. It was slightly dry.,modifier,adj,abs
It was not [MASK] dry but it wasn't wet either. It was partially dry.,modifier,adj,abs
It was not ridiculously dry but it was not wet either. It was [MASK] dry.,modifier,adj,abs
It was not ridiculously dry but it wasn't wet either. It was [MASK] dry.,modifier,adj,abs
It was not completely dry but it was not wet either. It was [MASK] dry.,modifier,adj,abs
